cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,temperature
0,1.04150805755543874e+00,2.72728483088229313e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94447453890039190e-01
1,1.12474316410571151e+00,2.94524362807513027e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94447222181925494e-01
2,1.20798394294074329e+00,3.16321727866834962e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94447003262761253e-01
3,1.29122929619896798e+00,3.38120290781026012e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94446816848495452e-01
4,1.37447839216707579e+00,3.59919833758292063e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94446660161360740e-01
5,1.45773058923766174e+00,3.81720188787820630e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94446528297613042e-01
6,1.54098538452923939e+00,4.03521224185460145e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94446416909091302e-01
7,1.62424237831550600e+00,4.25322835279194622e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94446322544064842e-01
8,1.70750124886552568e+00,4.47124937820813639e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94446242640937839e-01
9,1.79076173430529351e+00,4.68927463236195746e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94446175615269490e-01
10,1.87402361931617012e+00,4.90730355142170727e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94446121495152768e-01
11,1.95728672522951030e+00,5.12533566752707004e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.94446084639541761e-01
12,1.03865335636401679e+00,8.17437919449667816e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83336090070785040e-01
13,1.12166032127283755e+00,8.82765817616221055e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335952896745802e-01
14,1.20467294291907767e+00,9.48098167731674935e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335794012621056e-01
15,1.28769012645033265e+00,1.01343410812849977e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335645892366772e-01
16,1.37071104243296849e+00,1.07877298602826729e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335515707308594e-01
17,1.45373505101817213e+00,1.14411429785903837e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335403723883283e-01
18,1.53676165070282744e+00,1.20945764892930463e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335308482324089e-01
19,1.61979044285624374e+00,1.27480272550990925e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335228380068260e-01
20,1.70282110662934305e+00,1.34014927508715104e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335162254514339e-01
21,1.78585338086588474e+00,1.40549709212660301e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.83335109741569235e-01
