cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure
0,4.16666666666666644e-02,6.31624122594547522e-03,1.97316000087867538e-01,2.06274702842731505e+00,2.07216285730065009e+00,4.18114134485961131e+01
1,1.25000000000000000e-01,6.31624122594547522e-03,2.04085594404206372e-01,2.00276209150396367e+00,2.01313360833518695e+00,2.05985397457143087e+01
2,2.08333333333333315e-01,6.31624122594547522e-03,7.96912698527816044e-02,2.00353310471884782e+00,2.00511735322277218e+00,2.18419299728571730e+01
3,2.91666666666666630e-01,6.31624122594547522e-03,6.58995866483674114e-02,2.00080271726612979e+00,2.00188767640443688e+00,1.73923272997711642e+01
4,3.75000000000000000e-01,6.31624122594547522e-03,3.77959463898540696e-02,2.00075098333934154e+00,2.00110795083544835e+00,1.81847450135573467e+01
5,4.58333333333333315e-01,6.31624122594547522e-03,3.33673456281669140e-02,2.00036179947648307e+00,2.00064007471585548e+00,1.58066071815029598e+01
6,5.41666666666666630e-01,6.31624122594547522e-03,2.29609068221852709e-02,2.00031894542771971e+00,2.00045072088246201e+00,1.64291698881023365e+01
7,6.25000000000000000e-01,6.31624122594547522e-03,2.17174261797548479e-02,2.00020284264831893e+00,2.00032073886621697e+00,1.47681072478474782e+01
8,7.08333333333333259e-01,6.31624122594547522e-03,1.70120510970614494e-02,2.00016372983957780e+00,2.00023607507921453e+00,1.52820460015457851e+01
9,7.91666666666666630e-01,6.31624122594547522e-03,1.70179828471527066e-02,2.00012040870631491e+00,2.00019280597238991e+00,1.39576303887328574e+01
10,8.75000000000000000e-01,6.31624122594547522e-03,1.46620346371877548e-02,2.00009162205373769e+00,2.00014536268473586e+00,1.43783651778299202e+01
11,9.58333333333333259e-01,6.31624122594547522e-03,1.51589147638191719e-02,2.00007596038079916e+00,2.00013340554823804e+00,1.32361191699388367e+01
12,1.04166666666666652e+00,6.31624122594547522e-03,1.38668780087346025e-02,2.00005741377084023e+00,2.00010548438961377e+00,1.35724103941979894e+01
13,1.12500000000000000e+00,6.31624122594547522e-03,1.45338272815404308e-02,2.00005472344497015e+00,2.00010752933685687e+00,1.25411924907709391e+01
14,1.20833333333333326e+00,6.31624122594547522e-03,1.37059736662857191e-02,2.00004348108322372e+00,2.00009044293942884e+00,1.27999863233129556e+01
15,1.29166666666666652e+00,6.31624122594547522e-03,1.44175912286482310e-02,2.00004382322025087e+00,2.00009578814073663e+00,1.18479565862746163e+01
16,1.37500000000000000e+00,6.31624122594547522e-03,1.38059523918233323e-02,2.00003726532343773e+00,2.00008491494833818e+00,1.20344256553500539e+01
17,1.45833333333333326e+00,6.31624122594547522e-03,1.44570442827947378e-02,2.00003737163125761e+00,2.00008962150476277e+00,1.11451330912730313e+01
18,1.54166666666666652e+00,6.31624122594547522e-03,1.39342710739554822e-02,2.00003500903105502e+00,2.00008354856996284e+00,1.12680758943717585e+01
19,1.62500000000000000e+00,6.31624122594547522e-03,1.45110034463107260e-02,2.00003575494000652e+00,2.00008839561141905e+00,1.04335564342068530e+01
20,1.70833333333333326e+00,6.31624122594547522e-03,1.40339663439673461e-02,2.00003557305287405e+00,2.00008480962390234e+00,1.05003468159480438e+01
21,1.79166666666666652e+00,6.31624122594547522e-03,1.45431442050686383e-02,2.00003638532708816e+00,2.00008925942709226e+00,9.71548448914812823e+00
22,1.87500000000000000e+00,6.31624122594547522e-03,1.40991032676205854e-02,2.00003707057896607e+00,2.00008676521870976e+00,9.73221349889499443e+00
23,1.95833333333333326e+00,6.31624122594547522e-03,1.45499869046273305e-02,2.00003769431610001e+00,2.00009061814813460e+00,8.99299208775317638e+00
24,2.04166666666666652e+00,6.31624122594547522e-03,1.41396020533055226e-02,2.00003861052726473e+00,2.00008859102442216e+00,8.96489709497718756e+00
25,2.12500000000000000e+00,6.31624122594547522e-03,1.45409957191581611e-02,2.00003888994507451e+00,2.00009174835786707e+00,8.26743045572059998e+00
26,2.20833333333333304e+00,6.31624122594547522e-03,1.41664953152316319e-02,2.00003966943900746e+00,2.00008984021198666e+00,8.19911101098879058e+00
27,2.29166666666666652e+00,6.31624122594547522e-03,1.45243709412246000e-02,2.00003961539598762e+00,2.00009235299387322e+00,7.53951954983360650e+00
28,2.37500000000000000e+00,6.31624122594547522e-03,1.41870157695651936e-02,2.00004011015945293e+00,2.00009042637153867e+00,7.43517201719602827e+00
29,2.45833333333333304e+00,6.31624122594547522e-03,1.45052909674742974e-02,2.00003971831104499e+00,2.00009231744131633e+00,6.80959794035957611e+00
30,2.54166666666666652e+00,6.31624122594547522e-03,1.42051343467653034e-02,2.00003983536883512e+00,2.00009028018837354e+00,6.67313988008045378e+00
31,2.62500000000000000e+00,6.31624122594547522e-03,1.44860412356777064e-02,2.00003914470801636e+00,2.00009160434092514e+00,6.07780088396282903e+00
32,2.70833333333333304e+00,6.31624122594547522e-03,1.42225285802326570e-02,2.00003875298730982e+00,2.00008932144798202e+00,5.91297541708706653e+00
33,2.79166666666666652e+00,6.31624122594547522e-03,1.44673989226015258e-02,2.00003782462374025e+00,2.00009014935758556e+00,5.34417821508487467e+00
34,2.87500000000000000e+00,6.31624122594547522e-03,1.42397073699875414e-02,2.00003675092736533e+00,2.00008744167000740e+00,5.15461074532763153e+00
35,2.95833333333333304e+00,6.31624122594547522e-03,1.44494638763438769e-02,2.00003567673582960e+00,2.00008787187524906e+00,4.60875519045707271e+00
36,3.04166666666666652e+00,6.31624122594547522e-03,1.42567293445717055e-02,2.00003370408659942e+00,2.00008451616774607e+00,4.39797956711588167e+00
37,3.12500000000000000e+00,6.31624122594547522e-03,1.44321218235339693e-02,2.00003262338932064e+00,2.00008469339723138e+00,3.87155468399187042e+00
38,3.20833333333333304e+00,6.31624122594547522e-03,1.42735377541115815e-02,2.00002950330409002e+00,2.00008043537424340e+00,3.64302634094863675e+00
39,3.29166666666666652e+00,6.31624122594547522e-03,1.44152050502053455e-02,2.00002859811774902e+00,2.00008054623444798e+00,3.13260174481142029e+00
40,3.37500000000000000e+00,6.31624122594547522e-03,1.42900532379377949e-02,2.00002410442630119e+00,2.00007515456489049e+00,2.88971021112386861e+00
41,3.45833333333333304e+00,6.31624122594547522e-03,1.43985024249281661e-02,2.00002356263218717e+00,2.00007539056807238e+00,2.39192431242264281e+00
42,3.54166666666666652e+00,6.31624122594547522e-03,1.43061253544858741e-02,2.00001758962367626e+00,2.00006875482488322e+00,2.13800975291487694e+00
43,3.62500000000000000e+00,6.31624122594547522e-03,1.43816418984619339e-02,2.00001753334917254e+00,2.00006924013340193e+00,1.64955713972682716e+00
44,3.70833333333333304e+00,6.31624122594547522e-03,1.43212991318354722e-02,2.00001019871629193e+00,2.00006147269977808e+00,1.38793263449204018e+00
45,3.79166666666666652e+00,6.31624122594547522e-03,1.43638425512936999e-02,2.00001062485154035e+00,2.00006220390564016e+00,9.05561864807445160e-01
46,3.87500000000000000e+00,6.31624122594547522e-03,1.43341978048624231e-02,2.00000227931769015e+00,2.00005364590619550e+00,6.39540471370040664e-01
47,3.95833333333333304e+00,6.31624122594547522e-03,1.43444452254839015e-02,2.00000310289309446e+00,2.00005454292897555e+00,1.60115623250259576e-01
48,4.16666666666666644e-02,2.02119719230255193e-02,5.05429071898478188e-01,2.19126470668016538e+00,2.24879958232437183e+00,3.63789614479416699e+01
49,1.25000000000000000e-01,2.02119719230255193e-02,5.38589071428205224e-01,2.01629643804167191e+00,2.08699053996931916e+00,2.08724115076234007e+01
50,2.08333333333333315e-01,2.02119719230255193e-02,2.43728350635087160e-01,2.01879927551983496e+00,2.03345863585731923e+00,2.20639316208350813e+01
51,2.91666666666666630e-01,2.02119719230255193e-02,1.95754980916706456e-01,2.00602048937131583e+00,2.01554911037444917e+00,1.75032950541779790e+01
52,3.75000000000000000e-01,2.02119719230255193e-02,1.15749309697601360e-01,2.00452021513086898e+00,2.00785935651971803e+00,1.82496669075249898e+01
53,4.58333333333333315e-01,2.02119719230255193e-02,9.98671164240193671e-02,2.00203802206010151e+00,2.00452729657572215e+00,1.58335814706511062e+01
54,5.41666666666666630e-01,2.02119719230255193e-02,6.98226659935642369e-02,2.00155689591685260e+00,2.00277437877529163e+00,1.64447384246185493e+01
55,6.25000000000000000e-01,2.02119719230255193e-02,6.49554812660857045e-02,2.00074762581092402e+00,2.00180175760102630e+00,1.47700252848684421e+01
56,7.08333333333333259e-01,2.02119719230255193e-02,5.14450816149724655e-02,2.00058476973718458e+00,2.00124611613033609e+00,1.52829351430023781e+01
57,7.91666666666666630e-01,2.02119719230255193e-02,5.08547297229431303e-02,2.00024703973888940e+00,2.00089340633612567e+00,1.39522086643577961e+01
58,8.75000000000000000e-01,2.02119719230255193e-02,4.41777888703878685e-02,2.00019829047411157e+00,2.00068610187731233e+00,1.43745860851090868e+01
59,9.58333333333333259e-01,2.02119719230255193e-02,4.52853776588286391e-02,2.00004165304773851e+00,2.00055426803564451e+00,1.32288934561185769e+01
60,1.04166666666666652e+00,2.02119719230255193e-02,4.16957571492587650e-02,2.00003409864958304e+00,2.00046867806654260e+00,1.35670465234828548e+01
61,1.12500000000000000e+00,2.02119719230255193e-02,4.34161945186008064e-02,1.99996187443402418e+00,2.00043306939675736e+00,1.25337144781072301e+01
62,1.20833333333333326e+00,2.02119719230255193e-02,4.11685486750988303e-02,1.99996634862762357e+00,2.00039002323120041e+00,1.27939418425877189e+01
63,1.29166666666666652e+00,2.02119719230255193e-02,4.30714210646031756e-02,1.99993187326099053e+00,2.00039562212021949e+00,1.18407142646074952e+01
64,1.37500000000000000e+00,2.02119719230255193e-02,4.14380863059953947e-02,1.99994813124784199e+00,2.00037737506662427e+00,1.20284729839886850e+01
65,1.45833333333333326e+00,2.02119719230255193e-02,4.31968166304522935e-02,1.99993525038998299e+00,2.00040170233866998e+00,1.11387339521598570e+01
66,1.54166666666666652e+00,2.02119719230255193e-02,4.18087951643957983e-02,1.99994859941577063e+00,2.00038555675104801e+00,1.12623894871815260e+01
67,1.62500000000000000e+00,2.02119719230255193e-02,4.33675265242970606e-02,1.99994223414606731e+00,2.00041237805558447e+00,1.04275710612696031e+01
68,1.70833333333333326e+00,2.02119719230255193e-02,4.20989960135422503e-02,1.99995168129231549e+00,2.00039472429051068e+00,1.04946954857320165e+01
