iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,1.00219622033147182e+00,3.56036741853677370e+01,1.07849485127978117e+00,3.15238530599545736e-10,1.22399312907361946e-11
2,5.65436589981591453e+00,2.70073863379755217e+01,6.75017515613822727e-01,1.68485379816457876e-10,1.22399312907361946e-11
3,1.17844520092953120e+00,4.68109937132991050e+00,2.77791899296783440e-01,6.99277979645391999e-11,1.22399312907361946e-11
4,9.06614949805728543e-01,1.78103010616024471e+00,1.45390647646161775e-01,4.20896767874274050e-11,1.22399312907361946e-11
5,7.92279236750635940e-01,1.28968546181200505e+00,9.04078557343205302e-02,2.63358723622912414e-11,1.22399312907361946e-11
6,7.34870513992316510e-01,8.50915564139129055e-01,6.29711487202209985e-02,1.83234629375937950e-11,1.22399312907361946e-11
7,6.87174320184073206e-01,5.69074412536365704e-01,4.74626408755876514e-02,1.37296980605486361e-11,1.22399312907361946e-11
8,6.33643423826921737e-01,4.07002613325307239e-01,3.74745952258369042e-02,1.09409400569695392e-11,1.22399312907361946e-11
9,5.89978152038107106e-01,3.12521037256132894e-01,3.06427615627097825e-02,8.67614262703719371e-12,1.22399312907361946e-11
10,5.46561083877585063e-01,2.52445322799920546e-01,2.57448366282622791e-02,7.21498574006836642e-12,1.22399312907361946e-11
11,4.98139158424262318e-01,2.12245343603781250e-01,2.21470175309194973e-02,6.21950574746965813e-12,1.22399312907361946e-11
12,4.55143068235242421e-01,1.82647235964488619e-01,1.93823148686653526e-02,5.69560705840915700e-12,1.22399312907361946e-11
13,4.13996979282049038e-01,1.59569079375468575e-01,1.72251516332887177e-02,4.34178184323952875e-12,1.22399312907361946e-11
14,3.71616027545069616e-01,1.40735238646879895e-01,1.54737235053875044e-02,4.08666240723709168e-12,1.22399312907361946e-11
15,3.30645615235399315e-01,1.25578599693510984e-01,1.39996625882430233e-02,3.98845690109092438e-12,1.22399312907361946e-11
16,2.94259544162229658e-01,1.12897446093649337e-01,1.27602186694383123e-02,3.63413843218996294e-12,1.22399312907361946e-11
17,2.60856648294085780e-01,1.01861032780667993e-01,1.17217222708595279e-02,3.42459561675243906e-12,1.22399312907361946e-11
18,2.30332198287333367e-01,9.21040771589712592e-02,1.08478160434525295e-02,3.19569638771155360e-12,1.22399312907361946e-11
19,2.02311390317373968e-01,8.33532023042775627e-02,1.01093074425156609e-02,2.84384982670120047e-12,1.22399312907361946e-11
20,1.75992601880592431e-01,7.55850987153157405e-02,9.47443420981314288e-03,2.89689387970652158e-12,1.22399312907361946e-11
21,1.53150787802565386e-01,6.88045296352090829e-02,8.92477342767774781e-03,2.48815318436206033e-12,1.22399312907361946e-11
22,1.33193089812194021e-01,6.27780268870826302e-02,8.43744680370962785e-03,2.87979295561224585e-12,1.22399312907361946e-11
23,1.15701468769981358e-01,5.74199918097227993e-02,8.00739147708100577e-03,2.70111553425990482e-12,1.22399312907361946e-11
24,1.00505843357610800e-01,5.26323780500640298e-02,7.63319704432136644e-03,2.86427134079028520e-12,1.22399312907361946e-11
25,8.73911307224415901e-02,4.82901856393585655e-02,7.30062867406005428e-03,2.94038685746241550e-12,1.22399312907361946e-11
26,7.61562874691986552e-02,4.43294065110263341e-02,7.00131386441423323e-03,2.77708868024076299e-12,1.22399312907361946e-11
27,6.65306962549863240e-02,4.06534881029441963e-02,6.73103988691373285e-03,2.74939205871903561e-12,1.22399312907361946e-11
28,5.82929706669132949e-02,3.72978017563207059e-02,6.48605313377074392e-03,2.68221451696897000e-12,1.22399312907361946e-11
29,5.12238606777587618e-02,3.42594989037510178e-02,6.26015227916562351e-03,2.84726685084686941e-12,1.22399312907361946e-11
30,4.51484898065925844e-02,3.15195046492714528e-02,6.05038948618628978e-03,2.57802048125192460e-12,1.22399312907361946e-11
31,3.98517192891218591e-02,2.90492853794863774e-02,5.85451917887457388e-03,2.90246259415578805e-12,1.22399312907361946e-11
32,3.52857503081793408e-02,2.68305855868617681e-02,5.67026704429243397e-03,2.82087165908438831e-12,1.22399312907361946e-11
33,3.13483524137329397e-02,2.48436290021880890e-02,5.49703424899034183e-03,2.90718530529031516e-12,1.22399312907361946e-11
34,2.79365519913836596e-02,2.30479477528068126e-02,5.33251530722687796e-03,2.77034779417417194e-12,1.22399312907361946e-11
35,2.49966771627517341e-02,2.14198350951804936e-02,5.17580563000828546e-03,2.73792211631112170e-12,1.22399312907361946e-11
36,2.24181079240112872e-02,1.99730843337568922e-02,5.02652345308234137e-03,2.77993350538000356e-12,1.22399312907361946e-11
37,2.01721765302302937e-02,1.86842298049315729e-02,4.88483409428801946e-03,2.74742764100850433e-12,1.22399312907361946e-11
38,1.82046109658427525e-02,1.75248125773227979e-02,4.75035953118709692e-03,2.49458769945632672e-12,1.22399312907361946e-11
39,1.64780373993662042e-02,1.64818579837109208e-02,4.62270354442559286e-03,2.36125892780648020e-12,1.22399312907361946e-11
40,1.49606304891732027e-02,1.55416692906964991e-02,4.50153596130070839e-03,2.35878588322183998e-12,1.22399312907361946e-11
41,1.36245380607796316e-02,1.46945232165781609e-02,4.38661128208140197e-03,2.88153915461694309e-12,1.22399312907361946e-11
42,1.24467579717137695e-02,1.39248973082211971e-02,4.27735283517638107e-03,2.85647404400129040e-12,1.22399312907361946e-11
43,1.14056910884076726e-02,1.32228731673109338e-02,4.17332570922372258e-03,2.77959337449244735e-12,1.22399312907361946e-11
44,1.04272414437933340e-02,1.25839933670038265e-02,4.07430943145420475e-03,2.76302034351370753e-12,1.22399312907361946e-11
45,9.58729378049051617e-03,1.19973589447534799e-02,3.97983907872251699e-03,2.83391964412460548e-12,1.22399312907361946e-11
46,8.85105684347763100e-03,1.14575124593957554e-02,3.88962266781632537e-03,2.60148585075775649e-12,1.22399312907361946e-11
47,8.19944687949885828e-03,1.09599329372197692e-02,3.80329045096878529e-03,2.86642788620566826e-12,1.22399312907361946e-11
48,7.61906916660389129e-03,1.04939125504807870e-02,3.72059324986103671e-03,2.80387267623458501e-12,1.22399312907361946e-11
49,7.10122295057235339e-03,1.00668917593743513e-02,3.64144798864316334e-03,2.63994278776292161e-12,1.22399312907361946e-11
50,6.63826281527985038e-03,9.67563207324870916e-03,3.56563368379849430e-03,2.80921010963392416e-12,1.22399312907361946e-11
51,6.22438121582049014e-03,9.31665718593232932e-03,3.49294022585302111e-03,2.90034295431553962e-12,1.22399312907361946e-11
52,5.85338822503789127e-03,8.98131963641976561e-03,3.42316881615791890e-03,2.89716385913957064e-12,1.22399312907361946e-11
53,5.52016147683402018e-03,8.66279817533568107e-03,3.35614741138129608e-03,2.82673823909798725e-12,1.22399312907361946e-11
54,5.22011084608793238e-03,8.36249683400303902e-03,3.29169387694645561e-03,2.88226917446865836e-12,1.22399312907361946e-11
55,4.94894283480250621e-03,8.07860867873783431e-03,3.22962968250381293e-03,2.69153032166444843e-12,1.22399312907361946e-11
56,4.70265438716183093e-03,7.81219325869074790e-03,3.16981078471838566e-03,2.86821407051847588e-12,1.22399312907361946e-11
57,4.47863769157795868e-03,7.56288892160596193e-03,3.11214521691321848e-03,2.79785002369201203e-12,1.22399312907361946e-11
58,4.27384091819601325e-03,7.32485792817394281e-03,3.05649714550467301e-03,2.70010879354715799e-12,1.22399312907361946e-11
59,4.08625702696235535e-03,7.10050767935821274e-03,3.00282286859735207e-03,2.64139167997275627e-12,1.22399312907361946e-11
60,3.91375555142400768e-03,6.88872928866318505e-03,2.95105432586788936e-03,2.83253108713935538e-12,1.22399312907361946e-11
61,3.75452125680851177e-03,6.68633704556287171e-03,2.90110742289538971e-03,2.76968616306894627e-12,1.22399312907361946e-11
62,3.60712760153241276e-03,6.49206988915445194e-03,2.85288874556350550e-03,2.80460833863535219e-12,1.22399312907361946e-11
63,3.47028013807425652e-03,6.30816625995734691e-03,2.80634484509996928e-03,2.64347094627960614e-12,1.22399312907361946e-11
64,3.34289737183748317e-03,6.13283777574735473e-03,2.76139070638573231e-03,2.55014813299980802e-12,1.22399312907361946e-11
65,3.22412831018195839e-03,5.96521531502700649e-03,2.71795235392128512e-03,2.73856320791682430e-12,1.22399312907361946e-11
66,3.11312874993524211e-03,5.80542676635538955e-03,2.67595663866815499e-03,2.90101604719546174e-12,1.22399312907361946e-11
67,3.00887173910880691e-03,5.65257680788799899e-03,2.63537373388314728e-03,2.76368041173885210e-12,1.22399312907361946e-11
68,2.91105120615958593e-03,5.50544856191722415e-03,2.59615821771115455e-03,2.66396220381793002e-12,1.22399312907361946e-11
69,2.81910250768031487e-03,5.36483646792245469e-03,2.55827633957660464e-03,2.62209776334073966e-12,1.22399312907361946e-11
70,2.73249284198266978e-03,5.23059660322738873e-03,2.52171496268779492e-03,2.84242963030081270e-12,1.22399312907361946e-11
71,2.65061480582015618e-03,5.10199315008158256e-03,2.48641204309346187e-03,2.83336528352820603e-12,1.22399312907361946e-11
