cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,density,pressure_absolute,compressible_temperature,mach_number
0,1.04166666666666661e-02,3.12500000000000017e-03,9.12907856132236084e+00,2.41056508700120009e+00,9.44197539805440478e+00,5.75618893870995162e+04,2.00674631431789319e+00,1.72810958857485384e+05,3.00000000000000000e+02,2.74495846923292278e-02
1,3.12500000000000000e-02,3.12500000000000017e-03,7.94279134136902165e+00,1.53954897996781997e-01,7.94428325295264770e+00,5.22256203993833406e+04,1.94499201795584109e+00,1.67492987626267248e+05,3.00000000000000000e+02,2.44180011627475185e-02
2,5.20833333333333287e-02,3.12500000000000017e-03,7.28845871874178730e+00,6.18271895540554936e-02,7.28872095063127912e+00,5.42472008674227254e+04,1.96288768406240099e+00,1.69034072913033655e+05,3.00000000000000000e+02,2.07353464083465805e-02
3,7.29166666666666574e-02,3.12500000000000017e-03,7.28367637377985044e+00,2.26293757248795214e-04,7.28367637729516737e+00,4.99808908327955578e+04,1.92156681068424828e+00,1.65475725902074046e+05,3.00000000000000000e+02,2.25279899343809285e-02
4,9.37500000000000000e-02,3.12500000000000017e-03,7.26959878066662402e+00,8.31682549990336406e-04,7.26959882824117987e+00,5.19505288864692920e+04,1.93171307601973230e+00,1.66349471541439241e+05,3.00000000000000000e+02,2.10000155625882819e-02
5,1.14583333333333329e-01,3.12500000000000017e-03,7.27453894571615933e+00,-1.46782452013000141e-04,7.27453894719701566e+00,4.77039840550360896e+04,1.89721424788206838e+00,1.63378604956364317e+05,3.00000000000000000e+02,2.27550055056591205e-02
6,1.35416666666666657e-01,3.12500000000000017e-03,7.27086602608091503e+00,7.11301832176056718e-06,7.27086602608439403e+00,4.96667918922380777e+04,1.90051885368560813e+00,1.63663181085136137e+05,3.00000000000000000e+02,2.13851369013418752e-02
7,1.56250000000000000e-01,3.12500000000000017e-03,7.27450401034581873e+00,-4.87890441939312835e-06,7.27450401034745475e+00,4.54238586314816057e+04,1.87216053985126973e+00,1.61221104889292095e+05,3.00000000000000000e+02,2.30292256055858909e-02
8,1.77083333333333315e-01,3.12500000000000017e-03,7.27096377558332296e+00,-8.39718841868459210e-07,7.27096377558337181e+00,4.73831810276489778e+04,1.86913204453777415e+00,1.60960306015370414e+05,3.00000000000000000e+02,2.17789421926524139e-02
9,1.97916666666666657e-01,3.12500000000000017e-03,7.27447129895619859e+00,1.29204342652078408e-06,7.27447129895631317e+00,4.31435915893844649e+04,1.84644051821921140e+00,1.59006225226447394e+05,3.00000000000000000e+02,2.33211759374168486e-02
10,2.18750000000000000e-01,3.12500000000000017e-03,7.27100316784345235e+00,-1.51913062406770156e-06,7.27100316784361134e+00,4.50996074323845314e+04,1.83752328918433760e+00,1.58238318048109242e+05,3.00000000000000000e+02,2.21859498017904569e-02
11,2.39583333333333315e-01,3.12500000000000017e-03,7.27443000741703916e+00,1.69351128285669295e-06,7.27443000741723633e+00,4.08632868847445206e+04,1.82004572844442603e+00,1.56733237904991751e+05,3.00000000000000000e+02,2.36323490140357452e-02
12,2.60416666666666630e-01,3.12500000000000017e-03,7.27104812153061175e+00,-1.84241394335618837e-06,7.27104812153084534e+00,4.28160728457525183e+04,1.80566035379551848e+00,1.55494441367101070e+05,3.00000000000000000e+02,2.26078108269357689e-02
13,2.81250000000000000e-01,3.12500000000000017e-03,7.27438144993309610e+00,1.95929801606984510e-06,7.27438144993335989e+00,3.85829401065255806e+04,1.79296396166812921e+00,1.54401091559050954e+05,3.00000000000000000e+02,2.39641153061795238e-02
14,3.02083333333333315e-01,3.12500000000000017e-03,7.27110026546596355e+00,-2.10746987383196849e-06,7.27110026546626909e+00,4.05325837522426882e+04,1.77350932237436365e+00,1.52725755296268326e+05,3.00000000000000000e+02,2.30460577129062635e-02
15,3.22916666666666630e-01,3.12500000000000017e-03,7.27432586364541134e+00,2.22148534761773280e-06,7.27432586364575062e+00,3.63025444862862641e+04,1.76518082282244637e+00,1.52008546557354974e+05,3.00000000000000000e+02,2.43179880368772604e-02
16,3.43750000000000000e-01,3.12500000000000017e-03,7.27115930351921591e+00,-2.35660366871311215e-06,7.27115930351959783e+00,3.82491467749713847e+04,1.74103442414837706e+00,1.49929179435537488e+05,3.00000000000000000e+02,2.35023958569098995e-02
17,3.64583333333333315e-01,3.12500000000000017e-03,7.27426345679424102e+00,2.46747699800470006e-06,7.27426345679465935e+00,3.40220935150159203e+04,1.73667952675728121e+00,1.49554157446703262e+05,3.00000000000000000e+02,2.46956756305640943e-02
18,3.85416666666666630e-01,3.12500000000000017e-03,7.27122508881097041e+00,-2.60462683053273559e-06,7.27122508881143670e+00,3.59657683336366463e+04,1.70819776924594113e+00,1.47101450898614217e+05,3.00000000000000000e+02,2.39787417868272713e-02
19,4.06250000000000000e-01,3.12500000000000017e-03,7.27419442571253949e+00,2.71302606559014025e-06,7.27419442571304575e+00,3.17415808429736462e+04,1.70744061638862821e+00,1.47036248680306715e+05,3.00000000000000000e+02,2.50991147634459788e-02
20,4.27083333333333315e-01,3.12500000000000017e-03,7.27129732101866377e+00,-2.82748602764696827e-06,7.27129732101921356e+00,3.36824546790565582e+04,1.67495904458654099e+00,1.44239098124569980e+05,3.00000000000000000e+02,2.44772599284052775e-02
21,4.47916666666666630e-01,3.12500000000000017e-03,7.27411914148305261e+00,2.94437209684995492e-06,7.27411914148364858e+00,2.94610003810013623e+04,1.67744163061251617e+00,1.44452886020196835e+05,3.00000000000000000e+02,2.55305107657544522e-02
22,4.68750000000000000e-01,3.12500000000000017e-03,7.27137563389212094e+00,-3.05668525614846728e-06,7.27137563389276309e+00,3.13992117062639227e+04,1.64127515365326171e+00,1.41338409856850631e+05,3.00000000000000000e+02,2.50004061000554147e-02
23,4.89583333333333315e-01,3.12500000000000017e-03,7.27403792369063407e+00,3.15097203087584049e-06,7.27403792369131619e+00,2.71803463865276753e+04,1.64665671353010068e+00,1.41801842885644612e+05,3.00000000000000000e+02,2.59923857229432780e-02
24,5.10416666666666630e-01,3.12500000000000017e-03,7.27145973155610292e+00,-3.26925453095508957e-06,7.27145973155683745e+00,2.91160450220754683e+04,1.60709979216902132e+00,1.38395398602635280e+05,3.00000000000000000e+02,2.55509818605042030e-02
25,5.31250000000000000e-01,3.12500000000000017e-03,7.27395106426105986e+00,3.36479686746261014e-06,7.27395106426183791e+00,2.48996134107823273e+04,1.61505614943527998e+00,1.39080560308619140e+05,3.00000000000000000e+02,2.64876384651457873e-02
26,5.52083333333333259e-01,3.12500000000000017e-03,7.27154929578942077e+00,-3.44201464271908078e-06,7.27154929579023523e+00,2.68329599455927964e+04,1.57238294237078735e+00,1.35405757082260359e+05,3.00000000000000000e+02,2.61322005789436929e-02
