iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,3.49438594812193060e+01,0.00000000000000000e+00,3.78547009467335438e-01,1.49214517517290086e-08,6.22550760942530701e-10
2,6.09339182474646577e+02,6.99735166112728191e+00,2.15340062975209079e-01,1.00654366458226723e-08,6.22550760942530701e-10
3,1.48322276809472044e+02,7.28897603787534543e+00,1.17055932297159146e-01,5.15726159827659000e-09,6.22550760942530701e-10
4,4.40580019111320098e+01,4.62252835962085040e+00,7.45776841634333137e-02,1.85481878790383065e-09,6.22550760942530701e-10
5,1.63904179658623796e+01,2.70735239782005266e+00,5.24197761809552729e-02,2.26652271513527747e-09,6.22550760942530701e-10
6,7.23171544886067519e+00,1.75303629547001028e+00,3.91144198872308002e-02,1.71760534339606709e-09,6.22550760942530701e-10
7,3.74492863040007462e+00,1.26573090196255444e+00,3.09580276372188046e-02,1.09613309744960011e-09,6.22550760942530701e-10
8,2.25344896335028455e+00,1.00164070027415542e+00,2.59096963196828282e-02,1.18476062251377998e-09,6.22550760942530701e-10
9,1.51302103882632411e+00,8.50026810550377210e-01,2.27056189714635870e-02,8.90582961205603224e-10,6.22550760942530701e-10
10,1.08701667884740871e+00,7.54362929786179692e-01,2.05815735732293656e-02,9.98062445715589604e-10,6.22550760942530701e-10
11,8.15748686215110874e-01,6.88110373127017838e-01,1.90880334669974519e-02,7.32653557239955224e-10,6.22550760942530701e-10
12,6.33974068270199642e-01,6.39120930468073389e-01,1.79670947845835295e-02,5.69425761972365021e-10,6.22550760942530701e-10
13,5.09853625472542427e-01,6.01268728362724603e-01,1.70728903672223570e-02,6.01330801886560622e-10,6.22550760942530701e-10
14,4.24449458689566517e-01,5.70976589595252770e-01,1.63227052991205199e-02,6.22744609764186445e-10,6.22550760942530701e-10
15,3.65098718202607087e-01,5.45905306197125850e-01,1.56687095017936720e-02,7.32716798757463301e-10,6.22550760942530701e-10
16,3.23089410230284924e-01,5.24444836183035945e-01,1.50824638398169529e-02,5.19830588171080809e-10,6.22550760942530701e-10
17,2.92497951148120439e-01,5.05478867976784318e-01,1.45465430331679999e-02,4.39412179379965656e-10,6.22550760942530701e-10
18,2.69384631843017197e-01,4.88242530992935742e-01,1.40499228811471651e-02,6.35101577118751272e-10,6.22550760942530701e-10
19,2.51192263902113133e-01,4.72221052114964956e-01,1.35853726201110286e-02,6.37434673171865997e-10,6.22550760942530701e-10
20,2.36289844848663527e-01,4.57074417429416568e-01,1.31479566085297445e-02,5.70610665309988232e-10,6.22550760942530701e-10
21,2.23646464627208968e-01,4.42582890323935385e-01,1.27341648783768496e-02,4.28315613389918408e-10,6.22550760942530701e-10
22,2.12610473194232680e-01,4.28607799879974161e-01,1.23414012109509409e-02,4.90624391916840131e-10,6.22550760942530701e-10
23,2.02764704835247861e-01,4.15064131914222589e-01,1.19676728167139833e-02,5.19569761588444920e-10,6.22550760942530701e-10
24,1.93836068864383176e-01,4.01901332380116771e-01,1.16113958945626861e-02,5.58027580201709708e-10,6.22550760942530701e-10
25,1.85640685751626511e-01,3.89090705889364286e-01,1.12712711086059725e-02,4.95774664190622003e-10,6.22550760942530701e-10
26,1.78050699443023014e-01,3.76616845639935027e-01,1.09462032902421739e-02,5.08238560230248919e-10,6.22550760942530701e-10
27,1.70973859290471875e-01,3.64471599915391187e-01,1.06352484649050276e-02,4.99699122326525244e-10,6.22550760942530701e-10
28,1.64341710557148163e-01,3.52651230598864218e-01,1.03375770751864323e-02,4.51371945656395364e-10,6.22550760942530701e-10
29,1.58101484639586592e-01,3.41153736262745810e-01,1.00524489901646745e-02,4.54941182109762426e-10,6.22550760942530701e-10
30,1.52211352547687279e-01,3.29977563687156861e-01,9.77919558095994429e-03,4.07407057661362170e-10,6.22550760942530701e-10
31,1.46637415051783432e-01,3.19121121643422323e-01,9.51720658286442193e-03,4.14575315837266627e-10,6.22550760942530701e-10
32,1.41351402858243519e-01,3.08582046388769182e-01,9.26592072314885024e-03,3.40813753778412395e-10,6.22550760942530701e-10
33,1.36329523872406377e-01,2.98357354924332852e-01,9.02481825727117874e-03,5.04148311004069651e-10,6.22550760942530701e-10
34,1.31551247915324437e-01,2.88443124540974927e-01,8.79341553276227761e-03,3.72385896363435608e-10,6.22550760942530701e-10
35,1.26998734697905291e-01,2.78834627581973415e-01,8.57126053919718585e-03,3.23878434184779106e-10,6.22550760942530701e-10
36,1.22656407820435950e-01,2.69526659622522979e-01,8.35792917104418755e-03,4.59942768270728937e-10,6.22550760942530701e-10
37,1.18510345687263097e-01,2.60513295886862728e-01,8.15302251918526011e-03,3.42977653954564614e-10,6.22550760942530701e-10
38,1.14548124816961486e-01,2.51788100771251744e-01,7.95616441239382910e-03,4.96784618291740637e-10,6.22550760942530701e-10
39,1.10758631009685346e-01,2.43344372809217113e-01,7.76699928663292585e-03,3.25321746070170902e-10,6.22550760942530701e-10
40,1.07131760550352895e-01,2.35175113805968866e-01,7.58519047791776646e-03,2.88914976397693463e-10,6.22550760942530701e-10
41,1.03658349925719165e-01,2.27273137758002869e-01,7.41041871033386226e-03,4.66870183770867056e-10,6.22550760942530701e-10
42,1.00330017308726371e-01,2.19631149333143649e-01,7.24238076011564456e-03,2.53059382333634274e-10,6.22550760942530701e-10
43,9.71390035041434508e-02,2.12241661252508873e-01,7.08078839626962494e-03,4.78095553887160197e-10,6.22550760942530701e-10
44,9.40783115783394158e-02,2.05097412491092063e-01,6.92536712698870946e-03,2.57614090851097427e-10,6.22550760942530701e-10
45,9.11413228710955398e-02,1.98191022048994636e-01,6.77585547135160175e-03,4.90824511326892205e-10,6.22550760942530701e-10
46,8.83219718229991124e-02,1.91515194232957403e-01,6.63200407662052106e-03,2.67045062790430042e-10,6.22550760942530701e-10
47,8.56146445281021906e-02,1.85062882577272381e-01,6.49357484703883946e-03,4.22037594276101739e-10,6.22550760942530701e-10
48,8.30139800611030404e-02,1.78826886789031858e-01,6.36034054593687028e-03,5.04361439760073583e-10,6.22550760942530701e-10
49,8.05151169821951007e-02,1.72800410565845275e-01,6.23208386820327948e-03,2.25125517901678120e-10,6.22550760942530701e-10
50,7.81133769933648886e-02,1.66976650698492740e-01,6.10859710088324827e-03,4.59344180872644679e-10,6.22550760942530701e-10
51,7.58044282980857714e-02,1.61349002441394440e-01,5.98968152793849691e-03,4.78754330032434146e-10,6.22550760942530701e-10
52,7.35841885496158754e-02,1.55911091578754379e-01,5.87514692024283802e-03,4.44448423823254272e-10,6.22550760942530701e-10
53,7.14487665612915934e-02,1.50656616360088869e-01,5.76481119900275254e-03,4.43803998845585435e-10,6.22550760942530701e-10
54,6.93945436467273274e-02,1.45579538477328185e-01,5.65849994067532149e-03,4.32219423260711578e-10,6.22550760942530701e-10
55,6.74180417246824509e-02,1.40673930222136173e-01,5.55604608008940324e-03,5.05564967821880493e-10,6.22550760942530701e-10
56,6.55160034851225703e-02,1.35934071821584596e-01,5.45728952294873698e-03,4.18314282465222304e-10,6.22550760942530701e-10
57,6.36853165812920896e-02,1.31354420801472499e-01,5.36207683502936978e-03,4.87275980151999481e-10,6.22550760942530701e-10
58,6.19230342535260908e-02,1.26929584858413186e-01,5.27026096110237794e-03,3.99890788934936621e-10,6.22550760942530701e-10
59,6.02263513400918341e-02,1.22654371697584821e-01,5.18170091552568567e-03,4.58362178456046861e-10,6.22550760942530701e-10
60,5.85925905807025277e-02,1.18523717008972240e-01,5.09626155866649451e-03,4.73007632619015629e-10,6.22550760942530701e-10
61,5.70192102798007666e-02,1.14532751743474853e-01,5.01381331513451722e-03,4.63890280012376322e-10,6.22550760942530701e-10
62,5.55037816636534467e-02,1.10676754712483255e-01,4.93423196161911840e-03,4.47311678591115910e-10,6.22550760942530701e-10
63,5.40439839190875529e-02,1.06951157058676166e-01,4.85739840425268143e-03,4.38450716752620098e-10,6.22550760942530701e-10
64,5.26376022756458312e-02,1.03351539967346015e-01,4.78319847195385166e-03,4.20900633659907696e-10,6.22550760942530701e-10
65,5.12825201011039011e-02,9.98736388630149796e-02,4.71152271365550199e-03,4.06624718622470197e-10,6.22550760942530701e-10
66,4.99767083874504206e-02,9.65133210474996700e-02,4.64226622001807400e-03,3.84925326151470043e-10,6.22550760942530701e-10
67,4.87182336629882959e-02,9.32666080249728163e-02,4.57532843315780393e-03,3.75567419667963872e-10,6.22550760942530701e-10
68,4.75052303103006349e-02,9.01296350045685951e-02,4.51061299094185526e-03,3.65947634362048351e-10,6.22550760942530701e-10
69,4.63359259872218807e-02,8.70986840413547486e-02,4.44802754946580208e-03,3.65634975823901918e-10,6.22550760942530701e-10
70,4.52086056213113485e-02,8.41701493969582715e-02,4.38748363799696534e-03,3.49639656901787188e-10,6.22550760942530701e-10
71,4.41216477556527209e-02,8.13405671738493125e-02,4.32889649665940679e-03,3.45037455711403156e-10,6.22550760942530701e-10
72,4.30734673149658354e-02,7.86065735899477563e-02,4.27218494367192798e-03,4.91943714671983559e-10,6.22550760942530701e-10
73,4.20625660544893115e-02,7.59649118782006472e-02,4.21727123872077392e-03,3.57010935326172741e-10,6.22550760942530701e-10
74,4.10874903691589022e-02,7.34124554867214979e-02,4.16408093289687576e-03,4.92560285058198805e-10,6.22550760942530701e-10
