iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,0.00000000000000000e+00,1.32368867224017484e+00,2.04637352094532737e-01,6.12946168668255615e-11,4.35669555987061585e-12
2,3.82858000469423754e+00,3.81159018248791348e+00,1.24923604102369371e-01,3.70377812765431136e-11,4.35669555987061585e-12
3,6.21122578766089783e-01,5.70714639209658037e-01,5.06953589025133863e-02,1.51160012327184479e-11,4.35669555987061585e-12
4,2.82391887754748550e-01,2.27811887862385043e-01,3.41657865990918699e-02,9.12037089376517052e-12,4.35669555987061585e-12
5,1.86411326874631383e-01,1.57752381914029738e-01,2.50344287784927920e-02,6.45959295739997193e-12,4.35669555987061585e-12
6,1.38229075427093118e-01,1.21313433655648603e-01,1.91012311264626145e-02,5.51725252380628506e-12,4.35669555987061585e-12
7,1.08232847594165044e-01,9.62369155183151193e-02,1.53395905078514538e-02,4.53977579270603795e-12,4.35669555987061585e-12
8,8.68493649927857825e-02,7.75490061377977768e-02,1.28939200515142526e-02,3.28691708294912392e-12,4.35669555987061585e-12
9,7.06291750212769270e-02,6.31252324393388881e-02,1.12493129711737812e-02,3.23551063268091459e-12,4.35669555987061585e-12
10,5.79219296302865144e-02,5.17698157615677779e-02,1.00764967455512378e-02,2.91542705672256605e-12,4.35669555987061585e-12
11,4.77810995411896144e-02,4.27192653111397799e-02,9.18397194412622943e-03,2.83464758300415671e-12,4.35669555987061585e-12
12,3.95968726728917614e-02,3.54704958462765813e-02,8.47118566234450476e-03,2.39598184023330555e-12,4.35669555987061585e-12
13,3.29159623782027538e-02,2.96444443647168564e-02,7.87438543118068948e-03,2.73016758564685581e-12,4.35669555987061585e-12
14,2.74829488217868644e-02,2.49580293405176831e-02,7.36699973698665307e-03,2.51171086405984504e-12,4.35669555987061585e-12
15,2.30780970809452354e-02,2.11795250832539778e-02,6.93407312294626928e-03,2.98643489402449474e-12,4.35669555987061585e-12
16,1.94995086436479670e-02,1.81333097127722338e-02,6.56308854019342549e-03,2.63592983588276857e-12,4.35669555987061585e-12
17,1.65956772428068437e-02,1.56737609821089273e-02,6.24274508343304353e-03,2.69617415084550398e-12,4.35669555987061585e-12
18,1.42376914413855672e-02,1.36722952101916775e-02,5.96275135431251213e-03,2.73488249913463133e-12,4.35669555987061585e-12
19,1.23290825310966440e-02,1.20428442762504917e-02,5.71533755787934517e-03,2.84041064737452831e-12,4.35669555987061585e-12
20,1.07936542456211065e-02,1.07190621296294232e-02,5.49644930947795068e-03,2.50756861086028447e-12,4.35669555987061585e-12
21,9.55749019044801855e-03,9.63524126225041681e-03,5.30181411248657145e-03,2.78306337313763273e-12,4.35669555987061585e-12
22,8.56034055558187179e-03,8.74145137390722367e-03,5.12767767815939472e-03,2.60125941574743821e-12,4.35669555987061585e-12
23,7.75802835875937392e-03,7.99854606764141551e-03,4.97138479261695874e-03,2.52336849787712893e-12,4.35669555987061585e-12
24,7.10791044821859619e-03,7.37537476563096019e-03,4.83032650236814298e-03,2.47760950736212808e-12,4.35669555987061585e-12
25,6.57489020664494932e-03,6.84771239557900764e-03,4.70221571475394531e-03,2.37420699410322543e-12,4.35669555987061585e-12
26,6.13524602884050162e-03,6.39660173094190685e-03,4.58528172028221503e-03,3.00028859302627929e-12,4.35669555987061585e-12
27,5.76198379711747189e-03,6.00733523863542992e-03,4.47762577204344637e-03,2.74700680640712393e-12,4.35669555987061585e-12
28,5.44768990032149306e-03,5.66793904246555569e-03,4.37833625014537407e-03,2.50322998448605356e-12,4.35669555987061585e-12
29,5.17791951494453884e-03,5.36923310389295170e-03,4.28644778669892181e-03,2.78150692367677049e-12,4.35669555987061585e-12
30,4.94371093718127142e-03,5.10431737253080192e-03,4.20111055690662680e-03,2.85105116322128243e-12,4.35669555987061585e-12
31,4.73304241527344651e-03,4.86781722752936859e-03,4.12139975304199636e-03,2.95158848955013351e-12,4.35669555987061585e-12
32,4.54834773828992778e-03,4.65516934621613195e-03,4.04690790900856349e-03,2.58687384080267577e-12,4.35669555987061585e-12
33,4.38283266660898993e-03,4.46303564046866916e-03,3.97710358479578738e-03,3.03102304081245393e-12,4.35669555987061585e-12
34,4.22692453993541838e-03,4.28873442615571813e-03,3.91121941363907748e-03,2.83948137353584096e-12,4.35669555987061585e-12
35,4.08627652091818686e-03,4.12953274809397652e-03,3.84896696829980633e-03,2.88218707176704070e-12,4.35669555987061585e-12
36,3.95261995706778797e-03,3.98355484176836274e-03,3.78979689241293544e-03,2.98037420595219636e-12,4.35669555987061585e-12
37,3.83241535246900671e-03,3.85035964083784181e-03,3.73375714609290631e-03,2.98925216294599540e-12,4.35669555987061585e-12
38,3.71679998934387355e-03,3.72364955118476958e-03,3.68035385265193509e-03,2.95865689882519801e-12,4.35669555987061585e-12
39,3.61275634808189009e-03,3.60597717210841802e-03,3.62945676989818392e-03,2.93348349888079488e-12,4.35669555987061585e-12
40,3.51770457809391342e-03,3.49890466641309197e-03,3.58109408859044308e-03,2.86916364489872501e-12,4.35669555987061585e-12
41,3.42994446060891113e-03,3.40023299144523493e-03,3.53512273072401290e-03,2.84168701112941673e-12,4.35669555987061585e-12
42,3.34819190483500459e-03,3.30892916565234119e-03,3.49136260796949682e-03,2.75138757519209843e-12,4.35669555987061585e-12
43,3.27083660789702574e-03,3.22404176022542382e-03,3.44960120791986671e-03,2.72637974675979036e-12,4.35669555987061585e-12
44,3.19902174426647118e-03,3.14532513036623563e-03,3.40974774601851419e-03,2.67286121865336495e-12,4.35669555987061585e-12
45,3.12917127756723833e-03,3.07219731583949565e-03,3.37159321186725203e-03,2.60833690058618146e-12,4.35669555987061585e-12
46,3.06313778575818124e-03,3.00390829631040201e-03,3.33501639234126549e-03,3.01385102496620102e-12,4.35669555987061585e-12
47,3.00126973842803745e-03,2.93559463328580848e-03,3.29964343018462067e-03,2.95592518025252212e-12,4.35669555987061585e-12
48,2.94255562405229673e-03,2.86807396085999797e-03,3.26503454482906987e-03,2.89990027682427328e-12,4.35669555987061585e-12
49,2.88550037237865053e-03,2.80873131911226533e-03,3.23118028083147846e-03,2.86035477114248719e-12,4.35669555987061585e-12
50,2.83066359599726432e-03,2.76342519284673849e-03,3.19849920055407253e-03,2.81999712562935687e-12,4.35669555987061585e-12
51,2.77766679615116347e-03,2.71944716042653951e-03,3.16689889791268997e-03,2.94636924769788049e-12,4.35669555987061585e-12
52,2.72664338604330881e-03,2.67091989207064078e-03,3.13597078364026864e-03,2.88444592835753778e-12,4.35669555987061585e-12
53,2.67660703834783935e-03,2.63317983861646905e-03,3.10600697253808839e-03,2.78698785525922604e-12,4.35669555987061585e-12
54,2.62770046772565959e-03,2.59804338979637527e-03,3.07705287104986791e-03,2.82227572395979243e-12,4.35669555987061585e-12
55,2.57992967624677289e-03,2.56343593772844023e-03,3.04898348198298077e-03,2.79490144248708823e-12,4.35669555987061585e-12
56,2.53467414282317581e-03,2.52862291622089896e-03,3.02174618445101876e-03,2.92978493262118019e-12,4.35669555987061585e-12
57,2.49257253970131465e-03,2.49294698873619731e-03,2.99530084049284134e-03,2.88955199980561688e-12,4.35669555987061585e-12
58,2.45299536243554330e-03,2.44822073013653552e-03,2.96911722648461694e-03,2.81633871981144071e-12,4.35669555987061585e-12
59,2.41492744604349498e-03,2.41380614765495044e-03,2.94345615855130241e-03,2.82544311783710896e-12,4.35669555987061585e-12
60,2.37823387219654589e-03,2.38406895357647520e-03,2.91847094388330989e-03,2.69980867255517887e-12,4.35669555987061585e-12
61,2.34295631213932848e-03,2.35588081595743690e-03,2.89418414631053677e-03,2.66734824228585471e-12,4.35669555987061585e-12
