cell_id,x,y,z,velocity_x,velocity_y,velocity_z,velocity_magnitude,pressure
0,6.25000000000000000e-02,6.25000000000000000e-02,6.25000000000000000e-02,5.80354551713765932e-01,6.48763509988267012e-02,6.48763509988272286e-02,5.87562156314318962e-01,2.05909771816845044e+01
1,1.87500000000000000e-01,6.25000000000000000e-02,6.25000000000000000e-02,5.46473304658389725e-01,5.76012056686331653e-02,5.76012056686328669e-02,5.52511421142786507e-01,1.80142522937085729e+01
2,3.12500000000000000e-01,6.25000000000000000e-02,6.25000000000000000e-02,3.87479294358228366e-01,3.42077646099645596e-02,3.42077646099646637e-02,3.90487574546965643e-01,1.66502616857092107e+01
3,4.37500000000000000e-01,6.25000000000000000e-02,6.25000000000000000e-02,2.76333569321475403e-01,1.76309657148478911e-02,1.76309657148478599e-02,2.77456200936333275e-01,1.59417003531892192e+01
4,5.62500000000000000e-01,6.25000000000000000e-02,6.25000000000000000e-02,2.28359813380797083e-01,8.71673438068518679e-03,8.71673438068514862e-03,2.28692298260871257e-01,1.54162583435914726e+01
5,6.87500000000000000e-01,6.25000000000000000e-02,6.25000000000000000e-02,2.05286643666748120e-01,4.27327376605831331e-03,4.27327376605830030e-03,2.05375577431489598e-01,1.49807089589897267e+01
6,8.12500000000000000e-01,6.25000000000000000e-02,6.25000000000000000e-02,1.93538606368132721e-01,2.07880458369247897e-03,2.07880458369240958e-03,1.93560933589175976e-01,1.45920787895828106e+01
7,9.37500000000000000e-01,6.25000000000000000e-02,6.25000000000000000e-02,1.87796665716975092e-01,1.00272325284522616e-03,1.00272325284522248e-03,1.87802019590463609e-01,1.42243425022072500e+01
8,1.06250000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.85032652581533397e-01,4.83811218375726200e-04,4.83811218375739210e-04,1.85033917614983473e-01,1.38657447685013189e+01
9,1.18750000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.83686412632069945e-01,2.34851435696864389e-04,2.34851435696802318e-04,1.83686712900070048e-01,1.35113098150406170e+01
10,1.31250000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.83024996027985387e-01,1.14768181858378735e-04,1.14768181858501819e-04,1.83025067994838364e-01,1.31587869501249557e+01
11,1.43750000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82698470533165347e-01,5.65449999105728515e-05,5.65449999105608575e-05,1.82698488033787271e-01,1.28071400310295758e+01
12,1.56250000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82535863367578072e-01,2.81533144818041364e-05,2.81533144817080592e-05,1.82535867709788385e-01,1.24558999668368813e+01
13,1.68750000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82453954351644410e-01,1.41761533594732405e-05,1.41761533592948587e-05,1.82453955453091204e-01,1.21048530840565256e+01
14,1.81250000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82412257266866301e-01,7.21379324003173018e-06,7.21379324000625821e-06,1.82412257552147627e-01,1.17538997191580634e+01
15,1.93750000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82390836519524729e-01,3.70581237969424331e-06,3.70581237969964526e-06,1.82390836594819306e-01,1.14029924353801970e+01
16,2.06250000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82379743185122845e-01,1.91929704166509678e-06,1.91929704168133440e-06,1.82379743205320799e-01,1.10521082685619358e+01
17,2.18750000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82373960734863755e-01,1.00010631932066435e-06,1.00010631934903529e-06,1.82373960740348173e-01,1.07012358833772900e+01
18,2.31250000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82370933467073532e-01,5.23322082208715468e-07,5.23322082238986520e-07,1.82370933468575219e-01,1.03503695654167185e+01
19,2.43750000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82369344220034452e-01,2.74599362531981212e-07,2.74599362531433235e-07,1.82369344220447926e-01,9.99950639368693750e+00
20,2.56250000000000000e+00,6.25000000000000000e-02,6.25000000000000000e-02,1.82368508516189548e-01,1.44311013513583891e-07,1.44311013522019677e-07,1.82368508516303734e-01,9.64864486151606471e+00
