iteration,u_residual,v_residual,w_residual,p_residual,continuity_residual,global_mass_imbalance
1,3.91666666666666885e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.54511893659743677e-02,6.81254518003032424e-08,1.33374604763258908e-12
2,1.46999196978127555e+00,1.80001291413614643e-02,1.80001291413246986e-02,4.17372652838946881e-02,7.48581138620023825e-08,1.33374604763258908e-12
3,4.20011912343963678e-01,2.80899319230113499e-02,2.80899319334208149e-02,1.73781122182191348e-02,2.52432506648168846e-09,1.33374604763258908e-12
4,1.67453586567586216e-01,2.06988274390072745e-02,2.06988274383281858e-02,9.98889007118469209e-03,1.01352577904544703e-08,1.33374604763258908e-12
5,9.63376279783698802e-02,1.19479750807304688e-02,1.19479756032924017e-02,6.34334748769772774e-03,4.64845236175935999e-09,1.33374604763258908e-12
6,6.53839616758868092e-02,6.43686700814895523e-03,6.43686657435852197e-03,3.97727041815556029e-03,4.90754091394642567e-09,1.33374604763258908e-12
7,4.67229523964787022e-02,3.68649472645625042e-03,3.68649418445532494e-03,2.46807605382458849e-03,4.25435602490550553e-09,1.33374604763258908e-12
8,3.40116238772263241e-02,2.44415804967079405e-03,2.44415806996534915e-03,1.53364056663231807e-03,1.69190808263982795e-09,1.33374604763258908e-12
9,2.49555030412973756e-02,1.81237042854244176e-03,1.81237035516395683e-03,9.66222915566318811e-04,1.51926008610118755e-09,1.33374604763258908e-12
10,1.83798772088823552e-02,1.39761568346587618e-03,1.39761564897071837e-03,6.24031203811478263e-04,9.56850519628869805e-10,1.33374604763258908e-12
11,1.35608461514723413e-02,1.08598179397126566e-03,1.08598179595134994e-03,4.17087679378419474e-04,6.34443340162660852e-10,1.33374604763258908e-12
12,1.00136682252995653e-02,8.45846224021486507e-04,8.45846228563270556e-04,2.90266007744473969e-04,2.32131809638769556e-10,1.33374604763258908e-12
13,7.39587916175017505e-03,6.60620677207958006e-04,6.60620688735028536e-04,2.10513485710160224e-04,3.17941375866432932e-10,1.33374604763258908e-12
14,5.46175351045218808e-03,5.17016108471882543e-04,5.17016118810240317e-04,1.58219179373439331e-04,2.49037418859557750e-10,1.33374604763258908e-12
15,4.03240669933031381e-03,4.04644515202674804e-04,4.04644521432353144e-04,1.22054485931530359e-04,1.79341025189399120e-10,1.33374604763258908e-12
16,2.97637941725880685e-03,3.16033609822872661e-04,3.16033614443357537e-04,9.56796033832266462e-05,1.71425512599026354e-10,1.33374604763258908e-12
17,2.19623380620480400e-03,2.45928119519824126e-04,2.45928122789754785e-04,7.55913971335788994e-05,1.30299494569400073e-10,1.33374604763258908e-12
18,1.62002174070315498e-03,1.90529841009787573e-04,1.90529843258757897e-04,5.98425672107105096e-05,3.34333464360996360e-11,1.33374604763258908e-12
