y,u_numerical,u_reference,error
0.0,0.0,0.0,0.0
0.0547,-0.03620811213932414,-0.03717,0.0009618878606758585
0.0625,-0.040754293093015814,-0.04192,0.0011657069069841847
0.0703,-0.04530047404670748,-0.04775,0.0024495259532925223
0.1016,-0.06137086870257585,-0.06434,0.0029691312974241477
0.1719,-0.09320463872776778,-0.1015,0.008295361272232224
0.2813,-0.1343654737807835,-0.15662,0.022254526219216503
0.4531,-0.17367705769384945,-0.2109,0.03722294230615056
0.5,-0.17281388803071634,-0.20581,0.03299611196928365
0.6172,-0.13242280255394526,-0.13641,0.003987197446054747
0.7344,-0.020267120940822156,0.00332,-0.023587120940822156
0.8516,0.20429129726768303,0.23151,-0.02721870273231697
0.9531,0.6589099563418722,0.68717,-0.02826004365812773
0.9609,0.7093209753600209,0.73722,-0.027899024639979064
0.9688,0.7603782894937868,0.78871,-0.028331710506213192
0.9766,0.8132198771156872,0.84123,-0.028010122884312816
1.0,1.0,1.0,0.0
