x,v_numerical,v_reference,error
0.0,0.0,0.0,0.0
0.0625,0.08666108709419063,0.09233,-0.00566891290580937
0.0703,0.09557218930343446,0.10091,-0.00533781069656554
0.0781,0.1031825028918372,0.1089,-0.0057174971081628
0.0938,0.114531087259732,0.12317,-0.008638912740267998
0.1563,0.14543719552222356,0.16077,-0.015332804477776435
0.2266,0.15606461688812825,0.17507,-0.01900538311187175
0.2344,0.1546440408866844,0.17527,-0.020625959113315606
0.5,0.04191627313090415,0.05454,-0.012623726869095846
0.8047,-0.20491551425163262,-0.24533,0.04041448574836737
0.8594,-0.20698823094867147,-0.22445,0.01746176905132854
0.9063,-0.17056450701419032,-0.16914,-0.0014245070141903071
0.9453,-0.1115491570777819,-0.10313,-0.008419157077781902
0.9531,-0.0967664136541792,-0.08864,-0.00812641365417921
0.9609,-0.08198367023057629,-0.07391,-0.008073670230576285
0.9688,-0.06701140445538875,-0.05906,-0.00795140445538875
1.0,0.0,0.0,0.0
