iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,8.94427190999918936e-02,0.00000000000000000e+00,2.51457800996984226e-02,7.56698552997335050e-11,0.00000000000000000e+00
2,3.88069500642230988e-02,7.99240953079116342e-03,1.98847239639397128e-02,1.37483397264385034e-10,0.00000000000000000e+00
3,2.11008037704892362e-02,7.87927910346475358e-03,1.62202762362522318e-02,1.01781570337715638e-10,0.00000000000000000e+00
4,1.34370113108350456e-02,6.45765693567912965e-03,1.33626043229728916e-02,1.28055575761706947e-10,0.00000000000000000e+00
5,9.44418906109352127e-03,5.22933248418402247e-03,1.11618613313315702e-02,5.46450083609926833e-11,0.00000000000000000e+00
6,7.05244807948882287e-03,4.30759182215580474e-03,9.46935828788895810e-03,7.73878554214249601e-11,0.00000000000000000e+00
7,5.48631859468277135e-03,3.62771247129686737e-03,8.16296798625881261e-03,8.98598894978783767e-11,0.00000000000000000e+00
8,4.40206541450682397e-03,3.10956484499064862e-03,7.14412234076218771e-03,9.05114963374233639e-11,0.00000000000000000e+00
9,3.62200693580275353e-03,2.70469086295255148e-03,6.34022700069203707e-03,3.72480738857076021e-11,0.00000000000000000e+00
10,3.04230709607100375e-03,2.37954120872397668e-03,5.69396377151985735e-03,1.20839722092018115e-11,0.00000000000000000e+00
11,2.59952017422567525e-03,2.11202468983526237e-03,5.16327460264324762e-03,6.05857831808334269e-11,0.00000000000000000e+00
12,2.25137629257292924e-03,1.88627594536784886e-03,4.71635532284046376e-03,6.14680558821408307e-12,0.00000000000000000e+00
13,1.97257510143661764e-03,1.69424892899503301e-03,4.33511046813332170e-03,2.41832497067479127e-11,0.00000000000000000e+00
14,1.74520838412627424e-03,1.52960350420124069e-03,4.00673769609661678e-03,8.45710139955464489e-11,0.00000000000000000e+00
15,1.55669522727823733e-03,1.38667762831212347e-03,3.72121978118476531e-03,5.68700524941128419e-12,0.00000000000000000e+00
16,1.39848004611629428e-03,1.26162277964970656e-03,3.47090761123455610e-03,2.69083642740361479e-11,0.00000000000000000e+00
17,1.26385685803898583e-03,1.15041638813523492e-03,3.24927781834933064e-03,2.48391464390219384e-11,0.00000000000000000e+00
18,1.14819071791011839e-03,1.05205994647839885e-03,3.05167671679808282e-03,6.20068520502489923e-11,0.00000000000000000e+00
19,1.04783676767949453e-03,9.64899975093697266e-04,2.87470943560976487e-03,7.37320105941044941e-11,0.00000000000000000e+00
20,9.59997866236609221e-04,8.87242525810437292e-04,2.71546912160231489e-03,3.03512669182079207e-11,0.00000000000000000e+00
21,8.82529042482812468e-04,8.17761432611986781e-04,2.57153024742346002e-03,1.52758646556428680e-11,0.00000000000000000e+00
22,8.13721401506644010e-04,7.55340952067312752e-04,2.44087027159355357e-03,6.54228693847329350e-11,0.00000000000000000e+00
23,7.52268037869778766e-04,6.99059226538660907e-04,2.32180655692889107e-03,4.71671129635134746e-12,0.00000000000000000e+00
24,6.97075728418230156e-04,6.48140240649865227e-04,2.21292119108604159e-03,2.33900498367966666e-11,0.00000000000000000e+00
25,6.47265702738523355e-04,6.01897996067175031e-04,2.11302232337489413e-03,8.07884702815002853e-12,0.00000000000000000e+00
26,6.02107529972448685e-04,5.59784752660796121e-04,2.02109344337883610e-03,4.27466719425958554e-11,0.00000000000000000e+00
27,5.61009351837292490e-04,5.21321748311612482e-04,1.93623996630831784e-03,3.94012414369029637e-11,0.00000000000000000e+00
28,5.23506968800849194e-04,4.86092908469580251e-04,1.85770176156254004e-03,3.17763868722557781e-11,0.00000000000000000e+00
29,4.89185040592901056e-04,4.53743921259926848e-04,1.78483089569238750e-03,2.04365449423393964e-11,0.00000000000000000e+00
30,4.57668474094513698e-04,4.24004615615057806e-04,1.71706853618028244e-03,6.46470582953926840e-11,0.00000000000000000e+00
31,4.28682300333958657e-04,3.96605574020653291e-04,1.65391910817501409e-03,2.43252816707152239e-12,0.00000000000000000e+00
32,4.01974183007299348e-04,3.71321262345198277e-04,1.59494535736407666e-03,3.09389974814993866e-11,0.00000000000000000e+00
33,3.77322486790065319e-04,3.47956945853682554e-04,1.53976111429018751e-03,2.40811169301311727e-11,0.00000000000000000e+00
34,3.54533257606356794e-04,3.26339017679720244e-04,1.48802558302215662e-03,7.23638587592594556e-11,0.00000000000000000e+00
35,3.33436972538448697e-04,3.06312783544395752e-04,1.43943725936370739e-03,4.41141138329983800e-11,0.00000000000000000e+00
36,3.13889143809139540e-04,2.87741058112476252e-04,1.39372865743811448e-03,5.75576843308028267e-11,0.00000000000000000e+00
37,2.95755679352815190e-04,2.70505858897427125e-04,1.35066142767143447e-03,6.64907276049247631e-11,0.00000000000000000e+00
38,2.78912661813581451e-04,2.54486494746591625e-04,1.31002302229749285e-03,3.30574890817397762e-11,0.00000000000000000e+00
39,2.63258658246458689e-04,2.39584828172977803e-04,1.27162362932042709e-03,2.98564174201785999e-11,0.00000000000000000e+00
40,2.48703079672287451e-04,2.25726698203015518e-04,1.23528932677551169e-03,6.14995167191483165e-11,0.00000000000000000e+00
41,2.35162155260113111e-04,2.12777259009689983e-04,1.20084448111569130e-03,4.08331760360727205e-11,0.00000000000000000e+00
42,2.22559312578821111e-04,2.00672779651314231e-04,1.16812722759399956e-03,1.76934252808175416e-11,0.00000000000000000e+00
43,2.10795867621465805e-04,1.89452937038704416e-04,1.13704185560959347e-03,1.57121987872645845e-11,0.00000000000000000e+00
44,1.99823867154819157e-04,1.79009919931766797e-04,1.10748118883758468e-03,4.17386998189204335e-11,0.00000000000000000e+00
45,1.89588830128457295e-04,1.69278203871528710e-04,1.07934267971002552e-03,2.85658217537668494e-11,0.00000000000000000e+00
46,1.80037144830447437e-04,1.60204664127355784e-04,1.05253123339758728e-03,3.94506518426030892e-11,0.00000000000000000e+00
