cell_id,x,y,z,velocity_x,velocity_y,velocity_z,velocity_magnitude,pressure
0,3.12500000000000000e-02,3.12500000000000000e-02,3.12500000000000000e-02,4.24436053015480339e-05,1.90257951937549679e-05,-6.65530136048949049e-05,8.11957149955687711e-05,0.00000000000000000e+00
1,9.37500000000000000e-02,3.12500000000000000e-02,3.12500000000000000e-02,8.47079013224141588e-06,1.92376004596459948e-04,-8.68534375179278692e-05,2.11243463895672428e-04,-2.64581365621551759e-04
2,1.56250000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-4.82310268408032896e-04,2.99215366469210041e-04,-5.46701574111165952e-05,5.70212115492549506e-04,-4.50571226183295759e-04
3,2.18750000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-1.21649549226750275e-03,3.52846468301914800e-04,-2.87517582672445156e-05,1.26696036895545638e-03,-4.23828954573949787e-04
4,2.81250000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-2.06536451811036676e-03,3.80041749813421275e-04,-2.67536420324013470e-05,2.10020905664948330e-03,-1.05466972521755804e-04
5,3.43750000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-2.91838590228309276e-03,3.86740718134077812e-04,-5.56128282586976252e-05,2.94442480705052077e-03,5.49096554552531177e-04
6,4.06250000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-3.65669764223329648e-03,3.70137855414189769e-04,-1.13732703902567379e-04,3.67714220647803519e-03,1.53638186593751448e-03
7,4.68750000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-4.15218766585284411e-03,3.23629316982670663e-04,-1.96306572192848103e-04,4.16940458789468674e-03,2.80552444700564192e-03
8,5.31250000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-4.30026089228436898e-03,2.48339695715247112e-04,-2.86273175205060287e-04,4.31692815286753226e-03,4.23562000054867899e-03
9,5.93750000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-4.04066068240287353e-03,1.54044451060287554e-04,-3.65819271901054273e-04,4.06010987325628164e-03,5.66265478451530042e-03
10,6.56250000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-3.38718731061082726e-03,5.65963925036372631e-05,-4.20897510932944491e-04,3.41370703832607472e-03,6.91168470018658446e-03
11,7.18750000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-2.43364013170483491e-03,-1.91297190373639170e-05,-4.34004201707918855e-04,2.47211041094343165e-03,7.81341343229785892e-03
12,7.81250000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-1.36640855151561351e-03,-4.81624613920939213e-05,-3.96471896944543885e-04,1.42358066768594020e-03,8.26602765686406532e-03
13,8.43750000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,-4.32800581459792536e-04,-1.40912418369442313e-05,-3.07897114654969936e-04,5.31333736573631776e-04,8.27832379194931925e-03
14,9.06250000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,1.11654768218972240e-04,7.33726038366738065e-05,-1.81981028650674719e-04,2.25759653278799103e-04,7.99613486674994808e-03
15,9.68750000000000000e-01,3.12500000000000000e-02,3.12500000000000000e-02,7.72023870196846890e-05,1.14993493456155984e-04,-4.37319227675966057e-05,1.45245286215213215e-04,7.68289334284856518e-03
16,3.12500000000000000e-02,9.37500000000000000e-02,3.12500000000000000e-02,-9.05789734695001584e-05,3.52622309101890540e-04,-2.68158394098672915e-04,4.52168074543876685e-04,3.39352190900469002e-04
17,9.37500000000000000e-02,9.37500000000000000e-02,3.12500000000000000e-02,-5.21425105181012069e-04,1.15092677635195151e-03,-4.90189173514901481e-04,1.35528668947501531e-03,1.60109144831457450e-04
18,1.56250000000000000e-01,9.37500000000000000e-02,3.12500000000000000e-02,-1.69853082722311072e-03,1.62341105266955704e-03,-5.44321608510459857e-04,2.41179527125507049e-03,1.07975241912135718e-04
19,2.18750000000000000e-01,9.37500000000000000e-02,3.12500000000000000e-02,-3.26829695248477764e-03,1.86796697136880374e-03,-5.52549077548901489e-04,3.80478331299512586e-03,2.14365368787328202e-04
