iteration,u_residual,v_residual,w_residual,p_residual,continuity_residual,global_mass_imbalance
1,2.66666666666666198e-02,0.00000000000000000e+00,0.00000000000000000e+00,6.85941038895546574e-03,5.69278664012374619e-07,0.00000000000000000e+00
2,1.19580368621005108e-02,2.12035972643597175e-03,5.65110775992057695e-05,4.41225260523549039e-03,3.44759455360764626e-07,0.00000000000000000e+00
3,6.33663709677894597e-03,2.08827492628505841e-03,7.56280149089684571e-05,2.86931049816189533e-03,2.79793451684239903e-07,0.00000000000000000e+00
4,3.90497633182543182e-03,1.67284027760681913e-03,1.00125061376432875e-04,1.92580213427853003e-03,1.45919053834385506e-07,0.00000000000000000e+00
5,2.68361071999030382e-03,1.33300388987285263e-03,9.94695995163424190e-05,1.35897710869288752e-03,1.09607776771020944e-07,0.00000000000000000e+00
6,1.95837196133026841e-03,1.10419211804140124e-03,9.49301029735132620e-05,9.89961966812521457e-04,8.61462201863191242e-08,0.00000000000000000e+00
7,1.48124650756151915e-03,9.47891718861946283e-04,9.14080148375936269e-05,7.28974732645530036e-04,5.15799014519835776e-08,0.00000000000000000e+00
8,1.16160876726127964e-03,8.29405124119456864e-04,8.88368495998603683e-05,5.49454842452913638e-04,3.54354996607019807e-08,0.00000000000000000e+00
9,9.42615695897065613e-04,7.18971183181586217e-04,8.71377653145126663e-05,4.23488516686487400e-04,3.48794982775524714e-08,0.00000000000000000e+00
10,7.79600166320356877e-04,6.20976463710742085e-04,8.56452580305156933e-05,3.32376570459756314e-04,2.21999735867347776e-08,0.00000000000000000e+00
11,6.61308687624712586e-04,5.46812025602581614e-04,8.38887782245605252e-05,2.69224951887427478e-04,1.68330675342408462e-08,0.00000000000000000e+00
12,5.73858639462937687e-04,4.86813976429478670e-04,8.18018542464983252e-05,2.26872753886077052e-04,1.84073750398394281e-08,0.00000000000000000e+00
13,5.02495504562648653e-04,4.35618148122805663e-04,7.94466618263472908e-05,1.96764820073296477e-04,2.86910130704932039e-09,0.00000000000000000e+00
14,4.45560267189038482e-04,3.91286738817866607e-04,7.66863971849577112e-05,1.74571003802591481e-04,1.25008221017149275e-08,0.00000000000000000e+00
15,3.93226163944148017e-04,3.49008662548482593e-04,7.35392818246884930e-05,1.53009671240127376e-04,1.13917766407142486e-08,0.00000000000000000e+00
16,3.48682601498405507e-04,3.10671300930172051e-04,7.02047317706328390e-05,1.32415690209192492e-04,8.84857056093151600e-09,0.00000000000000000e+00
17,3.07159684206418997e-04,2.78121251648194134e-04,6.66784237664427951e-05,1.13207599210776716e-04,8.90134798261766286e-09,0.00000000000000000e+00
18,2.73760576685222316e-04,2.50322555621292715e-04,6.30435142398704526e-05,9.80397624023597510e-05,5.41854927402907302e-09,0.00000000000000000e+00
19,2.45910025793229486e-04,2.25987082186345379e-04,5.94393426163747018e-05,8.60745374737800306e-05,6.33911563837310483e-09,0.00000000000000000e+00
20,2.22430281613286831e-04,2.04525988532666447e-04,5.58960219314846043e-05,7.63831503351976770e-05,7.60449999407637140e-09,0.00000000000000000e+00
