cell_id,x,y,z,velocity_x,velocity_y,velocity_z,velocity_magnitude,pressure
0,1.56250000000000000e-02,1.56250000000000000e-02,1.56250000000000000e-02,1.45656044698117443e-04,-8.76863366204262630e-05,-6.68213556324675828e-05,1.82673672310958374e-04,0.00000000000000000e+00
1,4.68750000000000000e-02,1.56250000000000000e-02,1.56250000000000000e-02,7.35077282506983731e-04,-1.68079906593537236e-04,-2.38457229363138641e-04,7.90854801144868017e-04,3.38514288768246570e-06
2,7.81250000000000000e-02,1.56250000000000000e-02,1.56250000000000000e-02,1.75057888973259644e-03,-1.78688715752356670e-04,-2.97869051973291370e-04,1.78470784119925453e-03,-1.20028490501348858e-04
3,1.09375000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,2.72393557118671276e-03,-1.25660917175953498e-04,-2.89592967573266166e-04,2.74216698050094593e-03,-3.77846247876945627e-04
4,1.40625000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,3.44642659227793182e-03,-2.79969063574527887e-05,-2.69577555323635178e-04,3.45706698533024314e-03,-7.48215027071304282e-04
5,1.71875000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,3.85728232245063701e-03,9.51710759043430872e-05,-2.66302933039356117e-04,3.86763515612891483e-03,-1.20195731008324318e-03
6,2.03125000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,3.96183809752582126e-03,2.32687616372163490e-04,-2.87676640823447964e-04,3.97907809517423789e-03,-1.71156035098529811e-03
7,2.34375000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,3.78513875529337945e-03,3.83222187022680665e-04,-3.31740740242099895e-04,3.81892479111421322e-03,-2.25398632712324508e-03
8,2.65625000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,3.34142742164623497e-03,5.51057558247674628e-04,-3.93263291057329529e-04,3.40931923743209141e-03,-2.80812440144093036e-03
9,2.96875000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,2.63821626540763823e-03,7.34902878976246448e-04,-4.69872433247486420e-04,2.77867727671187370e-03,-3.35018072822313925e-03
10,3.28125000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,1.69133253398396298e-03,9.33717206618645186e-04,-5.63043500437054043e-04,2.01232491060284509e-03,-3.85409192875680673e-03
11,3.59375000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,5.41616359126071301e-04,1.14203159647757301e-03,-6.82815457779078995e-04,1.43660063942911741e-03,-4.29142527829703621e-03
12,3.90625000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,-7.21302124097422713e-04,1.34646182779625295e-03,-8.40773546207633873e-04,1.74359868202016047e-03,-4.63522585558394894e-03
13,4.21875000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,-1.96120854113470983e-03,1.53422168452309804e-03,-1.04084866217939577e-03,2.69880363432415489e-03,-4.86725763038734025e-03
14,4.53125000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,-3.03033469872684372e-03,1.69258497305841923e-03,-1.26804640102360874e-03,3.69536384575051098e-03,-4.98414109336416892e-03
15,4.84375000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,-3.80862873929552767e-03,1.80614566885910579e-03,-1.49370372607318018e-03,4.47202033450332711e-03,-4.99761684975475774e-03
16,5.15625000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,-4.22864608824546299e-03,1.86417003098537340e-03,-1.69163146864561740e-03,4.92119849932613415e-03,-4.93246144150965779e-03
17,5.46875000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,-4.23624352039030962e-03,1.85409099385641391e-03,-1.84904264685458006e-03,4.98019791649241018e-03,-4.81888637885964644e-03
18,5.78125000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,-3.80503216784276212e-03,1.77216795454700595e-03,-1.94025821984744498e-03,4.62422436924583933e-03,-4.69560414303411746e-03
19,6.09375000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,-3.00263004831100066e-03,1.63745578356176355e-03,-1.93966614169871986e-03,3.93183842386642200e-03,-4.60573803327661568e-03
20,6.40625000000000000e-01,1.56250000000000000e-02,1.56250000000000000e-02,-1.96916307913859575e-03,1.45341946883291938e-03,-1.82869706541547035e-03,3.05518646594349656e-03,-4.58294864595306609e-03
