iteration,u_residual,v_residual,w_residual,p_residual,continuity_residual,global_mass_imbalance
1,2.66666666666668392e-03,0.00000000000000000e+00,0.00000000000000000e+00,2.47084434387707204e-03,2.46657272256794360e-07,0.00000000000000000e+00
2,1.23627410178025663e-03,2.59981517575407883e-04,5.09397455224227839e-06,1.65032822076264770e-03,7.22192248200890657e-08,0.00000000000000000e+00
3,8.91501342304314398e-04,2.47550592712548611e-04,1.16183621472543382e-05,1.26208234086363645e-03,2.64488903484218368e-08,0.00000000000000000e+00
4,6.94904785600309184e-04,2.58620414502808583e-04,1.52652385509100575e-05,1.04225972891492844e-03,4.18426000556231542e-09,0.00000000000000000e+00
5,5.55268639695059548e-04,3.02846895335209842e-04,1.79630105584180863e-05,8.62766459752919166e-04,1.34566224964685788e-08,0.00000000000000000e+00
6,4.55996185516676365e-04,3.22946725895069267e-04,1.97092633989181963e-05,6.98764245676010832e-04,2.82443655720833181e-08,0.00000000000000000e+00
7,3.82527590112006208e-04,2.95390183343388298e-04,2.13229268477898659e-05,5.53713559163526302e-04,4.17421708774822717e-08,0.00000000000000000e+00
8,3.18364147872647629e-04,2.71080235956307973e-04,2.30632492503787993e-05,4.46165921408620621e-04,3.49610472874204438e-08,0.00000000000000000e+00
9,2.68957325805200967e-04,2.57141995798083976e-04,2.48377533078332125e-05,3.68540106370431552e-04,3.16973532682745772e-08,0.00000000000000000e+00
10,2.37196920465731532e-04,2.55393658990891016e-04,2.63085415288378643e-05,3.18928059976571459e-04,2.43501415171828708e-08,0.00000000000000000e+00
11,2.04090774678072266e-04,2.50187650304561037e-04,2.73530293170012977e-05,2.91294354068192456e-04,1.76879804075122720e-08,0.00000000000000000e+00
12,1.87808686577079669e-04,2.33563472895990812e-04,2.80483315902377029e-05,2.71254197169164637e-04,2.66525180415752018e-08,0.00000000000000000e+00
13,1.83756206411697610e-04,2.19173510602898582e-04,2.88016075795460899e-05,2.53826100246937777e-04,1.35983221437576845e-08,0.00000000000000000e+00
14,1.71820178335305417e-04,2.04291183447695646e-04,2.97448669663655348e-05,2.42208161917956469e-04,9.85961053264860391e-09,0.00000000000000000e+00
15,1.63383523476440706e-04,1.94969515049542454e-04,3.05360756073138129e-05,2.32158033617581099e-04,1.53644856851226559e-08,0.00000000000000000e+00
16,1.66488093839411159e-04,1.91373854493323564e-04,3.13437846077488629e-05,2.29041070064302590e-04,1.06847978061784861e-08,0.00000000000000000e+00
17,1.66965787257505942e-04,1.85629733863601975e-04,3.20339826642610548e-05,2.31329289027598384e-04,2.19722377199726608e-08,0.00000000000000000e+00
18,1.62396315956863627e-04,1.73844993361484037e-04,3.27107376122016478e-05,2.25164196343752889e-04,1.60255996494489815e-08,0.00000000000000000e+00
19,1.63052285188952135e-04,1.65014295548568558e-04,3.34951810215278426e-05,2.16958254227328376e-04,1.51937823868548134e-08,0.00000000000000000e+00
20,1.64612006079436097e-04,1.60636007392100683e-04,3.42189532471334670e-05,2.12730117167412225e-04,7.66292236173535835e-09,0.00000000000000000e+00
21,1.63292035157822503e-04,1.51495531093351343e-04,3.47984148073300536e-05,2.06053540027259903e-04,3.44847796192133137e-09,0.00000000000000000e+00
22,1.60464807490828571e-04,1.40730850181810006e-04,3.54285312234074872e-05,1.94256947656475852e-04,1.55959593144951472e-08,0.00000000000000000e+00
23,1.59368967612498924e-04,1.35908864464724021e-04,3.60463241669478830e-05,1.84934969802473667e-04,1.60635300876831796e-08,0.00000000000000000e+00
