y,u_numerical,u_reference,error
0.0,0.0,0.0,0.0
0.0547,-0.037387020308589904,-0.03717,-0.00021702030858990196
0.0625,-0.04207929343439591,-0.04192,-0.00015929343439591293
0.0703,-0.04669749685214961,-0.04775,0.001052503147850388
0.1016,-0.06418548182497713,-0.06434,0.00015451817502286358
0.1719,-0.09994231104726115,-0.1015,0.0015576889527388615
0.2813,-0.15128436177951254,-0.15662,0.005335638220487465
0.4531,-0.2025053097051236,-0.2109,0.008394690294876411
0.5,-0.19931503676194445,-0.20581,0.00649496323805554
0.6172,-0.13907016513417453,-0.13641,-0.0026601651341745247
0.7344,-0.005174771555026626,0.00332,-0.008494771555026627
0.8516,0.22596125409306372,0.23151,-0.00554874590693627
0.9531,0.6823181308199671,0.68717,-0.004851869180032886
0.9609,0.7327305994110772,0.73722,-0.004489400588922776
0.9688,0.7850230196648484,0.78871,-0.0036869803351515795
0.9766,0.8384804812642049,0.84123,-0.002749518735795098
1.0,1.0,1.0,0.0
