x,v_numerical,v_reference,error
0.0,0.0,0.0,0.0
0.0625,0.09334578255602057,0.09233,0.0010157825560205697
0.0703,0.10202800415157941,0.10091,0.0011180041515794076
0.0781,0.10998542754602772,0.1089,0.001085427546027723
0.0938,0.12432471285374229,0.12317,0.0011547128537422874
0.1563,0.1610105135832748,0.16077,0.0002405135832748151
0.2266,0.17327517832059436,0.17507,-0.0017948216794056449
0.2344,0.17328831167860012,0.17527,-0.001981688321399888
0.5,0.05223921416476908,0.05454,-0.002300785835230919
0.8047,-0.24078047214082807,-0.24533,0.004549527859171926
0.8594,-0.22707617330503727,-0.22445,-0.002626173305037255
0.9063,-0.17612504781141075,-0.16914,-0.006985047811410738
0.9453,-0.10964828031251674,-0.10313,-0.006518280312516736
0.9531,-0.09455332895122892,-0.08864,-0.0059133289512289244
0.9609,-0.0791412141472808,-0.07391,-0.005231214147280797
0.9688,-0.0633124153765632,-0.05906,-0.004252415376563193
1.0,0.0,0.0,0.0
