iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,1.78885438199983982e-01,0.00000000000000000e+00,6.28644502717844427e-03,6.67285359535323805e-08,0.00000000000000000e+00
2,8.02726942615548944e-02,1.17142979880262722e-02,5.15814818198003216e-03,8.41848471672729234e-08,0.00000000000000000e+00
3,4.27400355506557389e-02,9.91565232769813648e-03,4.23498534664800905e-03,8.20700301080450968e-08,0.00000000000000000e+00
4,2.66848756425318474e-02,7.78509779319635532e-03,3.50920359438123761e-03,9.76040263352311891e-08,0.00000000000000000e+00
5,1.89405740770343597e-02,6.24398226506453317e-03,2.96005200570787028e-03,8.43240525740501346e-08,0.00000000000000000e+00
6,1.46962473908119427e-02,5.19264779588095651e-03,2.54300756951413584e-03,8.45286009207382407e-08,0.00000000000000000e+00
7,1.20776690226903245e-02,4.46203422155843146e-03,2.22080729029475610e-03,9.43533585958647683e-08,0.00000000000000000e+00
8,1.03029265077211468e-02,3.93458637615951359e-03,1.96658860979517965e-03,9.15890634198716022e-08,0.00000000000000000e+00
9,9.01456349610456863e-03,3.53827831923318346e-03,1.76166786267726574e-03,8.28454065608719737e-08,0.00000000000000000e+00
10,8.03214273759468231e-03,3.22894890054186258e-03,1.59327422859522000e-03,9.69016418123411093e-08,0.00000000000000000e+00
11,7.25536683283950143e-03,2.98002494572191436e-03,1.45251400817102009e-03,9.57900889271426642e-08,0.00000000000000000e+00
12,6.62364780689671685e-03,2.77481417192284490e-03,1.33300749537062775e-03,5.20268832398615979e-08,0.00000000000000000e+00
13,6.09857533875685868e-03,2.60245197966781777e-03,1.23024773761124646e-03,6.82067518059626026e-08,0.00000000000000000e+00
14,5.65510277067514389e-03,2.45364282337682833e-03,1.14095488485741934e-03,9.92606396350022887e-08,0.00000000000000000e+00
15,5.27400541240119741e-03,2.32613516262648087e-03,1.06267081342056847e-03,7.42680542767278586e-08,0.00000000000000000e+00
16,4.94322617940419658e-03,2.21378127496440992e-03,9.93508529067099961e-04,8.67431237571004358e-08,0.00000000000000000e+00
17,4.65322130912967404e-03,2.11377254691568059e-03,9.31999294077107588e-04,9.37812217310375874e-08,0.00000000000000000e+00
18,4.39612458356771450e-03,2.02525030552613665e-03,8.76955119094950056e-04,9.69025022239946577e-08,0.00000000000000000e+00
19,4.16704374728702788e-03,1.94502721772397882e-03,8.27452011545132368e-04,9.86919141696613878e-08,0.00000000000000000e+00
20,3.96114580339584302e-03,1.87273514521957133e-03,7.82728213284757373e-04,9.44775055749736657e-08,0.00000000000000000e+00
