cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure
0,3.12500000000000000e-02,3.12500000000000000e-02,8.10792086560380931e-01,1.68888383782003881e-01,8.28195081973706060e-01,1.16083237456086845e+01
1,9.37500000000000000e-02,3.12500000000000000e-02,7.26700763388827831e-01,1.07578221378149583e-01,7.34620359930754474e-01,8.55950278792889385e+00
2,1.56250000000000000e-01,3.12500000000000000e-02,4.80287540014082859e-01,1.00726272685361495e-01,4.90736082942619001e-01,9.01200633954073105e+00
3,2.18750000000000000e-01,3.12500000000000000e-02,4.04020809125735791e-01,4.67210819121151727e-02,4.06713257346810353e-01,8.02146527054616243e+00
4,2.81250000000000000e-01,3.12500000000000000e-02,2.94203397517326104e-01,3.07523856640705903e-02,2.95806268247935433e-01,8.21351555694651658e+00
5,3.43750000000000000e-01,3.12500000000000000e-02,2.77888431990100493e-01,1.14601531561357960e-02,2.78124640663639844e-01,7.95551098038023508e+00
6,4.06250000000000000e-01,3.12500000000000000e-02,2.28603729712116260e-01,8.22234228230951138e-03,2.28751551144244170e-01,7.90204738836472487e+00
7,4.68750000000000000e-01,3.12500000000000000e-02,2.31687725894124535e-01,2.77690153465535864e-03,2.31704366622910579e-01,7.96560035657695220e+00
8,5.31250000000000000e-01,3.12500000000000000e-02,2.02524566415501150e-01,2.51203446697023181e-03,2.02540144956376456e-01,7.70078410451948869e+00
9,5.93750000000000000e-01,3.12500000000000000e-02,2.11539366503860848e-01,9.70706232152380327e-04,2.11541593667637640e-01,7.97818698351119959e+00
10,6.56250000000000000e-01,3.12500000000000000e-02,1.89521765509692908e-01,8.61272882033504018e-04,1.89523722506941994e-01,7.52878508139982916e+00
11,7.18750000000000000e-01,3.12500000000000000e-02,2.01708453912254143e-01,3.11735127766593254e-04,2.01708694801344235e-01,7.99135117862339683e+00
12,7.81250000000000000e-01,3.12500000000000000e-02,1.82617278449031306e-01,3.51651272037295439e-04,1.82617617021874873e-01,7.36428688443242763e+00
13,8.43750000000000000e-01,3.12500000000000000e-02,1.96893232215986508e-01,1.63921459161414922e-04,1.96893300451547015e-01,8.00578152560383849e+00
14,9.06250000000000000e-01,3.12500000000000000e-02,1.79000124159056223e-01,2.47555488001657310e-04,1.79000295342430032e-01,7.19980271859835508e+00
15,9.68750000000000000e-01,3.12500000000000000e-02,1.94739758310340932e-01,2.29996411806306555e-04,1.94739894128346080e-01,8.02159709616269012e+00
16,1.03125000000000000e+00,3.12500000000000000e-02,1.77185757477301087e-01,3.42753038044903385e-04,1.77186088992477203e-01,7.03289457989920219e+00
17,1.09375000000000000e+00,3.12500000000000000e-02,1.94231069354095259e-01,4.21767989448861361e-04,1.94231527282962724e-01,8.04012078219586535e+00
18,1.15625000000000000e+00,3.12500000000000000e-02,1.76738466121694193e-01,5.86200648693481355e-04,1.76739438265062332e-01,6.86277820147089201e+00
19,1.21875000000000000e+00,3.12500000000000000e-02,1.95301479649042570e-01,7.53221128975625526e-04,1.95302932121293377e-01,8.06260077384328966e+00
20,1.28125000000000000e+00,3.12500000000000000e-02,1.78051827948063401e-01,1.01191641357294831e-03,1.78054703421377886e-01,6.68906775259041897e+00
21,1.34375000000000000e+00,3.12500000000000000e-02,1.98838843027950379e-01,1.26887785973991908e-03,1.98842891619783135e-01,8.08994802394281720e+00
22,1.40625000000000000e+00,3.12500000000000000e-02,1.82710280383148210e-01,1.57108609105068996e-03,1.82717034972643216e-01,6.51062303542974163e+00
23,1.46875000000000000e+00,3.12500000000000000e-02,2.07595829582595065e-01,1.83971939914079645e-03,2.07603981242059588e-01,8.12217989343543501e+00
24,1.53125000000000000e+00,3.12500000000000000e-02,1.95018068539933614e-01,1.71244105577829245e-03,1.95025586812130280e-01,6.32242453963941742e+00
25,1.59375000000000000e+00,3.12500000000000000e-02,2.28999889754259417e-01,2.01153806600483766e-03,2.29008724272360326e-01,8.15520645620753193e+00
26,1.65625000000000000e+00,3.12500000000000000e-02,2.24748938105885449e-01,1.00989041858331671e-03,2.24751207023189709e-01,6.09949718970106058e+00
27,1.71875000000000000e+00,3.12500000000000000e-02,2.76280452550727973e-01,-4.46114329378476864e-04,2.76280812724354674e-01,8.16927296702041517e+00
28,1.78125000000000000e+00,3.12500000000000000e-02,2.93376664353770245e-01,-3.09256156597626170e-03,2.93392963658612838e-01,5.79200205819294034e+00
29,1.84375000000000000e+00,3.12500000000000000e-02,3.74241899991883176e-01,-7.23663366949091769e-03,3.74311860053086087e-01,8.08042994617154875e+00
30,1.90625000000000000e+00,3.12500000000000000e-02,4.25962399870352670e-01,-9.64478131827800969e-03,4.26071576040913169e-01,5.27250105789504353e+00
31,1.96875000000000000e+00,3.12500000000000000e-02,5.30387792801047309e-01,-9.43969918750795639e-03,5.30471788762717611e-01,7.68286271058158476e+00
32,3.12500000000000000e-02,9.37500000000000000e-02,1.00792558783012254e+00,2.93635606686995621e-01,1.04982658573553844e+00,9.14288276528348653e+00
