iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,7.83333333333333326e-01,0.00000000000000000e+00,1.70643412988514209e-01,4.17539187921838524e-11,1.27437296826293789e-12
2,3.21189628655395643e+00,3.10024303643664012e-01,1.37953384375511051e-01,2.73041073598647134e-11,1.27437296826293789e-12
3,5.01827460878097820e-01,1.60161277721244943e-01,6.43270622269216386e-02,1.38563785436417481e-11,1.27437296826293789e-12
4,2.25610747440507714e-01,8.11964751571771504e-02,4.33245508103178717e-02,8.70510197768393498e-12,1.27437296826293789e-12
5,1.49878282865222617e-01,5.08942143996845980e-02,3.23635779740219301e-02,8.30837901071475766e-12,1.27437296826293789e-12
6,1.13445346864401581e-01,3.94411348129587239e-02,2.65194256289604871e-02,5.95250929780312022e-12,1.27437296826293789e-12
7,9.15472156079095989e-02,3.23806114411300180e-02,2.30197157511970001e-02,5.60457862850190906e-12,1.27437296826293789e-12
8,7.63958026951867541e-02,2.68277421946119497e-02,2.06168317340446501e-02,4.96326686334095018e-12,1.27437296826293789e-12
9,6.49543281077095691e-02,2.25745253034099654e-02,1.88311673124585584e-02,4.32721821448714632e-12,1.27437296826293789e-12
10,5.58557611320716421e-02,1.93798683394630564e-02,1.74284192844488123e-02,3.65314153213314435e-12,1.27437296826293789e-12
11,4.84639772428162516e-02,1.69165794463200340e-02,1.62854156752287281e-02,3.29768694392431045e-12,1.27437296826293789e-12
12,4.23146888706956159e-02,1.49605465573863870e-02,1.53221558400954087e-02,3.25426520600220153e-12,1.27437296826293789e-12
13,3.70888828705357720e-02,1.33532353170665915e-02,1.44900548593054797e-02,2.84474765342992766e-12,1.27437296826293789e-12
14,3.26245253429700705e-02,1.20316807775023848e-02,1.37601620094767955e-02,3.18302043865389570e-12,1.27437296826293789e-12
15,2.87596085066536902e-02,1.09107316581808968e-02,1.31081949478576848e-02,2.89845877787588672e-12,1.27437296826293789e-12
16,2.53984086142755860e-02,9.95305065727526347e-03,1.25212415574713926e-02,2.87910843002569185e-12,1.27437296826293789e-12
17,2.24825676238584599e-02,9.11204165883563663e-03,1.19943255427494098e-02,2.73080849870626538e-12,1.27437296826293789e-12
