cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure
0,6.44415168557058438e-02,6.62249868206448294e-02,8.37425400730930747e-01,1.60472723223264446e-01,8.52662182044008787e-01,1.26091628040309480e+01
1,1.90524646967081351e-01,7.09779117592745507e-02,7.59445266339745961e-01,1.07566906651323374e-01,7.67025261625966404e-01,9.63866526637118604e+00
2,3.16435595708644990e-01,7.10266936316491376e-02,5.77176702344733839e-01,9.82255739816465107e-02,5.85475199400935731e-01,1.03788637872431728e+01
3,4.42515063330756853e-01,6.63412035155593327e-02,4.83347530225129718e-01,4.98002153914203702e-02,4.85906263005288441e-01,8.92871904401376248e+00
4,5.69112531172422664e-01,5.95791333603662085e-02,3.67427735154444490e-01,2.99165836653362792e-02,3.68643652514090758e-01,9.61817936414240293e+00
5,6.96445064494873756e-01,5.46532760259833689e-02,3.22702948735763051e-01,9.37778107627206328e-03,3.22839179624578698e-01,8.54839064875234556e+00
6,8.24158172675967471e-01,5.45004873814531887e-02,3.04542571636787496e-01,3.63696985093486368e-03,3.04564287940730927e-01,9.22577077665362921e+00
7,9.51431780387243964e-01,5.92076807877789935e-02,3.36534218748423097e-01,-2.71726420156000181e-03,3.36545188516122695e-01,8.34900566668673960e+00
8,1.07790972329339207e+00,6.59606210151781891e-02,3.70282065855911224e-01,-2.43840660542020518e-04,3.70282146143706359e-01,8.84187611762063419e+00
9,1.20384519220619213e+00,7.08472909724589539e-02,3.97564169712469440e-01,-1.15701191087644577e-03,3.97565853307005113e-01,8.10707882971334648e+00
10,1.32961099185288201e+00,7.10826483512643353e-02,3.93722772930948373e-01,-8.98821547145100879e-04,3.93723798880139753e-01,8.52647001803647164e+00
11,1.45552316852614072e+00,6.65216329504340759e-02,3.75276130232739646e-01,2.58443535710879300e-03,3.75285029315819196e-01,7.79994471747980445e+00
12,1.58187879277419241e+00,5.97537683006081968e-02,3.30929667980434938e-01,1.94407422644966767e-03,3.30935378245117262e-01,8.22676890520334503e+00
13,1.70885422263094799e+00,5.46994492764756868e-02,3.08283241557336662e-01,1.66900881914769784e-03,3.08287759431894404e-01,7.50978633825386677e+00
