iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,1.10900149065694742e+00,0.00000000000000000e+00,2.48634364390125651e-01,9.34203308417690756e-11,3.79839215636224026e-12
2,3.43469926615896393e+00,6.15635078465229468e-01,5.13205000229234543e-01,2.15647161717205822e-10,3.79839215636224026e-12
3,8.89260670547668552e-01,9.28878559548439564e-01,2.59858593969699347e-01,9.13594413590843147e-11,3.79839215636224026e-12
4,6.57389642374598293e-01,2.20495922240953018e-01,1.27366204362185015e-01,4.62412879988398861e-11,3.79839215636224026e-12
5,2.24872461966795639e-01,1.33792229323013906e-01,1.14238144791291171e-01,3.87121456310841540e-11,3.79839215636224026e-12
6,1.52178846090108261e-01,9.90882962892054159e-02,5.02518328979205398e-02,2.14844625410584674e-11,3.79839215636224026e-12
7,1.11480899327964830e-01,5.63182481897943135e-02,2.90637316202197980e-02,1.10021088400444047e-11,3.79839215636224026e-12
8,7.15544594366874787e-02,4.66414212930712432e-02,2.40217703375189620e-02,8.34321904381647830e-12,3.79839215636224026e-12
9,4.97014550425635901e-02,2.90654305737305003e-02,2.10076621777388964e-02,7.83208994785327888e-12,3.79839215636224026e-12
10,3.55403789514169080e-02,2.18875565834839546e-02,1.83602073166261801e-02,6.92933851029079161e-12,3.79839215636224026e-12
11,2.69551589432873440e-02,1.81297789281345822e-02,1.62302590782338364e-02,5.40337373014531419e-12,3.79839215636224026e-12
12,2.11344957843443565e-02,1.56724876057065012e-02,1.48165104681605708e-02,6.08011367789596269e-12,3.79839215636224026e-12
13,1.67852665606970132e-02,1.37605108215553516e-02,1.37287741936252036e-02,4.92448758727594025e-12,3.79839215636224026e-12
14,1.37079155526288101e-02,1.22369223284748054e-02,1.28003920480195699e-02,5.12816915393543199e-12,3.79839215636224026e-12
15,1.15467182340692597e-02,1.10111363098427985e-02,1.19828858013842753e-02,4.75811650897607037e-12,3.79839215636224026e-12
16,9.96547150065757101e-03,1.00101190667025875e-02,1.12530030028130026e-02,3.76389933012091499e-12,3.79839215636224026e-12
17,8.80332651952829386e-03,9.14807061754481857e-03,1.05990377778777071e-02,3.45342667138078135e-12,3.79839215636224026e-12
18,7.89937971559800424e-03,8.42304958623041854e-03,1.00111039245991441e-02,3.25891544154813367e-12,3.79839215636224026e-12
19,7.20126684783514368e-03,7.79452436337735310e-03,9.48269792991807657e-03,4.14112834836489900e-12,3.79839215636224026e-12
20,6.62283173692135123e-03,7.24686734931198444e-03,9.00684885424729402e-03,3.77517358952075620e-12,3.79839215636224026e-12
21,6.14428677694790152e-03,6.75365817800513239e-03,8.57678720652376055e-03,3.32232828919647298e-12,3.79839215636224026e-12
22,5.71884730304054578e-03,6.31293115783417794e-03,8.18610369347985353e-03,3.09379720691475575e-12,3.79839215636224026e-12
23,5.34217217079448366e-03,5.91693162709058720e-03,7.83012186696006342e-03,4.14758506472603641e-12,3.79839215636224026e-12
24,5.00625728551127702e-03,5.55106281462037707e-03,7.50383473487210850e-03,3.87541365506737713e-12,3.79839215636224026e-12
25,4.70435339744426900e-03,5.11991880886056207e-03,7.19752598005228127e-03,3.64736435416923627e-12,3.79839215636224026e-12
26,4.42970488630589805e-03,4.73278666086104829e-03,6.91209472451733645e-03,3.49511284413534324e-12,3.79839215636224026e-12
27,4.18526993394231599e-03,4.43512755739760688e-03,6.65029424033132272e-03,3.38776280268746911e-12,3.79839215636224026e-12
28,3.97071102505960980e-03,4.17942786878910000e-03,6.41042143532062365e-03,3.28116748902540385e-12,3.79839215636224026e-12
29,3.76339040391422512e-03,3.95673281259401217e-03,6.18982339247509984e-03,3.14819574449671874e-12,3.79839215636224026e-12
30,3.56755385692453112e-03,3.75501881391084253e-03,5.98628050412088487e-03,4.27240235918924635e-12,3.79839215636224026e-12
31,3.38995143497299554e-03,3.56963554925908118e-03,5.79804330783552455e-03,3.71937166105223832e-12,3.79839215636224026e-12
32,3.22983219971326521e-03,3.39879674494962319e-03,5.62352574236715374e-03,3.70267912099983012e-12,3.79839215636224026e-12
33,3.08302297705756586e-03,3.24115030358231634e-03,5.46122620008972302e-03,3.46276956560130443e-12,3.79839215636224026e-12
34,2.95013669145994866e-03,3.09560989705403742e-03,5.31004761618236384e-03,3.47013907806755474e-12,3.79839215636224026e-12
35,2.83716285243868632e-03,2.96105057560158095e-03,5.16926957795514619e-03,3.36877306322835166e-12,3.79839215636224026e-12
36,2.72345293919954747e-03,2.82933871676054266e-03,5.03692667326242211e-03,3.22843856023488212e-12,3.79839215636224026e-12
37,2.61206880871153605e-03,2.69961621718661999e-03,4.91164305352694616e-03,4.21029407060863642e-12,3.79839215636224026e-12
38,2.51082934770022366e-03,2.57580944332004482e-03,4.79199418405219096e-03,3.98964726793729334e-12,3.79839215636224026e-12
39,2.41612442025832116e-03,2.47103405059528533e-03,4.67870010711108480e-03,3.77986199409441183e-12,3.79839215636224026e-12
40,2.32770438270808429e-03,2.37680510411619576e-03,4.57160863802936416e-03,3.61206243079597099e-12,3.79839215636224026e-12
41,2.24514031481901381e-03,2.29017796328269884e-03,4.47031840186625472e-03,3.47864206524212654e-12,3.79839215636224026e-12
42,2.16789934304450517e-03,2.20338794938634234e-03,4.37418092056123496e-03,3.36450289848618204e-12,3.79839215636224026e-12
43,2.09530305118583917e-03,2.12191666748122324e-03,4.28273628508139652e-03,3.25973468832184248e-12,3.79839215636224026e-12
44,2.02542749135755859e-03,2.04615584624643449e-03,4.19554592449026924e-03,4.36062069811502467e-12,3.79839215636224026e-12
45,1.95955329006658897e-03,1.97656214851891186e-03,4.11229431776008632e-03,4.22716153472793239e-12,3.79839215636224026e-12
46,1.89760559913540526e-03,1.91002728350583243e-03,4.03255510154990754e-03,4.09817877708231361e-12,3.79839215636224026e-12
47,1.84031481358229681e-03,1.85024763217328980e-03,3.95635364148528342e-03,3.96757969510852699e-12,3.79839215636224026e-12
48,1.78624594452345283e-03,1.79476287280861324e-03,3.88353562694103557e-03,3.85985101048959663e-12,3.79839215636224026e-12
49,1.73500502486278086e-03,1.74185928607560473e-03,3.81386448973814515e-03,3.76933704329821790e-12,3.79839215636224026e-12
50,1.68660741639085551e-03,1.69204570413093096e-03,3.74715492378895889e-03,3.68597409876947093e-12,3.79839215636224026e-12
51,1.64077240540614006e-03,1.64509293341074813e-03,3.68322310132437143e-03,3.61018821437070951e-12,3.79839215636224026e-12
52,1.59721102687279616e-03,1.60000586457324399e-03,3.62186955991131891e-03,3.53897706236053510e-12,3.79839215636224026e-12
53,1.55586597721828505e-03,1.55574072418487841e-03,3.56284019530028620e-03,3.47209625630136979e-12,3.79839215636224026e-12
54,1.51664341913003106e-03,1.51266547436770533e-03,3.50597361252190029e-03,3.40639248721905930e-12,3.79839215636224026e-12
55,1.47935855136644518e-03,1.47296716650919353e-03,3.45120405939807829e-03,3.34675640940956328e-12,3.79839215636224026e-12
56,1.44386188060656863e-03,1.43567156945160275e-03,3.39843119816759208e-03,3.28366001003200867e-12,3.79839215636224026e-12
57,1.41003875747429657e-03,1.40029437661872693e-03,3.34754608801477458e-03,3.22387042832095196e-12,3.79839215636224026e-12
58,1.37775835406234561e-03,1.36657884991050289e-03,3.29844193024008466e-03,3.17041907352558207e-12,3.79839215636224026e-12
59,1.34690445658678867e-03,1.33438932442366898e-03,3.25101803452549666e-03,4.41433584799804235e-12,3.79839215636224026e-12
60,1.31737914497101071e-03,1.30362225289450801e-03,3.20518171466236627e-03,4.33678559581691011e-12,3.79839215636224026e-12
61,1.28909073187788610e-03,1.27415719877383609e-03,3.16084552258553064e-03,4.26289215209522734e-12,3.79839215636224026e-12
62,1.26224666378659954e-03,1.24593890160011730e-03,3.11797503078527433e-03,4.18737409412958977e-12,3.79839215636224026e-12
