iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,1.10780062385892442e+00,0.00000000000000000e+00,2.47783949421387206e-01,8.68370239888896207e-09,1.51239643766953868e-07
2,3.46399402276322155e+00,7.11247313146814858e-02,1.25042623965946592e-01,3.75099777576540148e-09,1.51239643766953868e-07
3,7.37704045342869597e-01,9.32660463957167840e-02,5.96254390712588553e-02,1.17649500629330206e-09,1.51239643766953868e-07
4,2.83509962123570103e-01,7.18385027772693585e-02,4.21826625366451061e-02,1.34935626210507361e-09,1.51239643766953868e-07
5,1.59140937549352268e-01,4.85329512113969602e-02,3.24079561206817787e-02,6.97170771306147759e-10,1.51239643766953868e-07
6,1.01787498152558123e-01,3.47288670124982907e-02,2.60497625747702077e-02,3.53459567090919507e-10,1.51239643766953868e-07
7,6.87810808103771210e-02,2.71330910655266620e-02,2.18758027899173466e-02,7.63718922013389429e-10,1.51239643766953868e-07
8,4.79016469126591210e-02,2.23604419454548654e-02,1.89868954548207541e-02,4.17968235977169810e-10,1.51239643766953868e-07
9,3.42231982327389633e-02,1.89349691984654761e-02,1.68520501316534212e-02,5.48815699264980075e-10,1.51239643766953868e-07
10,2.51557717670674343e-02,1.63121002658672340e-02,1.51808834354490944e-02,2.58107153425488633e-10,1.51239643766953868e-07
11,1.91084861118413704e-02,1.42459705868372925e-02,1.38155294610409120e-02,4.62936047725243429e-10,1.51239643766953868e-07
12,1.50443452623556170e-02,1.25852212918837851e-02,1.26663828016269058e-02,8.48930932533715469e-11,1.51239643766953868e-07
13,1.22735824769999828e-02,1.12243347417728869e-02,1.16791036691106260e-02,3.45824884838567170e-10,1.51239643766953868e-07
14,1.03383488567002878e-02,1.00889306958350574e-02,1.08184820397601283e-02,1.75957630645738643e-10,1.51239643766953868e-07
15,8.93957131987391587e-03,9.12652868919875890e-03,1.00603567178154420e-02,2.52014180640904760e-10,1.51239643766953868e-07
16,7.88688413366740899e-03,8.29963502797194559e-03,9.38731252643466157e-03,1.00492524652669340e-10,1.51239643766953868e-07
17,7.06188963538540489e-03,7.58095996086206089e-03,8.78626247898311660e-03,4.06224080608912410e-10,1.51239643766953868e-07
18,6.39156338636947836e-03,6.95025687490504179e-03,8.24702434680616749e-03,1.21169495620808982e-10,1.51239643766953868e-07
19,5.83081252694055488e-03,6.39223423451880639e-03,7.76144031173699525e-03,1.41258590449881963e-10,1.51239643766953868e-07
20,5.35128238232130890e-03,5.89514087442592673e-03,7.32281762525880710e-03,3.16155377361051811e-10,1.51239643766953868e-07
21,4.93451402632039907e-03,5.44979250145083850e-03,6.92556204718571509e-03,4.31857245703680868e-10,1.51239643766953868e-07
22,4.56806345962303215e-03,5.04889109137276072e-03,6.56492657880525330e-03,1.12161759221390966e-10,1.51239643766953868e-07
23,4.24297697471861732e-03,4.68654233914457714e-03,6.23683440622563659e-03,3.87696701506016306e-10,1.51239643766953868e-07
24,3.95273469180106637e-03,4.35791798572889976e-03,5.93775067587465604e-03,3.39055046566797403e-10,1.51239643766953868e-07
25,3.69238742978456654e-03,4.05900038966370072e-03,5.66459080143302471e-03,2.49855797807622936e-10,1.51239643766953868e-07
26,3.45790269427482524e-03,3.78641271670357221e-03,5.41464800713280063e-03,2.85847749005596665e-10,1.51239643766953868e-07
27,3.24604346251545139e-03,3.53728101622233270e-03,5.18553479056375194e-03,1.30435144885924348e-10,1.51239643766953868e-07
28,3.05407656608502930e-03,3.30913502328564159e-03,4.97513918925187280e-03,2.94055133240224021e-10,1.51239643766953868e-07
29,2.87969326661998738e-03,3.09983474378398849e-03,4.78158745232750045e-03,4.02045599909016301e-10,1.51239643766953868e-07
30,2.72092210735500701e-03,2.90751324163369008e-03,4.60321357550658432e-03,3.57330968673346252e-10,1.51239643766953868e-07
31,2.57606401769235526e-03,2.73053056738835473e-03,4.43853360398485663e-03,3.96468486363743621e-10,1.51239643766953868e-07
32,2.44362717102896820e-03,2.56743905688554437e-03,4.28622413763575863e-03,4.20339399241820554e-10,1.51239643766953868e-07
33,2.32230946642976964e-03,2.41695539814936996e-03,4.14510332985869052e-03,4.16101537537176407e-10,1.51239643766953868e-07
34,2.21096784918510666e-03,2.27793675779270005e-03,4.01411450089016880e-03,3.90403971048219992e-10,1.51239643766953868e-07
35,2.10859092557054949e-03,2.14936208920526485e-03,3.89231226686744588e-03,3.09098067217934432e-10,1.51239643766953868e-07
