cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,concentration_CO2
0,2.50000000000000014e-02,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.74999967732481654e-01
1,7.50000000000000111e-02,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.24999904000434858e-01
2,1.25000000000000000e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.74999842611460688e-01
3,1.75000000000000017e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.24999785111861894e-01
4,2.25000000000000006e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.74999732904363525e-01
5,2.75000000000000022e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.24999687280608485e-01
6,3.25000000000000011e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.74999649337893359e-01
7,3.75000000000000000e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.24999620040628145e-01
8,4.25000000000000044e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.74999600093068386e-01
9,4.75000000000000033e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.24999590011962169e-01
10,5.25000000000000022e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.74999590005056538e-01
11,5.75000000000000067e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24999600098976305e-01
12,6.25000000000000000e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.74999620034900061e-01
13,6.75000000000000044e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.24999649344329844e-01
14,7.25000000000000089e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.74999687274283033e-01
15,7.75000000000000022e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.24999732909806793e-01
16,8.25000000000000067e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.74999785106305983e-01
17,8.75000000000000000e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.24999842618089010e-01
18,9.25000000000000044e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.49999039936257300e-02
19,9.75000000000000089e-01,2.50000000000000014e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.49999677385189280e-02
20,2.50000000000000014e-02,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.74999968503554415e-01
21,7.50000000000000111e-02,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.24999906293645702e-01
22,1.25000000000000000e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.74999846401853909e-01
23,1.75000000000000017e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.24999790284427159e-01
24,2.25000000000000006e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.74999739324622627e-01
25,2.75000000000000022e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.24999694780416482e-01
26,3.25000000000000011e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.74999657766030770e-01
27,3.75000000000000000e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.24999629178885518e-01
28,4.25000000000000044e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.74999609712523063e-01
29,4.75000000000000033e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.24999599851420751e-01
30,5.25000000000000022e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.74999599853163146e-01
31,5.75000000000000067e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24999609712020554e-01
32,6.25000000000000000e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.74999629179439076e-01
33,6.75000000000000044e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.24999657764155847e-01
34,7.25000000000000089e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.74999694782324056e-01
35,7.75000000000000022e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.24999739323987646e-01
36,8.25000000000000067e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.74999790285033457e-01
37,8.75000000000000000e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.24999846400029480e-01
38,9.25000000000000044e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.49999062954205126e-02
39,9.75000000000000089e-01,7.50000000000000111e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.49999685030833814e-02
40,2.50000000000000014e-02,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.74999968512537341e-01
41,7.50000000000000111e-02,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.24999906305502106e-01
42,1.25000000000000000e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.74999846394781566e-01
43,1.75000000000000017e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,8.24999790274062339e-01
44,2.25000000000000006e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.74999739323763870e-01
45,2.75000000000000022e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.24999694795273819e-01
46,3.25000000000000011e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.74999657767635819e-01
47,3.75000000000000000e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.24999629166590354e-01
48,4.25000000000000044e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.74999609706757231e-01
49,4.75000000000000033e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.24999599862151944e-01
50,5.25000000000000022e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.74999599860409738e-01
51,5.75000000000000067e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24999609707259973e-01
52,6.25000000000000000e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.74999629166037241e-01
53,6.75000000000000044e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.24999657769511618e-01
54,7.25000000000000089e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.74999694793367722e-01
55,7.75000000000000022e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.24999739324400871e-01
56,8.25000000000000067e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.74999790273458466e-01
57,8.75000000000000000e-01,1.25000000000000000e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.24999846396608119e-01
