iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,2.14489056959919433e-01,0.00000000000000000e+00,1.36458342555490802e-01,3.25637321955048852e-11,2.44509135161052882e-11
2,5.25800947347695113e-01,9.26800653648600786e-02,8.14181510948059767e-02,1.82941455178085824e-11,2.44509135161052882e-11
3,1.26690025253278382e-01,3.74896423452317426e-02,4.54242330843755843e-02,1.02758886385768932e-11,2.44509135161052882e-11
4,6.07830547478548852e-02,2.47875641452665121e-02,2.87462744313869319e-02,6.72662147911944862e-12,2.44509135161052882e-11
5,4.45120855881491542e-02,2.01763995841509267e-02,2.82670316189004636e-02,6.27823129162913813e-12,2.44509135161052882e-11
6,3.71703895681685798e-02,1.70784216253276715e-02,2.74577529343108355e-02,6.68420950317632424e-12,2.44509135161052882e-11
7,3.25517437766971660e-02,1.38486263781182548e-02,2.44865279915387028e-02,5.28740532549814944e-12,2.44509135161052882e-11
8,2.86759140645107026e-02,1.21801355619327537e-02,2.10058510946885373e-02,4.28853416262839766e-12,2.44509135161052882e-11
9,2.48465559063750750e-02,1.15079023893388949e-02,1.83938887731110307e-02,4.24177296112874144e-12,2.44509135161052882e-11
10,2.16282011540649965e-02,1.09681216485293422e-02,1.62011228339662486e-02,3.49468872094908086e-12,2.44509135161052882e-11
11,1.91107806482089422e-02,1.03770816358420039e-02,1.44947801945017139e-02,3.44060689060948748e-12,2.44509135161052882e-11
12,1.71551928273576092e-02,9.90065680783247526e-03,1.30958520696859704e-02,3.16353273400776454e-12,2.44509135161052882e-11
13,1.56302568476539734e-02,9.75906989796189103e-03,1.20623957508141609e-02,2.58678549501377582e-12,2.44509135161052882e-11
14,1.43338477177768001e-02,8.76638012776149306e-03,1.11986954417325080e-02,2.62124820420181754e-12,2.44509135161052882e-11
15,1.30434826566610887e-02,8.07093622630322867e-03,1.03775568924223092e-02,2.18803789784734529e-12,2.44509135161052882e-11
16,1.21503269856519155e-02,7.78254935739470036e-03,9.61742061907840291e-03,2.38531814465732960e-12,2.44509135161052882e-11
17,1.08523857392220178e-02,7.35725558914376333e-03,8.98050425528918068e-03,2.16912913205026753e-12,2.44509135161052882e-11
