grid,cells,backend,repeat,outer_iterations,total_seconds,mesh_setup_seconds,simple_solve_seconds,status,ran_cleanly,mass_imbalance,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,upload_seconds,download_seconds,kernel_seconds,gpu_solve_seconds,gpu_linear_solves,gpu_linear_solver_iterations
20x20,400,CPU,0,200,0.302289,6.4288e-05,0.302222,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,1,200,0.299088,6.9256e-05,0.299017,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,2,200,0.300754,5.5119e-05,0.300698,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,GPU,0,200,10.0243,5.9648e-05,10.0243,MaxIterations,yes,0,1804,13089920,63324,2923584,0.0537026,5.33298,4.16795,9.81965,600,10516
20x20,400,GPU,1,200,13.6261,5.0732e-05,13.626,MaxIterations,yes,0,1804,13089920,63324,2923584,0.0643117,6.03252,6.99641,13.4234,600,10516
20x20,400,GPU,2,200,13.6625,5.2748e-05,13.6625,MaxIterations,yes,0,1804,13089920,63324,2923584,0.0630155,6.07351,7.00561,13.4579,600,10516
40x40,1600,CPU,0,200,1.48401,0.000203839,1.4838,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,1,200,1.43731,0.00021607,1.4371,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,2,200,1.41725,0.000218985,1.41702,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,GPU,0,200,24.4679,0.000215764,24.4677,MaxIterations,yes,0,1804,53139840,114429,14054424,0.0975694,10.7125,12.3879,23.7266,600,19047
40x40,1600,GPU,1,200,23.2531,0.000201135,23.2529,MaxIterations,yes,0,1804,53139840,114429,14054424,0.0942138,10.0152,11.9121,22.5127,600,19047
40x40,1600,GPU,2,200,25.1945,0.000194166,25.1943,MaxIterations,yes,0,1804,53139840,114429,14054424,0.100151,10.9589,12.8183,24.448,600,19047
80x80,6400,CPU,0,200,6.74069,0.000950231,6.73972,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,1,200,6.37282,0.000872193,6.37194,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,2,200,6.40089,0.000963945,6.39992,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,GPU,0,200,32.7459,0.000844815,32.7451,MaxIterations,yes,0,1804,214110080,137112,58022400,0.524621,12.9794,15.0592,29.1998,600,22818
80x80,6400,GPU,1,200,33.034,0.00104444,33.033,MaxIterations,yes,0,1804,214110080,137112,58022400,0.537087,13.0089,15.1653,29.3598,600,22818
80x80,6400,GPU,2,200,32.5606,0.000787032,32.5598,MaxIterations,yes,0,1804,214110080,137112,58022400,0.507516,12.7669,14.9106,28.8384,600,22818
160x160,25600,CPU,0,60,11.3013,0.00418707,11.2971,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,1,60,11.4108,0.00361161,11.4071,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,2,60,11.4299,0.00371411,11.4262,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,GPU,0,60,18.4488,0.00357021,18.4452,MaxIterations,yes,0,544,259572800,71031,93544800,0.209566,5.50709,7.24747,13.2146,180,11838
160x160,25600,GPU,1,60,19.8275,0.00408017,19.8234,MaxIterations,yes,0,544,259572800,71031,93544800,0.216119,6.32625,8.01433,14.8646,180,11838
160x160,25600,GPU,2,60,21.5933,0.00352579,21.5897,MaxIterations,yes,0,544,259572800,71031,93544800,0.214303,6.92762,8.72363,16.2302,180,11838
320x320,102400,CPU,0,20,28.105,0.0186485,28.0863,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,1,20,27.8485,0.0136663,27.8347,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,2,20,27.3752,0.013715,27.3613,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,GPU,0,0,1.49598,0.0130386,1.48275,PressureCorrectionFailure,no,0,13,26982384,5324,19484800,0.0131981,0.422452,0.685847,1.14618,3,886
320x320,102400,GPU,1,0,1.47491,0.0135948,1.46111,PressureCorrectionFailure,no,0,13,26982384,5324,19484800,0.0135379,0.428789,0.641582,1.11248,3,886
320x320,102400,GPU,2,0,1.47935,0.0131314,1.46598,PressureCorrectionFailure,no,0,13,26982384,5324,19484800,0.0126003,0.386661,0.673515,1.10037,3,886
640x640,409600,CPU,0,8,89.8465,0.0735822,89.7715,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
640x640,409600,GPU,0,0,3.92645,0.0655375,3.86021,PressureCorrectionFailure,no,0,13,108031984,5801,84044800,0.0681263,0.543144,1.13021,1.7904,3,965
