grid,cells,backend,repeat,outer_iterations,total_seconds,mesh_setup_seconds,simple_solve_seconds,status,ran_cleanly,mass_imbalance,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,upload_seconds,download_seconds,kernel_seconds,gpu_solve_seconds,gpu_linear_solves,gpu_linear_solver_iterations
20x20,400,CPU,0,200,0.357708,5.879e-05,0.357646,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,1,200,0.344626,6.7303e-05,0.344557,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,2,200,0.332967,7.3307e-05,0.332892,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,GPU,0,200,10.7233,6.5e-05,10.7233,MaxIterations,yes,0,1804,13089920,63324,2923584,0.0548926,5.68386,4.45099,10.4955,600,10516
20x20,400,GPU,1,200,14.1238,6.5095e-05,14.1237,MaxIterations,yes,0,1804,13089920,63324,2923584,0.0624843,6.49544,7.01471,13.9064,600,10516
20x20,400,GPU,2,200,12.131,5.5818e-05,12.131,MaxIterations,yes,0,1804,13089920,63324,2923584,0.0531795,5.39338,6.2331,11.9178,600,10516
40x40,1600,CPU,0,200,1.46681,0.00036315,1.46644,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,1,200,1.42481,0.000235843,1.42457,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,2,200,1.42528,0.000215391,1.42506,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,GPU,0,200,22.3192,0.000222099,22.319,MaxIterations,yes,0,1804,53139840,114429,14054424,0.0918471,9.68602,11.363,21.5704,600,19047
40x40,1600,GPU,1,200,22.7799,0.000197061,22.7797,MaxIterations,yes,0,1804,53139840,114429,14054424,0.0953948,9.88267,11.6003,22.0244,600,19047
40x40,1600,GPU,2,200,23.1887,0.000193893,23.1885,MaxIterations,yes,0,1804,53139840,114429,14054424,0.0882036,10.1374,11.7318,22.4377,600,19047
80x80,6400,CPU,0,200,6.70546,0.00111071,6.70434,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,1,200,6.48071,0.000865797,6.47984,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,2,200,6.42422,0.000848508,6.42337,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,GPU,0,200,33.4921,0.000801692,33.4912,MaxIterations,yes,0,1804,214110080,137112,58022400,0.520703,13.3033,15.1615,29.6504,600,22818
80x80,6400,GPU,1,200,32.93,0.000786234,32.9292,MaxIterations,yes,0,1804,214110080,137112,58022400,0.516926,12.8803,15.0482,29.0996,600,22818
80x80,6400,GPU,2,200,31.1945,0.00104129,31.1934,MaxIterations,yes,0,1804,214110080,137112,58022400,0.513033,12.1271,14.2135,27.423,600,22818
160x160,25600,CPU,0,60,11.5148,0.00402739,11.5107,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,1,60,11.811,0.00409603,11.8069,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,2,60,11.4235,0.00317703,11.4203,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,GPU,0,60,19.9166,0.00344107,19.9132,MaxIterations,yes,0,544,259572800,71031,93544800,0.223826,6.06846,8.04993,14.6944,180,11838
160x160,25600,GPU,1,60,20.9773,0.00371608,20.9735,MaxIterations,yes,0,544,259572800,71031,93544800,0.215884,6.7378,8.38722,15.7089,180,11838
160x160,25600,GPU,2,60,21.6134,0.00366699,21.6097,MaxIterations,yes,0,544,259572800,71031,93544800,0.214966,6.92232,8.74237,16.253,180,11838
320x320,102400,CPU,0,20,28.9442,0.0169112,28.9269,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,1,20,29.0335,0.0133377,29.0199,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,2,20,28.7735,0.0136414,28.7596,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,GPU,0,0,1.58799,0.012807,1.57498,PressureCorrectionFailure,no,0,13,26982384,5324,19484800,0.0132583,0.444621,0.695023,1.17843,3,886
320x320,102400,GPU,1,0,1.52606,0.0144297,1.51143,PressureCorrectionFailure,no,0,13,26982384,5324,19484800,0.0132872,0.430748,0.625942,1.09485,3,886
320x320,102400,GPU,2,0,1.45897,0.013946,1.44481,PressureCorrectionFailure,no,0,13,26982384,5324,19484800,0.0127235,0.406733,0.622398,1.06863,3,886
640x640,409600,CPU,0,8,93.4409,0.0794534,93.3598,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
640x640,409600,GPU,0,0,3.55442,0.0570386,3.49633,PressureCorrectionFailure,no,0,13,108031984,5801,84044800,0.0681106,0.436803,0.757746,1.30217,3,965
