iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1,1.68654808542314044e-01,0.00000000000000000e+00,1.30014427756991457e-02,9.73706337308898750e-09,0.00000000000000000e+00
2,7.02152245579208273e-02,1.08079670190047109e-02,1.05041034486710264e-02,7.40317092569950825e-09,0.00000000000000000e+00
3,3.53158639863042634e-02,9.63492863760207451e-03,8.60524411606832830e-03,7.66116835088315408e-09,0.00000000000000000e+00
4,2.09216277292556228e-02,7.62670470460266852e-03,7.11137079613956280e-03,3.87362331553250258e-09,0.00000000000000000e+00
5,1.41739822067352365e-02,6.08242141225120818e-03,5.98140953419292951e-03,9.72346950911876584e-09,0.00000000000000000e+00
6,1.05832041094914321e-02,5.00567451408090447e-03,5.12661484386888692e-03,7.80699916652267028e-09,0.00000000000000000e+00
7,8.43223059883327526e-03,4.25067813843851318e-03,4.47045045496077733e-03,7.63727794088954118e-09,0.00000000000000000e+00
8,7.01315293983399961e-03,3.70025148316935684e-03,3.95562196918079929e-03,7.49287417199498237e-09,0.00000000000000000e+00
9,6.00632694581571067e-03,3.28634896686031070e-03,3.54254588611192410e-03,7.22164056208516713e-09,0.00000000000000000e+00
10,5.25342058424787053e-03,2.96514601999861615e-03,3.20429704307078527e-03,9.36810821535105735e-09,0.00000000000000000e+00
11,4.66775787754294524e-03,2.70839648430187775e-03,2.92193270468169355e-03,5.78842687371941882e-09,0.00000000000000000e+00
12,4.19793224511837756e-03,2.49830499195154675e-03,2.68230968528801027e-03,7.49343077805324698e-09,0.00000000000000000e+00
13,3.81196770750063087e-03,2.32301715237399941e-03,2.47634750315541257e-03,9.02654080391871478e-09,0.00000000000000000e+00
14,3.48865648717127394e-03,2.17414958034945708e-03,2.29746707243704733e-03,7.86821839830846182e-09,0.00000000000000000e+00
15,3.21353694765512832e-03,2.04583359973869441e-03,2.14075933705879353e-03,8.32580828819280873e-09,0.00000000000000000e+00
16,2.97612147838753529e-03,1.93327022333765865e-03,2.00229654879511025e-03,5.58754149354820834e-09,0.00000000000000000e+00
17,2.76934273897317621e-03,1.83381290438354612e-03,1.87923873257020879e-03,6.72929611972855241e-09,0.00000000000000000e+00
18,2.58747101394526165e-03,1.74501746124840706e-03,1.76929076912201713e-03,9.52479923709136409e-09,0.00000000000000000e+00
19,2.42610158222484901e-03,1.66499099278492641e-03,1.67055728030327628e-03,7.19318414754456755e-09,0.00000000000000000e+00
20,2.28196265488049641e-03,1.59248291793757761e-03,1.58150653824236528e-03,5.45628080374431777e-09,0.00000000000000000e+00
21,2.15241533471989630e-03,1.52626002749240005e-03,1.50085741522557438e-03,4.96965224074440976e-09,0.00000000000000000e+00
22,2.03532484159952122e-03,1.46546294657776350e-03,1.42753916665177313e-03,6.28615112021998607e-09,0.00000000000000000e+00
23,1.92901573132251369e-03,1.40935388477480606e-03,1.36065440811175293e-03,4.19555949624032616e-09,0.00000000000000000e+00
24,1.83201435485220781e-03,1.35726945481506596e-03,1.29942801952515996e-03,8.86492576544535194e-09,0.00000000000000000e+00
25,1.74305712734533274e-03,1.30869333520797497e-03,1.24321754857686299e-03,9.23743527071713470e-09,0.00000000000000000e+00
26,1.66131116919017788e-03,1.26323824022617887e-03,1.19147092325621868e-03,7.13679236133275536e-09,0.00000000000000000e+00
27,1.58596572213884303e-03,1.22050139878848783e-03,1.14369446723147660e-03,8.80430366381139231e-09,0.00000000000000000e+00
28,1.51626484625191622e-03,1.18017571450113891e-03,1.09945374392360264e-03,8.78477882003125176e-09,0.00000000000000000e+00
29,1.45161104465757170e-03,1.14208753988611061e-03,1.05838398750795863e-03,2.90645033110262974e-09,0.00000000000000000e+00
30,1.39149142596781518e-03,1.10603614730804848e-03,1.02018289060884114e-03,7.75818256737978449e-09,0.00000000000000000e+00
31,1.33548647260692743e-03,1.07179070146799175e-03,9.84574538571407086e-04,2.99801460830012578e-09,0.00000000000000000e+00
32,1.28312402482191629e-03,1.03926270764849189e-03,9.51312637443404107e-04,6.58713846416119807e-09,0.00000000000000000e+00
33,1.23411923625934726e-03,1.00833488359927800e-03,9.20302947267529078e-04,5.19150227523553638e-09,0.00000000000000000e+00
34,1.18814516072300006e-03,9.78786163929463906e-04,8.91268229852016074e-04,9.16067169354484431e-09,0.00000000000000000e+00
35,1.14497769859794548e-03,9.50507272614233012e-04,8.64006977917615221e-04,7.39030462241595253e-09,0.00000000000000000e+00
36,1.10432603828339087e-03,9.23458889769069777e-04,8.38351565240759238e-04,7.01139143749086417e-09,0.00000000000000000e+00
37,1.06598867340810827e-03,8.97477999149273015e-04,8.14134662579006196e-04,5.32723451734427739e-09,0.00000000000000000e+00
38,1.02980122813867820e-03,8.72592574671855726e-04,7.91263876181391387e-04,4.98313148892978437e-09,0.00000000000000000e+00
39,9.95590691230538059e-04,8.48703381468804917e-04,7.69636076654186662e-04,5.28823487411825519e-09,0.00000000000000000e+00
40,9.63196119669961805e-04,8.25737559641973279e-04,7.49154394577757976e-04,5.13977247888092204e-09,0.00000000000000000e+00
41,9.32497317804606321e-04,8.03641657771054217e-04,7.29729399293347334e-04,6.98780599428479289e-09,0.00000000000000000e+00
42,9.03345392704387731e-04,7.82325904887446496e-04,7.11269140893946625e-04,8.24489897196133301e-09,0.00000000000000000e+00
43,8.75640211257391367e-04,7.61805518756625603e-04,6.93708053640249055e-04,9.24034944916126044e-09,0.00000000000000000e+00
44,8.49279858951232066e-04,7.42024663538313578e-04,6.76986652190972749e-04,2.33808414739793044e-09,0.00000000000000000e+00
45,8.24151005411992974e-04,7.22959529238573228e-04,6.61035263331942002e-04,4.69292436579877179e-09,0.00000000000000000e+00
46,8.00212685857057686e-04,7.04501227695936713e-04,6.45784108699917932e-04,7.55465521043388561e-09,0.00000000000000000e+00
47,7.77347505563447507e-04,6.86720836859212500e-04,6.31207982814729397e-04,3.15900786721584329e-09,0.00000000000000000e+00
48,7.55474387384703536e-04,6.69573127656651439e-04,6.17264805452700919e-04,8.05604261952641544e-09,0.00000000000000000e+00
49,7.34585805424974709e-04,6.52966425790619067e-04,6.03916048667248206e-04,2.68312761640173473e-09,0.00000000000000000e+00
50,7.14550801927056655e-04,6.36978695628723094e-04,5.91124859024773353e-04,3.21795879430905896e-09,0.00000000000000000e+00
51,6.95378458460095485e-04,6.21477384097165585e-04,5.78856251962581213e-04,8.83980544586387039e-09,0.00000000000000000e+00
52,6.76995213713869849e-04,6.06482054331831228e-04,5.67077938358966625e-04,5.04615777635871900e-09,0.00000000000000000e+00
53,6.59311611289845555e-04,5.92022817438111657e-04,5.55760370384373974e-04,7.40652453545301520e-09,0.00000000000000000e+00
54,6.42356512755943025e-04,5.77970655484970363e-04,5.44872508461174162e-04,8.22158621688040997e-09,0.00000000000000000e+00
55,6.26031004814407645e-04,5.64381335369992495e-04,5.34391623996503286e-04,8.22727453893810257e-09,0.00000000000000000e+00
56,6.10323867482431121e-04,5.51218823642098880e-04,5.24298436013727592e-04,4.04751970918942240e-09,0.00000000000000000e+00
57,5.95186251114582080e-04,5.38479749578888237e-04,5.14572795990199459e-04,7.24962876639151889e-09,0.00000000000000000e+00
58,5.80632832338480128e-04,5.26101849270976633e-04,5.05193571370240752e-04,8.99162427800660231e-09,0.00000000000000000e+00
59,5.66571073604703475e-04,5.14124214614195582e-04,4.96141498493247405e-04,7.79008441767834792e-09,0.00000000000000000e+00
60,5.53006347484017238e-04,5.02509465711887182e-04,4.87398776558489277e-04,7.99833599256370531e-09,0.00000000000000000e+00
61,5.39911428348326225e-04,4.91238946294511353e-04,4.78949452768582878e-04,7.46563206020050824e-09,0.00000000000000000e+00
62,5.27260576546450437e-04,4.80301999224285380e-04,4.70778504318510819e-04,5.75932576776303539e-09,0.00000000000000000e+00
63,5.15020925548362925e-04,4.69691255823913593e-04,4.62872380585062566e-04,6.82476220664894497e-09,0.00000000000000000e+00
64,5.03191777957760224e-04,4.59370378566128113e-04,4.55233272325098978e-04,6.66875804273993237e-09,0.00000000000000000e+00
65,4.91736542352568667e-04,4.49342533184090881e-04,4.47837871039126001e-04,6.22221597698036883e-09,0.00000000000000000e+00
66,4.80642985379895447e-04,4.39597652427148127e-04,4.40672027257208397e-04,8.09572002241383537e-09,0.00000000000000000e+00
67,4.69901708825781164e-04,4.30122931230167047e-04,4.33725992779541124e-04,8.99467018989875944e-09,0.00000000000000000e+00
68,4.59464719035343287e-04,4.20940789870895055e-04,4.26988997735604800e-04,5.95053509184879319e-09,0.00000000000000000e+00
69,4.49377097664145370e-04,4.11976453350493146e-04,4.20450715819514721e-04,1.15659506399108755e-09,0.00000000000000000e+00
70,4.39547143549877482e-04,4.03301138788409157e-04,4.14102389786917872e-04,7.23848236780000689e-09,0.00000000000000000e+00
71,4.30063968861730921e-04,3.94804464709040356e-04,4.07936016504098725e-04,6.44545287314733793e-09,0.00000000000000000e+00
72,4.20820604116701243e-04,3.86577401164338980e-04,4.01943643895600505e-04,6.49699755921340510e-09,0.00000000000000000e+00
73,4.11813996258551481e-04,3.78599850125554993e-04,3.96117831807940373e-04,9.86731552312174582e-09,0.00000000000000000e+00
74,4.03125313395009000e-04,3.70764322748485370e-04,3.90451357652600941e-04,7.97652331679660657e-09,0.00000000000000000e+00
75,3.94647104479516704e-04,3.63168806321821191e-04,3.84937706836379864e-04,9.44672200641694215e-09,0.00000000000000000e+00
76,3.86366453946329277e-04,3.55810224129134167e-04,3.79570752705360361e-04,3.70954192570874591e-09,0.00000000000000000e+00
77,3.78323400049363444e-04,3.48621465274626737e-04,3.74343309791260207e-04,3.00253425195584559e-10,0.00000000000000000e+00
78,3.70516196421429456e-04,3.41595109471357907e-04,3.69251142587102518e-04,9.22868828534452116e-09,0.00000000000000000e+00
79,3.62964600976455303e-04,3.34691062604795613e-04,3.64288941191588742e-04,5.20039010961790826e-09,0.00000000000000000e+00
80,3.55487532094161463e-04,3.28094176550190503e-04,3.59451848098707579e-04,7.89766611264180966e-09,0.00000000000000000e+00
81,3.48285929545664498e-04,3.21570672677379754e-04,3.54735072464061889e-04,7.68453818052456918e-09,0.00000000000000000e+00
82,3.41266457740735623e-04,3.15204426234210063e-04,3.50133817901021301e-04,8.60952789416483045e-09,0.00000000000000000e+00
83,3.34387738470694651e-04,3.09036012792011645e-04,3.45644120653850178e-04,8.61320586927336059e-09,0.00000000000000000e+00
84,3.27691966128823716e-04,3.03001119178803282e-04,3.41261886621398245e-04,9.21876407679738259e-09,0.00000000000000000e+00
85,3.21167357674515572e-04,2.97102709081464487e-04,3.36983249616004199e-04,8.44560043476716877e-09,0.00000000000000000e+00
86,3.14706639931347921e-04,2.91447297634541270e-04,3.32804781567456228e-04,9.90379972919206364e-09,0.00000000000000000e+00
87,3.08649222844860544e-04,2.85654727810235297e-04,3.28722396007541796e-04,8.31648137220183724e-09,0.00000000000000000e+00
88,3.02497596064072490e-04,2.80251927918186215e-04,3.24733298460564486e-04,8.84796576521553148e-09,0.00000000000000000e+00
89,2.96579653485337181e-04,2.74880271969131973e-04,3.20834245179124763e-04,4.72158095441576105e-09,0.00000000000000000e+00
90,2.90770386118107251e-04,2.69659456005389645e-04,3.17022120091959734e-04,1.80759309574171713e-09,0.00000000000000000e+00
