case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
cavity3d,12x12x12,1728,5616,cpu,upwind,0,60,60,0.861192,0.000287756,0.543554,0.0516991,0.000680972,0.0804396,0.0470989,0.0858357,0.0462231,0.00131013,0.00326338,0.000790521,0.719307,0.137535,MaxIterations,0,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,0,0,0,0,0,0,0,0,0,1351815168,0
cavity3d,12x12x12,1728,5616,cpu,upwind,1,60,60,0.83313,0.000356039,0.524525,0.0507067,0.000640949,0.0781881,0.0451295,0.0838445,0.0447577,0.00112843,0.00307917,0.000759298,0.694369,0.134551,MaxIterations,0,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,0,0,0,0,0,0,0,0,0,1351815168,0
cavity3d,12x12x12,1728,5616,cpu,upwind,2,60,60,0.851624,0.000283605,0.532138,0.05074,0.000676969,0.0829608,0.045664,0.0849913,0.0490772,0.00115431,0.00313126,0.000792572,0.711672,0.135731,MaxIterations,0,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,0,0,0,0,0,0,0,0,0,1351815168,0
cavity3d,12x12x12,1728,5616,gpu-pipe,upwind,0,60,60,2.18298,0.000260309,0.491559,0.627058,0.000813239,0.0727889,0.0435339,0.901131,0.0402492,0.00102309,0.00302132,0.0014908,0.649968,1.52819,MaxIterations,0,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,724,28406872,12382,4494208,28,2,37017,12142,663664,1351815168,1.52729
cavity3d,12x12x12,1728,5616,gpu-pipe,upwind,1,60,60,2.3098,0.00031051,0.50094,0.660274,0.000791126,0.0742173,0.0452629,0.981634,0.0412714,0.00106914,0.00307661,0.000874087,0.663552,1.64191,MaxIterations,0,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,724,28406872,12382,4494208,26,0,37017,12142,663520,1351815168,1.64096
cavity3d,12x12x12,1728,5616,gpu-pipe,upwind,2,60,60,2.25131,0.000265531,0.502775,0.638404,0.000743877,0.0741484,0.0445285,0.94431,0.0410223,0.00101483,0.00318467,0.000861736,0.664233,1.58271,MaxIterations,0,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,724,28406872,12382,4494208,26,0,37017,12142,663520,1351815168,1.58153
cavity3d,12x12x12,1728,5616,gpu-disc,upwind,0,60,60,1.84297,0.0198054,0.195468,0.589962,0.000880155,0.00464258,0.0425852,0.954923,0.0205266,0.00691793,0.00365651,0.00251896,0.27102,1.54489,MaxIterations,1,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,1795,51728072,13582,59446528,387,0,39357,12142,13264240,1353912320,1.53906
cavity3d,12x12x12,1728,5616,gpu-disc,upwind,1,60,60,1.90178,0.0188089,0.232146,0.603205,0.000691723,0.00453646,0.0475761,0.957294,0.021653,0.00722098,0.00348581,0.0039702,0.313825,1.5605,MaxIterations,1,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,1795,51728072,13582,59446528,386,0,39357,12142,13219312,1353912320,1.55526
cavity3d,12x12x12,1728,5616,gpu-disc,upwind,2,60,60,1.99365,0.0176565,0.258915,0.619095,0.000682003,0.00270539,0.0511512,1.00385,0.0231505,0.00880447,0.00359961,0.0028898,0.345408,1.62295,MaxIterations,1,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,1795,51728072,13582,59446528,386,0,39357,12142,13219312,1353912320,1.61784
cavity3d,12x12x12,1728,5616,disc-only,upwind,0,60,60,0.57274,0.0189445,0.296154,0.060458,0.00118679,0.00517684,0.0564412,0.0776953,0.0318818,0.0127004,0.00325554,0.00763131,0.403541,0.138153,MaxIterations,1,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,1071,23321200,1200,54952320,360,0,2340,0,12555792,1353912320,0
cavity3d,12x12x12,1728,5616,disc-only,upwind,1,60,60,0.611328,0.0267697,0.315237,0.0628285,0.00122429,0.00442945,0.0655614,0.0793061,0.031529,0.0107264,0.00377297,0.00868223,0.428708,0.142135,MaxIterations,1,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,1071,23321200,1200,54952320,360,0,2340,0,12555792,1353912320,0
cavity3d,12x12x12,1728,5616,disc-only,upwind,2,60,60,0.551817,0.0211928,0.286593,0.0562318,0.00108924,0.00262847,0.0595328,0.0758894,0.0278671,0.00860653,0.00309525,0.0078967,0.386317,0.132121,MaxIterations,1,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,1071,23321200,1200,54952320,360,0,2340,0,12555792,1353912320,0
cavity3d,24x24x24,13824,43200,cpu,upwind,0,30,30,5.08171,0.00237129,2.89631,0.2812,0.00376404,0.347224,0.319064,1.00417,0.191062,0.00480618,0.0140955,0.0176143,3.76223,1.28537,MaxIterations,0,1,0,0.000157356,3.19669e-05,1.20055e-05,9.83922e-08,751,2774,0,0,0,0,0,0,0,0,0,1353912320,0
cavity3d,24x24x24,13824,43200,cpu,upwind,1,30,30,4.96338,0.00265048,2.81189,0.278365,0.00398632,0.340987,0.315328,0.98416,0.19023,0.00474268,0.0136709,0.017318,3.66717,1.26253,MaxIterations,0,1,0,0.000157356,3.19669e-05,1.20055e-05,9.83922e-08,751,2774,0,0,0,0,0,0,0,0,0,1353912320,0
cavity3d,24x24x24,13824,43200,cpu,upwind,2,30,30,4.95814,0.00264989,2.80807,0.27774,0.00375338,0.339929,0.311826,0.991107,0.186294,0.00478948,0.0146859,0.0172618,3.65466,1.26885,MaxIterations,0,1,0,0.000157356,3.19669e-05,1.20055e-05,9.83922e-08,751,2774,0,0,0,0,0,0,0,0,0,1353912320,0
cavity3d,24x24x24,13824,43200,gpu-pipe,upwind,0,30,30,6.7309,0.00250648,2.96341,0.77837,0.00367609,0.339423,0.332438,2.08624,0.184225,0.00537459,0.0147472,0.0196166,3.82855,2.86461,MaxIterations,0,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,364,117835048,14148,23822208,28,2,42390,14028,5420104,1353912320,2.86082
cavity3d,24x24x24,13824,43200,gpu-pipe,upwind,1,30,30,6.56939,0.00297507,2.91903,0.757389,0.00368282,0.337731,0.330787,1.99854,0.181663,0.00501313,0.0145626,0.0175824,3.77791,2.75593,MaxIterations,0,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,364,117835048,14148,23822208,26,0,42390,14028,5418976,1353912320,2.75231
cavity3d,24x24x24,13824,43200,gpu-pipe,upwind,2,30,30,6.46916,0.00272971,2.90642,0.748822,0.0037778,0.338997,0.330299,1.91687,0.182538,0.00506018,0.0149781,0.0178827,3.76709,2.66569,MaxIterations,0,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,364,117835048,14148,23822208,26,0,42390,14028,5418976,1353912320,2.66202
cavity3d,24x24x24,13824,43200,gpu-disc,upwind,0,30,30,3.38324,0.134648,0.564788,0.650595,0.00050616,0.00209342,0.134502,1.83215,0.0224838,0.0132714,0.0153515,0.00418719,0.737645,2.48274,MaxIterations,1,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,1045,249854360,14748,249845568,387,1,43560,14028,102612208,1353912320,2.47219
cavity3d,24x24x24,13824,43200,gpu-disc,upwind,1,30,30,3.58728,0.133443,0.640738,0.699142,0.000640723,0.0018689,0.165799,1.86432,0.0244212,0.0137744,0.0151081,0.0200806,0.847242,2.56346,MaxIterations,1,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,1045,249854360,14748,249845568,386,0,43560,14028,102311536,1353912320,2.55212
