case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
cavity2d,20x20,400,840,cpu,upwind,0,200,200,0.370434,3.0745e-05,0.190696,0.0364014,0.000400654,0.00569123,0.0226163,0.0752049,0.0353583,0.000738336,0.00236568,0.000921806,0.255501,0.111606,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,cpu,upwind,1,200,200,0.370134,3.5048e-05,0.19222,0.0360776,0.0003791,0.0057019,0.0227986,0.0734965,0.0354127,0.000707285,0.00231119,0.000965179,0.25722,0.109574,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,cpu,upwind,2,200,200,0.362622,3.7959e-05,0.188054,0.0359825,0.000370798,0.00598734,0.0221063,0.0713361,0.0348651,0.000699814,0.00225448,0.000912789,0.252083,0.107319,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,cpu,upwind,3,200,200,0.361672,3.1296e-05,0.186798,0.0359173,0.000367114,0.0057462,0.0228477,0.072081,0.0339695,0.000705719,0.00232565,0.00087206,0.250434,0.107998,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,cpu,upwind,4,200,200,0.350629,3.4079e-05,0.181999,0.0356691,0.000356679,0.00525868,0.0211805,0.0691636,0.0328641,0.000656531,0.00258396,0.000849841,0.242315,0.104833,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,gpu-pipe,upwind,0,200,200,6.12902,3.1612e-05,0.175706,1.98285,0.00074089,0.00561969,0.0221381,3.90512,0.0318323,0.000657381,0.00264651,0.00160562,0.236694,5.88798,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,28,2,127570,42016,131848,1351815168,5.88688
cavity2d,20x20,400,840,gpu-pipe,upwind,1,200,200,6.74258,2.9906e-05,0.164129,2.2252,0.000799719,0.0051237,0.0210394,4.29189,0.0300024,0.000614893,0.00246687,0.00122574,0.221709,6.51709,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,6.51611
cavity2d,20x20,400,840,gpu-pipe,upwind,2,200,200,8.0672,2.9291e-05,0.158372,2.60665,0.000629755,0.00492736,0.0200537,5.24317,0.0292522,0.000591497,0.00233866,0.00112912,0.213827,7.84983,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,7.84881
cavity2d,20x20,400,840,gpu-pipe,upwind,3,200,200,7.90023,2.4716e-05,0.159919,2.51634,0.000656296,0.00517455,0.0203177,5.16392,0.0295604,0.00060108,0.0024389,0.00122388,0.216229,7.68026,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,7.67924
cavity2d,20x20,400,840,gpu-pipe,upwind,4,200,200,7.77055,2.73e-05,0.160785,2.49643,0.000616114,0.00486143,0.0201789,5.05421,0.0289243,0.000598567,0.00244645,0.00141779,0.215964,7.55064,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,7.54956
cavity2d,20x20,400,840,gpu-disc,upwind,0,200,200,8.50872,0.00874,0.672018,2.45483,0.00798637,0.00143256,0.12791,5.04065,0.152749,0.0270841,0.00317228,0.0113137,0.98918,7.49548,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,4495,23123952,45816,28627456,371,0,137370,42016,2057720,1351815168,7.48459
cavity2d,20x20,400,840,gpu-disc,upwind,1,200,200,8.45752,0.0122335,0.661918,2.44673,0.0072761,0.00123637,0.123287,5.01309,0.15019,0.0267266,0.00326245,0.0107509,0.970634,7.45982,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,4495,23123952,45816,28627456,371,0,137370,42016,2057720,1351815168,7.44917
cavity2d,20x20,400,840,gpu-disc,upwind,2,200,200,8.03883,0.00938438,0.713853,2.26348,0.0065649,0.00103483,0.115943,4.69865,0.17995,0.0364177,0.00298509,0.00957917,1.05376,6.96214,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,4495,23123952,45816,28627456,371,0,137370,42016,2057720,1351815168,6.95259
cavity2d,20x20,400,840,gpu-disc,upwind,3,200,200,8.291,0.00796567,0.676298,2.38309,0.00757583,0.00137376,0.126728,4.88842,0.15644,0.0285928,0.00325028,0.0105413,0.997008,7.27151,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,4495,23123952,45816,28627456,371,0,137370,42016,2057720,1351815168,7.26075
cavity2d,20x20,400,840,gpu-disc,upwind,4,200,200,8.53754,0.00907403,0.680081,2.47536,0.00788284,0.00139507,0.125998,5.0373,0.158077,0.0278334,0.00328548,0.0104525,1.00127,7.51266,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,4495,23123952,45816,28627456,371,0,137370,42016,2057720,1351815168,7.50202
cavity2d,20x20,400,840,disc-only,upwind,0,200,200,1.07142,0.0144528,0.61855,0.0527354,0.0133462,0.00163074,0.122759,0.0592497,0.142361,0.028061,0.00212339,0.0156443,0.926707,0.111985,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,2691,10034032,3200,25540800,345,0,9800,0,1925896,1351815168,0
cavity2d,20x20,400,840,disc-only,upwind,1,200,200,1.03454,0.0157761,0.584721,0.0532039,0.013196,0.00119611,0.120668,0.0599495,0.140244,0.02889,0.0021642,0.0140982,0.888915,0.113153,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,2691,10034032,3200,25540800,345,0,9800,0,1925896,1351815168,0
cavity2d,20x20,400,840,disc-only,upwind,2,200,200,1.01322,0.0157059,0.568538,0.0528331,0.0126171,0.00129987,0.122195,0.0585983,0.133506,0.0305535,0.00218708,0.0147344,0.868709,0.111431,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,2691,10034032,3200,25540800,345,0,9800,0,1925896,1351815168,0
cavity2d,20x20,400,840,disc-only,upwind,3,200,200,0.963999,0.0126135,0.539888,0.0505413,0.0118295,0.00143319,0.117795,0.0567757,0.127195,0.0273165,0.00223789,0.0158887,0.825456,0.107317,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,2691,10034032,3200,25540800,345,0,9800,0,1925896,1351815168,0
