case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
inletoutlet2d,40x40,1600,3280,cpu,upwind,0,200,200,1.76683,0.00011527,0.597356,0.166862,0.0014157,0.0163417,0.0759424,0.799497,0.0971488,0.00215665,0.00799769,0.00198171,0.790362,0.966359,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,cpu,upwind,1,200,200,1.68424,8.4136e-05,0.572356,0.160956,0.00128161,0.015373,0.07485,0.755755,0.0921505,0.00204219,0.00758382,0.00179116,0.758053,0.916712,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,cpu,upwind,2,200,200,1.66224,8.63e-05,0.560386,0.156862,0.00138759,0.0157342,0.0737841,0.750587,0.0924881,0.00204229,0.00712792,0.00174179,0.745822,0.907449,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,cpu,upwind,3,200,200,1.69561,7.9867e-05,0.578929,0.16008,0.00135668,0.0155112,0.0734225,0.760244,0.0942203,0.00219974,0.00771389,0.00184375,0.765639,0.920324,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,cpu,upwind,4,200,200,1.65553,8.1319e-05,0.562811,0.155132,0.0013543,0.0151473,0.071582,0.746829,0.0915956,0.00202034,0.00718477,0.0017745,0.744511,0.901961,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,0,200,200,18.0467,8.4377e-05,0.547681,3.14437,0.00208036,0.0160594,0.0759843,14.1621,0.085279,0.00200285,0.00811222,0.0028697,0.729087,17.3065,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,28,2,348927,115810,532640,1351815168,17.3039
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,1,200,200,20.662,7.862e-05,0.563524,3.61983,0.00224986,0.0159898,0.0798028,16.2778,0.0894126,0.00204642,0.00825707,0.00295508,0.753026,19.8977,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,26,0,348927,115810,532496,1351815168,19.8948
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,2,200,200,19.969,8.3489e-05,0.55969,3.49878,0.00218148,0.0158684,0.0791885,15.7141,0.0861697,0.00205505,0.00799906,0.00289788,0.745153,19.2128,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,26,0,348927,115810,532496,1351815168,19.2102
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,3,200,200,21.3531,8.0182e-05,0.574589,3.78378,0.0023255,0.0160582,0.0811269,16.7929,0.0887825,0.00201805,0.00832591,0.00300882,0.7649,20.5767,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,26,0,348927,115810,532496,1351815168,20.5739
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,4,200,200,21.7626,0.000101464,0.587587,3.7952,0.00235869,0.0164244,0.0819788,17.1746,0.090907,0.00205848,0.00839168,0.00288697,0.781314,20.9698,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,26,0,348927,115810,532496,1351815168,20.9669
inletoutlet2d,40x40,1600,3280,gpu-disc,upwind,0,200,200,21.6679,0.0212149,0.797989,3.57828,0.00856339,0.00110389,0.168281,16.8734,0.164787,0.0305798,0.0109293,0.0116206,1.1713,20.4517,MaxIterations,1,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,4495,92987008,119610,122552664,371,0,358727,115810,8070552,1351815168,20.4359
inletoutlet2d,40x40,1600,3280,gpu-disc,upwind,1,200,200,22.251,0.0148178,0.814201,3.69894,0.0101315,0.0012198,0.173839,17.3088,0.173102,0.031524,0.0112457,0.0117296,1.20402,21.0077,MaxIterations,1,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,4495,92987008,119610,122552664,371,0,358727,115810,8070552,1351815168,20.9905
inletoutlet2d,40x40,1600,3280,gpu-disc,upwind,2,200,200,22.1751,0.0176258,0.829115,3.60274,0.00985577,0.00129992,0.174149,17.3085,0.175302,0.0324211,0.011157,0.0115732,1.22214,20.9112,MaxIterations,1,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,4495,92987008,119610,122552664,371,0,358727,115810,8070552,1351815168,20.8953
inletoutlet2d,40x40,1600,3280,gpu-disc,upwind,3,200,200,20.9217,0.0190285,0.785902,3.43201,0.00882188,0.00169174,0.163115,16.2932,0.16525,0.030393,0.0104531,0.0106541,1.15517,19.7252,MaxIterations,1,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,4495,92987008,119610,122552664,371,0,358727,115810,8070552,1351815168,19.7104
inletoutlet2d,40x40,1600,3280,gpu-disc,upwind,4,200,200,21.005,0.0147539,0.821058,3.45287,0.0098061,0.00101539,0.167309,16.3117,0.173586,0.0309035,0.0101071,0.0108329,1.20368,19.7646,MaxIterations,1,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,4495,92987008,119610,122552664,371,0,358727,115810,8070552,1351815168,19.7492
inletoutlet2d,40x40,1600,3280,disc-only,upwind,0,200,200,2.5823,0.0156488,0.901989,0.273875,0.0192695,0.00109419,0.182903,0.752381,0.336596,0.0600374,0.00868236,0.0286152,1.50189,1.02626,MaxIterations,1,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,2691,39843952,3200,103556800,345,0,9800,0,7538056,1351815168,0
