case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
cavity2d-quick,160x160,25600,51520,cpu,quick,0,60,60,11.5946,0.00158632,4.08797,0.635515,0.0122943,0.0718479,0.489656,5.7902,0.39349,0.0117511,0.0409645,0.0590566,5.06701,6.42571,MaxIterations,0,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-quick,160x160,25600,51520,cpu,quick,1,60,60,11.3077,0.00128974,3.91642,0.624309,0.0121662,0.0696814,0.616853,5.6149,0.390872,0.0111782,0.0406624,0.0092756,5.01717,6.23921,MaxIterations,0,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-quick,160x160,25600,51520,cpu,quick,2,60,60,11.3826,0.00121376,4.07636,0.616944,0.0116131,0.0680669,0.639159,5.52449,0.385439,0.0108365,0.0395324,0.00886409,5.19147,6.14144,MaxIterations,0,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-quick,160x160,25600,51520,gpu-pipe,quick,0,60,60,14.3091,0.00107561,4.29736,1.12672,0.0112476,0.0620952,0.538704,7.79456,0.381461,0.0125618,0.0427629,0.0389435,5.30343,8.92128,MaxIterations,0,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,544,259572800,50006,106462400,28,2,149961,49826,8583480,1351815168,8.91005
cavity2d-quick,160x160,25600,51520,gpu-pipe,quick,1,60,60,14.6595,0.00126255,4.41996,1.20879,0.0119669,0.0628335,0.656836,7.8382,0.392775,0.0118512,0.0438133,0.00963056,5.55622,9.04699,MaxIterations,0,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,544,259572800,50006,106462400,26,0,149961,49826,8581104,1351815168,9.03549
cavity2d-quick,160x160,25600,51520,gpu-pipe,quick,2,60,60,15.1891,0.00146457,4.45086,1.21618,0.0113181,0.0622575,0.668756,8.30829,0.403876,0.0118203,0.0437014,0.00918133,5.60888,9.52447,MaxIterations,0,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,544,259572800,50006,106462400,26,0,149961,49826,8581104,1351815168,9.51413
cavity2d-quick,160x160,25600,51520,gpu-disc,quick,0,60,60,11.0692,0.129791,1.11515,1.1432,0.00940521,0.000276961,0.370023,8.07611,0.102473,0.055455,0.0454802,0.0131415,1.65278,9.21931,MaxIterations,1,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,1555,520477872,50966,608582240,371,0,152901,49826,127206520,1351815168,9.19334
cavity2d-quick,160x160,25600,51520,gpu-disc,quick,1,60,60,11.2083,0.132344,1.11502,1.15744,0.00937884,0.000307918,0.372573,8.19841,0.102519,0.0518371,0.046178,0.0127334,1.65164,9.35585,MaxIterations,1,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,1555,520477872,50966,608582240,371,0,152901,49826,127206520,1351815168,9.32987
cavity2d-quick,160x160,25600,51520,gpu-disc,quick,2,60,60,11.3841,0.132488,1.14818,1.1851,0.00957435,0.000302398,0.374439,8.30523,0.107677,0.0543233,0.0458376,0.0123733,1.6945,9.49032,MaxIterations,1,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,1555,520477872,50966,608582240,371,0,152901,49826,127206520,1351815168,9.46389
cavity2d-quick,160x160,25600,51520,disc-only,quick,0,60,60,8.707,0.130729,1.30515,0.705758,0.0164597,0.000269846,0.432862,5.76104,0.185196,0.0788876,0.0513157,0.0302263,2.01883,6.4668,MaxIterations,1,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,1011,260905072,960,502119840,345,0,2940,0,118625416,1351815168,0
cavity2d-quick,160x160,25600,51520,disc-only,quick,1,60,60,8.59297,0.130756,1.29887,0.713445,0.0166145,0.000291538,0.430765,5.65408,0.179996,0.0770322,0.0510682,0.0312186,2.00357,6.36753,MaxIterations,1,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,1011,260905072,960,502119840,345,0,2940,0,118625416,1351815168,0
cavity2d-quick,160x160,25600,51520,disc-only,quick,2,60,60,8.47385,0.12706,1.25241,0.705761,0.0177418,0.000284619,0.427847,5.59815,0.176199,0.0758161,0.0532558,0.0307435,1.9503,6.30391,MaxIterations,1,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,1011,260905072,960,502119840,345,0,2940,0,118625416,1351815168,0
cavity2d-linup,160x160,25600,51520,cpu,linear_upwind,0,60,60,11.9458,0.00101638,4.44661,0.620048,0.012258,0.0734532,0.593233,5.75514,0.383841,0.0111601,0.0400039,0.00902862,5.52055,6.37519,MaxIterations,0,1,0,0.00231483,0.00103769,0.000131206,5.6356e-08,1138,10805,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-linup,160x160,25600,51520,cpu,linear_upwind,1,60,60,11.7872,0.00118928,4.41616,0.61455,0.0113982,0.066862,0.588317,5.64342,0.384985,0.0105475,0.0403001,0.00943124,5.47827,6.25798,MaxIterations,0,1,0,0.00231483,0.00103769,0.000131206,5.6356e-08,1138,10805,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-linup,160x160,25600,51520,cpu,linear_upwind,2,60,60,11.7449,0.00114519,4.4054,0.604468,0.0113176,0.0668777,0.588058,5.62412,0.384001,0.0107398,0.0395645,0.00916078,5.46639,6.22859,MaxIterations,0,1,0,0.00231483,0.00103769,0.000131206,5.6356e-08,1138,10805,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-linup,160x160,25600,51520,gpu-pipe,linear_upwind,0,60,60,14.3857,0.00116926,4.74456,1.11702,0.0114003,0.0596289,0.469857,7.4825,0.384834,0.0116844,0.0428748,0.0589577,5.68197,8.59952,MaxIterations,0,1,0,0.00231394,0.00103957,0.000131206,5.92169e-08,1138,11205,544,259572800,49496,105751200,26,0,148424,49316,8581104,1351815168,8.58987
cavity2d-linup,160x160,25600,51520,gpu-pipe,linear_upwind,1,60,60,14.5898,0.00122206,4.83474,1.13524,0.0118668,0.0616757,0.462357,7.57076,0.391137,0.0120331,0.043402,0.0637992,5.77381,8.706,MaxIterations,0,1,0,0.00231394,0.00103957,0.000131206,5.92169e-08,1138,11205,544,259572800,49496,105751200,26,0,148424,49316,8581104,1351815168,8.69609
