case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
cavity3d,12x12x12,1728,5616,cpu,upwind,0,60,60,0.858509,0.000264096,0.534965,0.0555611,0.000931354,0.0773946,0.0461583,0.0919605,0.0457553,0.00130391,0.00331609,0.00088684,0.706509,0.147522,MaxIterations,0,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,0,0,0,0,0,0,0,0,0,1351815168,0
cavity3d,12x12x12,1728,5616,cpu,upwind,1,60,60,0.830564,0.000272942,0.520387,0.0529207,0.000748224,0.0749467,0.0449954,0.0870357,0.0443367,0.00114154,0.00296131,0.000803108,0.686555,0.139956,MaxIterations,0,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,0,0,0,0,0,0,0,0,0,1351815168,0
cavity3d,12x12x12,1728,5616,cpu,upwind,2,60,60,0.827788,0.000265956,0.51595,0.0539298,0.000695038,0.0768599,0.0448751,0.0862269,0.0440536,0.00108569,0.0030365,0.000797566,0.683519,0.140157,MaxIterations,0,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,0,0,0,0,0,0,0,0,0,1351815168,0
cavity3d,12x12x12,1728,5616,gpu-pipe,upwind,0,60,60,2.41902,0.000256802,0.505948,0.695934,0.000862973,0.0725496,0.0466983,1.05023,0.0412969,0.00107392,0.00308126,0.00103482,0.66843,1.74617,MaxIterations,0,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,724,28406872,12382,4494208,28,2,37017,12142,663664,1351815168,1.74508
cavity3d,12x12x12,1728,5616,gpu-pipe,upwind,1,60,60,2.31875,0.000254744,0.499552,0.643709,0.000827718,0.0729129,0.0456411,1.00948,0.041188,0.00106663,0.00312669,0.000939374,0.661189,1.65319,MaxIterations,0,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,724,28406872,12382,4494208,26,0,37017,12142,663520,1351815168,1.65215
cavity3d,12x12x12,1728,5616,gpu-pipe,upwind,2,60,60,2.30513,0.000244105,0.498804,0.665235,0.000769122,0.0722108,0.0447395,0.977678,0.0405709,0.00100633,0.00294909,0.000866384,0.6581,1.64291,MaxIterations,0,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,724,28406872,12382,4494208,26,0,37017,12142,663520,1351815168,1.64193
cavity3d,12x12x12,1728,5616,gpu-disc,upwind,0,60,60,2.16093,0.0230458,0.265929,0.671224,0.00076414,0.00966128,0.0592037,1.08666,0.0274689,0.00970266,0.00362355,0.00250202,0.37273,1.75788,MaxIterations,1,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,1795,51728072,13582,59446528,387,0,39357,12142,13264240,1353912320,1.75069
cavity3d,12x12x12,1728,5616,gpu-disc,upwind,1,60,60,2.25322,0.0251495,0.292429,0.702912,0.00104075,0.00414211,0.0570898,1.1284,0.0251445,0.00915789,0.00337772,0.00309321,0.389004,1.83131,MaxIterations,1,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,1795,51728072,13582,59446528,386,0,39357,12142,13219312,1353912320,1.8249
cavity3d,12x12x12,1728,5616,gpu-disc,upwind,2,60,60,2.30863,0.0215812,0.311207,0.713537,0.000835612,0.00314552,0.0620136,1.15426,0.0252195,0.00905881,0.00346832,0.0030067,0.41148,1.8678,MaxIterations,1,1,0,1.00142e-07,2.67393e-08,7.89506e-08,4.55047e-08,1103,1933,1795,51728072,13582,59446528,386,0,39357,12142,13219312,1353912320,1.86147
cavity3d,12x12x12,1728,5616,disc-only,upwind,0,60,60,0.615118,0.0271971,0.323762,0.0604039,0.000989591,0.00364129,0.0639476,0.0812948,0.0328415,0.0103122,0.00298683,0.00642401,0.435495,0.141699,MaxIterations,1,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,1071,23321200,1200,54952320,360,0,2340,0,12555792,1353912320,0
cavity3d,12x12x12,1728,5616,disc-only,upwind,1,60,60,0.632718,0.0276225,0.335277,0.0625148,0.000987963,0.00508695,0.0648955,0.07974,0.0331752,0.0107782,0.00297615,0.00816216,0.450201,0.142255,MaxIterations,1,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,1071,23321200,1200,54952320,360,0,2340,0,12555792,1353912320,0
cavity3d,12x12x12,1728,5616,disc-only,upwind,2,60,60,0.627635,0.0280762,0.330955,0.0613072,0.00104978,0.00553621,0.0678671,0.0794098,0.031483,0.0108556,0.00291826,0.00698974,0.447747,0.140717,MaxIterations,1,1,0,2.02927e-07,1.89761e-07,2.5071e-07,2.21086e-08,1104,1956,1071,23321200,1200,54952320,360,0,2340,0,12555792,1353912320,0
cavity3d,24x24x24,13824,43200,cpu,upwind,0,30,30,5.12709,0.00221495,2.86221,0.292058,0.00381455,0.344735,0.323647,1.06999,0.190863,0.00478729,0.0135941,0.0191597,3.73005,1.36205,MaxIterations,0,1,0,0.000157356,3.19669e-05,1.20055e-05,9.83922e-08,751,2774,0,0,0,0,0,0,0,0,0,1353912320,0
cavity3d,24x24x24,13824,43200,cpu,upwind,1,30,30,5.05081,0.0029425,2.84855,0.285913,0.00366494,0.338684,0.31699,1.03015,0.18757,0.00461433,0.0134871,0.0181825,3.70008,1.31607,MaxIterations,0,1,0,0.000157356,3.19669e-05,1.20055e-05,9.83922e-08,751,2774,0,0,0,0,0,0,0,0,0,1353912320,0
cavity3d,24x24x24,13824,43200,cpu,upwind,2,30,30,4.98142,0.00238709,2.79962,0.285607,0.00351746,0.335131,0.31815,1.01607,0.185406,0.00458061,0.0130097,0.0178929,3.6464,1.30168,MaxIterations,0,1,0,0.000157356,3.19669e-05,1.20055e-05,9.83922e-08,751,2774,0,0,0,0,0,0,0,0,0,1353912320,0
cavity3d,24x24x24,13824,43200,gpu-pipe,upwind,0,30,30,6.61827,0.00267014,2.88614,0.786432,0.00362078,0.332683,0.326685,2.0591,0.181883,0.00500126,0.0137222,0.0191396,3.73601,2.84554,MaxIterations,0,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,364,117835048,14148,23822208,28,2,42390,14028,5420104,1353912320,2.84179
cavity3d,24x24x24,13824,43200,gpu-pipe,upwind,1,30,30,6.57422,0.002938,2.91052,0.734167,0.00353972,0.328194,0.336099,2.03316,0.185438,0.00513991,0.014557,0.0195755,3.76893,2.76733,MaxIterations,0,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,364,117835048,14148,23822208,26,0,42390,14028,5418976,1353912320,2.7635
cavity3d,24x24x24,13824,43200,gpu-pipe,upwind,2,30,30,6.50655,0.00238367,2.89489,0.730668,0.00347913,0.333589,0.328941,1.99126,0.182554,0.00488458,0.0140086,0.0190954,3.74834,2.72192,MaxIterations,0,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,364,117835048,14148,23822208,26,0,42390,14028,5418976,1353912320,2.71833
cavity3d,24x24x24,13824,43200,gpu-disc,upwind,0,30,30,3.41002,0.131591,0.615102,0.6489,0.000637024,0.00203261,0.150052,1.79014,0.0220895,0.011499,0.01519,0.0155276,0.801411,2.43904,MaxIterations,1,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,1045,249854360,14748,249845568,387,1,43560,14028,102612208,1353912320,2.42843
cavity3d,24x24x24,13824,43200,gpu-disc,upwind,1,30,30,3.44438,0.129672,0.572025,0.676626,0.000513,0.00144037,0.141328,1.85253,0.023482,0.0142216,0.0149192,0.0086884,0.75301,2.52915,MaxIterations,1,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,1045,249854360,14748,249845568,386,0,43560,14028,102311536,1353912320,2.51855
cavity3d,24x24x24,13824,43200,gpu-disc,upwind,2,30,30,3.45395,0.134186,0.576649,0.666637,0.000526967,0.00157646,0.137075,1.87296,0.0234049,0.0140119,0.0146703,0.00428833,0.753244,2.5396,MaxIterations,1,1,0,0.000157348,3.19671e-05,1.20059e-05,9.717e-08,751,2761,1045,249854360,14748,249845568,386,0,43560,14028,102311536,1353912320,2.52897
cavity3d,24x24x24,13824,43200,disc-only,upwind,0,30,30,2.55145,0.130011,0.686728,0.328198,0.00115634,0.00176918,0.191937,1.05543,0.0716283,0.0392457,0.0178867,0.0163635,0.992465,1.38363,MaxIterations,1,1,0,0.000157356,3.19669e-05,1.20055e-05,9.83922e-08,751,2774,681,132019312,600,226023360,360,0,1170,0,96892560,1353912320,0
cavity3d,24x24x24,13824,43200,disc-only,upwind,1,30,30,2.52777,0.13326,0.694327,0.319787,0.000908926,0.00165654,0.178014,1.05377,0.0680105,0.0389473,0.0167895,0.012964,0.981865,1.37356,MaxIterations,1,1,0,0.000157356,3.19669e-05,1.20055e-05,9.83922e-08,751,2774,681,132019312,600,226023360,360,0,1170,0,96892560,1353912320,0
cavity3d,24x24x24,13824,43200,disc-only,upwind,2,30,30,2.53682,0.134253,0.703576,0.324717,0.000852562,0.00179576,0.191605,1.02639,0.0667257,0.0389335,0.0172127,0.0226953,1.00349,1.35111,MaxIterations,1,1,0,0.000157356,3.19669e-05,1.20055e-05,9.83922e-08,751,2774,681,132019312,600,226023360,360,0,1170,0,96892560,1353912320,0
cavity3d,40x40x40,64000,196800,cpu,upwind,0,12,12,10.7765,0.015771,6.34194,0.582368,0.00878736,0.734248,0.561844,2.02414,0.430759,0.0123204,0.0266748,0.0371688,8.0899,2.6065,MaxIterations,0,1,0,0.000820758,2.5179e-05,2.72506e-05,1.45532e-08,305,1136,0,0,0,0,0,0,0,0,0,1353912320,0
cavity3d,40x40x40,64000,196800,cpu,upwind,1,12,12,10.9517,0.0142705,6.46111,0.579204,0.00812495,0.756157,0.567228,2.04931,0.436197,0.0123707,0.0284077,0.0391154,8.24119,2.62851,MaxIterations,0,1,0,0.000820758,2.5179e-05,2.72506e-05,1.45532e-08,305,1136,0,0,0,0,0,0,0,0,0,1353912320,0
cavity3d,40x40x40,64000,196800,cpu,upwind,2,12,12,10.8531,0.0154901,6.39431,0.573406,0.00922173,0.742385,0.569147,2.04964,0.423534,0.0117284,0.0261381,0.0379339,8.15032,2.62305,MaxIterations,0,1,0,0.000820758,2.5179e-05,2.72506e-05,1.45532e-08,305,1136,0,0,0,0,0,0,0,0,0,1353912320,0
cavity3d,40x40x40,64000,196800,gpu-pipe,upwind,0,12,12,9.94383,0.0154427,6.4518,0.501021,0.00900493,0.757712,0.562833,1.12793,0.438603,0.0119392,0.0259652,0.0386077,8.2319,1.62895,MaxIterations,0,1,0,0.000820718,2.51745e-05,2.72489e-05,8.67071e-09,305,1135,148,225535704,5792,44576000,28,2,17356,5744,25297472,1351815168,1.62189
cavity3d,40x40x40,64000,196800,gpu-pipe,upwind,1,12,12,9.81365,0.0159126,6.37112,0.503683,0.00814006,0.749268,0.558902,1.08119,0.446451,0.0112656,0.0260918,0.0384505,8.14514,1.58487,MaxIterations,0,1,0,0.000820718,2.51745e-05,2.72489e-05,8.67071e-09,305,1135,148,225535704,5792,44576000,26,0,17356,5744,25292768,1351815168,1.57813
cavity3d,40x40x40,64000,196800,gpu-pipe,upwind,2,12,12,9.90661,0.0150561,6.41821,0.492663,0.00855717,0.774705,0.569364,1.10123,0.442991,0.0124639,0.0270957,0.040822,8.22629,1.5939,MaxIterations,0,1,0,0.000820718,2.51745e-05,2.72489e-05,8.67071e-09,305,1135,148,225535704,5792,44576000,26,0,17356,5744,25292768,1351815168,1.5869
cavity3d,40x40x40,64000,196800,gpu-disc,upwind,0,12,12,3.45145,0.634315,1.06181,0.406639,0.000731987,0.00449709,0.285545,0.917974,0.0414156,0.0217002,0.0270989,0.025314,1.4157,1.32461,MaxIterations,1,1,0,0.000820718,2.51745e-05,2.72489e-05,8.67071e-09,305,1135,595,690483016,6032,467744384,387,1,17824,5744,468518512,1353912320,1.30932
cavity3d,40x40x40,64000,196800,gpu-disc,upwind,1,12,12,3.14702,0.518197,0.983893,0.375204,0.000250286,0.00110148,0.262491,0.872339,0.0334545,0.0191615,0.027313,0.026009,1.30035,1.24754,MaxIterations,1,1,0,0.000820718,2.51745e-05,2.72489e-05,8.67071e-09,305,1135,595,690483016,6032,467744384,386,0,17824,5744,467289712,1353912320,1.23337
cavity3d,40x40x40,64000,196800,gpu-disc,upwind,2,12,12,3.26266,0.636768,1.00431,0.375708,0.000285443,0.0010166,0.272215,0.839049,0.0361373,0.0191657,0.0272146,0.0248459,1.33313,1.21476,MaxIterations,1,1,0,0.000820718,2.51745e-05,2.72489e-05,8.67071e-09,305,1135,595,690483016,6032,467744384,386,0,17824,5744,467289712,1353912320,1.20086
cavity3d,40x40x40,64000,196800,disc-only,upwind,0,12,12,5.02211,0.615163,1.1605,0.615689,0.000539084,0.00142892,0.327217,2.12664,0.05463,0.0253742,0.0321734,0.0332393,1.56969,2.74233,MaxIterations,1,1,0,0.000820758,2.5179e-05,2.72506e-05,1.45532e-08,305,1136,447,464947312,240,423168384,360,0,468,0,441996944,1353912320,0
cavity3d,40x40x40,64000,196800,disc-only,upwind,1,12,12,5.09837,0.631058,1.25762,0.62224,0.000527871,0.00147533,0.34248,2.06639,0.0610269,0.0271323,0.0295448,0.0319347,1.69026,2.68863,MaxIterations,1,1,0,0.000820758,2.5179e-05,2.72506e-05,1.45532e-08,305,1136,447,464947312,240,423168384,360,0,468,0,441996944,1353912320,0
cavity3d,40x40x40,64000,196800,disc-only,upwind,2,12,12,5.07371,0.620942,1.25958,0.609393,0.000526986,0.00203621,0.346667,2.05084,0.0628976,0.0274343,0.0313034,0.0333997,1.69914,2.66024,MaxIterations,1,1,0,0.000820758,2.5179e-05,2.72506e-05,1.45532e-08,305,1136,447,464947312,240,423168384,360,0,468,0,441996944,1353912320,0
