case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s,upload_s,download_s,reduction_groups,resident_loop
cavity2d,20x20,400,840,cpu,upwind,0,200,200,0.343068,3.0227e-05,0.178803,0.033719,0.000361548,0.00508648,0.0202756,0.0682174,0.0330236,0.000643303,0.00208709,0.000812577,0.238194,0.101936,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0,0,0,0,0
cavity2d,20x20,400,840,cpu,upwind,1,200,200,0.328488,3.1276e-05,0.168919,0.0324409,0.000348807,0.00500866,0.01977,0.0656478,0.0328544,0.000634075,0.00200587,0.00081321,0.227534,0.0980887,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0,0,0,0,0
cavity2d,20x20,400,840,cpu,upwind,2,200,200,0.353852,3.951e-05,0.181859,0.0348588,0.000386449,0.00536964,0.0220624,0.0714507,0.0340255,0.000684079,0.00220677,0.000891699,0.244387,0.10631,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0,0,0,0,0
cavity2d,20x20,400,840,cpu,upwind,3,200,200,0.367942,4.245e-05,0.189932,0.0363813,0.000412732,0.00545041,0.0230745,0.0731631,0.0350286,0.000686287,0.00283315,0.000922417,0.254584,0.109544,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0,0,0,0,0
cavity2d,20x20,400,840,cpu,upwind,4,200,200,0.337097,3.1426e-05,0.174153,0.0333097,0.000343991,0.00539496,0.0204941,0.0667648,0.0329895,0.00062493,0.00214149,0.000838411,0.234,0.100075,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0,0,0,0,0
cavity2d,20x20,400,840,gpu-pipe,upwind,0,200,200,5.44512,3.1673e-05,0.172,1.72404,0.000653852,0.00539717,0.0218579,3.48374,0.0330552,0.000651573,0.00247741,0.00116382,0.233615,5.20778,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,28,2,127570,42016,131848,1351815168,5.20668,0.0637647,3.39069,42016,0
cavity2d,20x20,400,840,gpu-pipe,upwind,1,200,200,5.64149,3.1886e-05,0.177121,1.8191,0.000673572,0.00553827,0.0216287,3.58052,0.0324169,0.000640457,0.00256385,0.00120121,0.238019,5.39962,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,5.39846,0.0680226,3.41268,42016,0
cavity2d,20x20,400,840,gpu-pipe,upwind,2,200,200,7.4726,3.4086e-05,0.169623,2.43955,0.000698003,0.00544548,0.0212086,4.79968,0.0318555,0.000624008,0.00254855,0.00127942,0.229454,7.23923,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,7.23802,0.0793481,3.92269,42016,0
cavity2d,20x20,400,840,gpu-pipe,upwind,3,200,200,8.20046,2.9081e-05,0.168882,2.62,0.000692892,0.00574179,0.020983,5.34803,0.0314897,0.000632063,0.00269991,0.00123212,0.228421,7.96802,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,7.9668,0.0774712,4.22112,42016,0
cavity2d,20x20,400,840,gpu-pipe,upwind,4,200,200,8.16927,2.6283e-05,0.181353,2.60108,0.000740676,0.00582238,0.0227321,5.31913,0.0335384,0.000672159,0.00273456,0.00138612,0.244859,7.92021,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,7.9187,0.0776655,4.21517,42016,0
