case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
inletoutlet2d,40x40,1600,3280,cpu,upwind,0,200,200,1.83389,9.2518e-05,0.632332,0.172182,0.00180466,0.0173534,0.0819562,0.812652,0.102858,0.00233319,0.00826967,0.00203219,0.838638,0.984834,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,cpu,upwind,1,200,200,1.78282,9.6594e-05,0.612621,0.16758,0.00174523,0.0165052,0.0778198,0.794855,0.0995575,0.00232091,0.0077122,0.00199222,0.810569,0.962434,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,cpu,upwind,2,200,200,1.78758,0.000100587,0.615085,0.165504,0.00170059,0.0169639,0.0784921,0.797197,0.0999752,0.00231269,0.00818212,0.00204768,0.814529,0.962701,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,cpu,upwind,3,200,200,1.77138,0.000107956,0.609607,0.164717,0.00168323,0.0168724,0.0781314,0.789061,0.098944,0.00232924,0.00788726,0.00201884,0.807567,0.953778,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,cpu,upwind,4,200,200,1.75776,9.4174e-05,0.603414,0.165093,0.00163894,0.0170406,0.0783549,0.781946,0.097839,0.00221223,0.00815093,0.00195837,0.8005,0.94704,MaxIterations,0,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,0,200,200,18.7625,9.0471e-05,0.553586,3.30019,0.0021517,0.0157502,0.0753446,14.7163,0.0865387,0.00189915,0.00796315,0.00257801,0.73527,18.0165,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,28,2,348927,115810,532640,1351815168,18.0142
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,1,200,200,20.2621,8.2892e-05,0.548809,3.55754,0.00213931,0.0157236,0.0749976,15.9634,0.0868303,0.00189207,0.00815244,0.00249268,0.730392,19.5209,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,26,0,348927,115810,532496,1351815168,19.5186
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,2,200,200,20.1681,8.5013e-05,0.555757,3.48354,0.00213651,0.0155528,0.0752502,15.9347,0.08831,0.00193483,0.00823827,0.00250409,0.738941,19.4183,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,26,0,348927,115810,532496,1351815168,19.4159
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,3,200,200,20.1972,8.2262e-05,0.553619,3.52251,0.00209518,0.0160913,0.0756158,15.9271,0.0875333,0.00191378,0.00808813,0.00248162,0.736869,19.4496,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,26,0,348927,115810,532496,1351815168,19.4473
inletoutlet2d,40x40,1600,3280,gpu-pipe,upwind,4,200,200,20.117,8.0602e-05,0.551838,3.50057,0.00206248,0.0159296,0.0750054,15.8712,0.0875557,0.00198009,0.00809556,0.00256194,0.734372,19.3718,MaxIterations,0,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,1804,53143056,116410,18995864,26,0,348927,115810,532496,1351815168,19.3695
