case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
cavity2d-quick,160x160,25600,51520,cpu,quick,0,60,60,12.024,0.00133928,4.25287,0.657487,0.0118022,0.0712496,0.510727,5.96884,0.432764,0.011876,0.0416995,0.0628963,5.29129,6.62633,MaxIterations,0,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-quick,160x160,25600,51520,cpu,quick,1,60,60,11.3906,0.00110616,3.98728,0.626059,0.0108221,0.0648202,0.603571,5.62306,0.413507,0.011004,0.0396244,0.00961491,5.091,6.24912,MaxIterations,0,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-quick,160x160,25600,51520,cpu,quick,2,60,60,11.456,0.00116602,4.14798,0.615278,0.0103768,0.0614096,0.636689,5.52114,0.404218,0.0103356,0.038762,0.00851673,5.27101,6.13642,MaxIterations,0,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-quick,160x160,25600,51520,gpu-pipe,quick,0,60,60,15.2275,0.00113577,4.3561,1.30042,0.0111956,0.0610697,0.556367,8.41093,0.43096,0.0121207,0.0448281,0.0399785,5.42782,9.71135,MaxIterations,0,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,544,259572800,50006,106462400,28,2,149961,49826,8583480,1351815168,9.69872
cavity2d-quick,160x160,25600,51520,gpu-pipe,quick,1,60,60,15.5941,0.00110958,4.53635,1.29398,0.0112718,0.0605587,0.666301,8.51567,0.438355,0.0124982,0.0469263,0.00954112,5.72534,9.80965,MaxIterations,0,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,544,259572800,50006,106462400,26,0,149961,49826,8581104,1351815168,9.79855
cavity2d-quick,160x160,25600,51520,gpu-pipe,quick,2,60,60,14.946,0.00132997,4.4891,1.22919,0.010623,0.0582159,0.658889,8.00279,0.429537,0.011798,0.0437219,0.00925633,5.65816,9.23199,MaxIterations,0,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,544,259572800,50006,106462400,26,0,149961,49826,8581104,1351815168,9.22202
cavity2d-quick,160x160,25600,51520,gpu-disc,quick,0,60,60,10.1967,0.123042,1.02808,1.05977,0.00867697,0.000306058,0.360895,7.40291,0.0967911,0.0494422,0.0448452,0.0125861,1.54419,8.46268,MaxIterations,1,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,1555,520477872,50966,608582240,371,0,152901,49826,127206520,1351815168,8.43767
cavity2d-quick,160x160,25600,51520,gpu-disc,quick,1,60,60,10.3386,0.127447,1.04764,1.06088,0.00887717,0.000312752,0.367456,7.50336,0.0960514,0.0553062,0.0463404,0.012873,1.57564,8.56424,MaxIterations,1,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,1555,520477872,50966,608582240,371,0,152901,49826,127206520,1351815168,8.53845
cavity2d-quick,160x160,25600,51520,gpu-disc,quick,2,60,60,11.0041,0.141625,1.11311,1.15118,0.00977897,0.000289355,0.381462,7.97756,0.0999609,0.0583527,0.0461985,0.01273,1.66295,9.12873,MaxIterations,1,1,0,0.00231408,0.00103884,0.000131129,5.87463e-08,1139,11335,1555,520477872,50966,608582240,371,0,152901,49826,127206520,1351815168,9.1026
cavity2d-quick,160x160,25600,51520,disc-only,quick,0,60,60,8.78268,0.132843,1.29837,0.725917,0.0183232,0.000269409,0.436542,5.82655,0.176167,0.0761872,0.0504556,0.0312352,2.00586,6.55247,MaxIterations,1,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,1011,260905072,960,502119840,345,0,2940,0,118625416,1351815168,0
cavity2d-quick,160x160,25600,51520,disc-only,quick,1,60,60,8.71506,0.12649,1.30097,0.716997,0.0172673,0.000289864,0.444009,5.7445,0.185955,0.0787309,0.0520924,0.0336284,2.02723,6.46149,MaxIterations,1,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,1011,260905072,960,502119840,345,0,2940,0,118625416,1351815168,0
cavity2d-quick,160x160,25600,51520,disc-only,quick,2,60,60,8.56651,0.137948,1.2686,0.702354,0.0169239,0.000267353,0.434231,5.651,0.185895,0.0764148,0.0497551,0.0323167,1.98234,6.35335,MaxIterations,1,1,0,0.00231588,0.00103478,0.000131128,5.35902e-08,1139,10565,1011,260905072,960,502119840,345,0,2940,0,118625416,1351815168,0
cavity2d-linup,160x160,25600,51520,cpu,linear_upwind,0,60,60,11.9517,0.000978402,4.57076,0.610647,0.0113393,0.0652238,0.475749,5.6971,0.409665,0.0117305,0.0404897,0.0580253,5.54447,6.30774,MaxIterations,0,1,0,0.00231483,0.00103769,0.000131206,5.6356e-08,1138,10805,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-linup,160x160,25600,51520,cpu,linear_upwind,1,60,60,11.7507,0.00107966,4.38398,0.618295,0.0112536,0.0653677,0.476688,5.66663,0.410096,0.0118508,0.0403552,0.0650383,5.35924,6.28492,MaxIterations,0,1,0,0.00231483,0.00103769,0.000131206,5.6356e-08,1138,10805,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-linup,160x160,25600,51520,cpu,linear_upwind,2,60,60,11.894,0.00154545,4.34911,0.62202,0.0112674,0.0703694,0.483186,5.81902,0.416669,0.0121647,0.0405225,0.0680231,5.34276,6.44104,MaxIterations,0,1,0,0.00231483,0.00103769,0.000131206,5.6356e-08,1138,10805,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d-linup,160x160,25600,51520,gpu-pipe,linear_upwind,0,60,60,15.4812,0.00111857,4.85796,1.26748,0.0111428,0.0606198,0.47985,8.25481,0.431321,0.0116554,0.0433333,0.060438,5.85255,9.52229,MaxIterations,0,1,0,0.00231394,0.00103957,0.000131206,5.92169e-08,1138,11205,544,259572800,49496,105751200,26,0,148424,49316,8581104,1351815168,9.51138
