case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
cavity2d,160x160,25600,51520,cpu,upwind,0,60,60,12.4084,0.0013661,4.10921,0.685219,0.0121841,0.0703195,0.540089,6.40817,0.463923,0.0124265,0.0447235,0.060508,5.20815,7.09339,MaxIterations,0,1,0,0.00230745,0.00103624,0.000132011,5.59308e-08,1137,10784,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,160x160,25600,51520,cpu,upwind,1,60,60,12.1474,0.00121513,3.95919,0.686266,0.0129541,0.071469,0.658786,6.23757,0.452386,0.0134455,0.0440641,0.00996582,5.16823,6.92384,MaxIterations,0,1,0,0.00230745,0.00103624,0.000132011,5.59308e-08,1137,10784,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,160x160,25600,51520,cpu,upwind,2,60,60,12.2284,0.00118333,4.13107,0.678711,0.012125,0.0709283,0.702395,6.12023,0.445471,0.0122828,0.0438121,0.0100885,5.37427,6.79894,MaxIterations,0,1,0,0.00230745,0.00103624,0.000132011,5.59308e-08,1137,10784,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,160x160,25600,51520,gpu-pipe,upwind,0,60,60,14.6061,0.00109469,4.06718,1.29399,0.011945,0.0636156,0.565559,8.07249,0.433059,0.0129277,0.0433629,0.0390474,5.15429,9.36647,MaxIterations,0,1,0,0.00230924,0.00103233,0.000132011,5.33697e-08,1137,10701,544,259572800,47474,102920000,28,2,142359,47294,8583480,1351815168,9.35406
cavity2d,160x160,25600,51520,gpu-pipe,upwind,1,60,60,14.7848,0.00107003,4.23482,1.25873,0.0113024,0.0617444,0.659931,8.06088,0.429321,0.0120332,0.0440885,0.00939645,5.40915,9.3196,MaxIterations,0,1,0,0.00230924,0.00103233,0.000132011,5.33697e-08,1137,10701,544,259572800,47474,102920000,26,0,142359,47294,8581104,1351815168,9.30825
cavity2d,160x160,25600,51520,gpu-pipe,upwind,2,60,60,14.7538,0.00128753,4.18561,1.28576,0.011321,0.0603324,0.678461,8.02401,0.437757,0.0125409,0.0455784,0.00948417,5.38602,9.30977,MaxIterations,0,1,0,0.00230924,0.00103233,0.000132011,5.33697e-08,1137,10701,544,259572800,47474,102920000,26,0,142359,47294,8581104,1351815168,9.29846
cavity2d,160x160,25600,51520,gpu-disc,upwind,0,60,60,10.0085,0.127105,1.00243,1.03901,0.00860545,0.000304463,0.355771,7.26272,0.0970553,0.047601,0.0461466,0.0126373,1.51177,8.30173,MaxIterations,1,1,0,0.00230924,0.00103233,0.000132011,5.33697e-08,1137,10701,1555,520477872,48434,605039840,371,0,145299,47294,127206520,1351815168,8.27736
cavity2d,160x160,25600,51520,gpu-disc,upwind,1,60,60,9.60744,0.12999,1.03079,1.03091,0.00840436,0.000319649,0.367548,6.82444,0.0926049,0.0537592,0.0464885,0.0129588,1.55342,7.85534,MaxIterations,1,1,0,0.00230924,0.00103233,0.000132011,5.33697e-08,1137,10701,1555,520477872,48434,605039840,371,0,145299,47294,127206520,1351815168,7.82999
cavity2d,160x160,25600,51520,gpu-disc,upwind,2,60,60,9.62655,0.11988,0.984694,1.03891,0.00866491,0.00031928,0.363988,6.89773,0.0911821,0.0525616,0.0466835,0.0129592,1.50141,7.93664,MaxIterations,1,1,0,0.00230924,0.00103233,0.000132011,5.33697e-08,1137,10701,1555,520477872,48434,605039840,371,0,145299,47294,127206520,1351815168,7.91105
cavity2d,160x160,25600,51520,disc-only,upwind,0,60,60,8.90872,0.129876,1.19389,0.696182,0.0158956,0.000307763,0.438908,6.08148,0.184876,0.0775715,0.0497646,0.0315273,1.91145,6.77767,MaxIterations,1,1,0,0.00230745,0.00103624,0.000132011,5.59308e-08,1137,10784,1011,260905072,960,502119840,345,0,2940,0,118625416,1351815168,0
cavity2d,160x160,25600,51520,disc-only,upwind,1,60,60,8.81314,0.122323,1.22368,0.706315,0.0161838,0.000312435,0.447152,5.9419,0.187151,0.0757149,0.0503716,0.0315009,1.9502,6.64821,MaxIterations,1,1,0,0.00230745,0.00103624,0.000132011,5.59308e-08,1137,10784,1011,260905072,960,502119840,345,0,2940,0,118625416,1351815168,0
cavity2d,160x160,25600,51520,disc-only,upwind,2,60,60,8.70818,0.121526,1.21916,0.691248,0.0166765,0.000386967,0.444407,5.86564,0.180925,0.0759667,0.0497553,0.0328936,1.93752,6.55689,MaxIterations,1,1,0,0.00230745,0.00103624,0.000132011,5.59308e-08,1137,10784,1011,260905072,960,502119840,345,0,2940,0,118625416,1351815168,0
cavity2d,320x320,102400,205440,cpu,upwind,0,20,20,28.9955,0.00427606,6.3184,0.96207,0.0215447,0.0893655,0.8526,19.9975,0.586873,0.0259859,0.0643932,0.0723623,7.89477,20.9595,MaxIterations,0,1,0,0.00913006,0.00244704,0.000215288,4.75451e-08,394,8543,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,320x320,102400,205440,cpu,upwind,1,20,20,29.2278,0.00497368,6.31149,0.980911,0.0220643,0.0880934,0.851539,20.2137,0.591662,0.0233245,0.0642459,0.0755218,7.88817,21.1946,MaxIterations,0,1,0,0.00913006,0.00244704,0.000215288,4.75451e-08,394,8543,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,320x320,102400,205440,cpu,upwind,2,20,20,28.7756,0.0045699,6.28373,0.96546,0.0198356,0.0841788,0.829929,19.8507,0.570243,0.0236796,0.0630453,0.0799751,7.81159,20.8162,MaxIterations,0,1,0,0.00913006,0.00244704,0.000215288,4.75451e-08,394,8543,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,320x320,102400,205440,gpu-pipe,upwind,0,20,20,13.8279,0.00602196,6.25503,0.554935,0.0202662,0.0863939,0.86308,5.27954,0.592123,0.0236161,0.0635092,0.0787171,7.84051,5.83448,MaxIterations,0,1,0,0.00913029,0.00244605,0.00021529,3.65372e-08,395,7244,184,353259200,30578,219830400,28,2,91721,30518,34372624,1351815168,5.81797
