grid,cells,backend,repeat,outer_iterations,total_seconds,mesh_setup_seconds,simple_solve_seconds,status,ran_cleanly,mass_imbalance,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,upload_seconds,download_seconds,kernel_seconds,gpu_solve_seconds,gpu_linear_solves,gpu_linear_solver_iterations
20x20,400,CPU,0,200,0.318087,4.931e-05,0.318036,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,1,200,0.311041,7.7996e-05,0.31096,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,2,200,0.300852,5.6681e-05,0.300794,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,GPU,0,200,10.711,5.7654e-05,10.711,MaxIterations,yes,0,1804,13089920,73840,3091840,0.0530823,5.68701,4.48655,10.5032,600,10516
20x20,400,GPU,1,200,13.0213,5.1029e-05,13.0212,MaxIterations,yes,0,1804,13089920,73840,3091840,0.0513453,5.91733,6.59592,12.8178,600,10516
20x20,400,GPU,2,200,13.1698,5.6787e-05,13.1697,MaxIterations,yes,0,1804,13089920,73840,3091840,0.0513555,5.99328,6.66335,12.9645,600,10516
40x40,1600,CPU,0,200,1.43741,0.00018764,1.43722,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,1,200,1.40094,0.000289288,1.40064,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,2,200,1.38222,0.00019769,1.38202,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,GPU,0,200,25.0552,0.000214905,25.055,MaxIterations,yes,0,1804,53139840,133476,15121056,0.0917967,11.3042,12.4489,24.3197,600,19047
40x40,1600,GPU,1,200,24.3136,0.00017418,24.3135,MaxIterations,yes,0,1804,53139840,133476,15121056,0.0856838,11.1092,11.9599,23.576,600,19047
40x40,1600,GPU,2,200,24.4735,0.000191056,24.4733,MaxIterations,yes,0,1804,53139840,133476,15121056,0.0855536,11.1281,12.069,23.7194,600,19047
80x80,6400,CPU,0,200,6.99032,0.00103482,6.98926,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,1,200,6.8154,0.00100971,6.81438,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,2,200,6.79242,0.000991989,6.79142,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,GPU,0,200,31.4332,0.000944463,31.4323,MaxIterations,yes,0,1804,214110080,159930,62586000,0.495042,12.6754,14.0226,27.6746,600,22818
80x80,6400,GPU,1,200,36.3774,0.000741164,36.3766,MaxIterations,yes,0,1804,214110080,159930,62586000,0.518957,15.0317,16.3064,32.5194,600,22818
80x80,6400,GPU,2,200,32.8447,0.000861498,32.8438,MaxIterations,yes,0,1804,214110080,159930,62586000,0.528555,13.0854,14.6684,28.8544,600,22818
160x160,25600,CPU,0,60,11.7302,0.00410427,11.726,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,1,60,11.5813,0.003282,11.578,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,2,60,11.2821,0.003109,11.279,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,GPU,0,60,20.8132,0.0031606,20.81,MaxIterations,yes,0,544,259572800,82869,103015200,0.215551,7.02222,8.01837,15.5537,180,11838
160x160,25600,GPU,1,60,22.8993,0.00546656,22.8938,MaxIterations,yes,0,544,259572800,82869,103015200,0.221569,7.9156,9.04297,17.5466,180,11838
160x160,25600,GPU,2,60,22.901,0.00331408,22.8977,MaxIterations,yes,0,544,259572800,82869,103015200,0.220741,7.87164,9.21892,17.6946,180,11838
320x320,102400,CPU,0,20,28.14,0.0192756,28.1206,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,1,20,27.4798,0.0126075,27.467,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,2,20,27.7579,0.0123872,27.7454,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,GPU,0,20,20.8209,0.0126142,20.8082,MaxIterations,yes,0,184,353259200,53446,219987200,0.220053,5.10653,7.33151,12.9161,60,7639
320x320,102400,GPU,1,20,21.4388,0.0131809,21.4255,MaxIterations,yes,0,184,353259200,53446,219987200,0.219197,5.39896,7.61087,13.5083,60,7639
320x320,102400,GPU,2,20,19.6809,0.0132597,19.6674,MaxIterations,yes,0,184,353259200,53446,219987200,0.216378,4.4483,6.59089,11.4843,60,7639
640x640,409600,CPU,0,8,89.8038,0.0762229,89.7262,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
640x640,409600,GPU,0,8,28.033,0.0691864,27.9632,MaxIterations,yes,0,76,589291392,40492,596633600,0.197317,3.07043,6.49523,10.0025,24,5785
