# GPU-PCORR-001 step 5: scale dependence of the breakdown criterion; 2026-09-18T12:52:24Z
# CPU BiCGSTAB uses a scale-relative cancellation test (src/algebra/BiCGSTAB.cpp,
# 'cancelledToRoundingLevel', P12-MESH-004); the GPU mirror still uses the absolute
# |rho| < constants::tiny = 1e-30 (cuda/kernels/GpuLinearSolverCuda.cpp lines 439/455/490/495).
# same matrix (160x160, n=25600), RHS scaled; BiCGSTAB, no preconditioner,
# relative tolerance only, so the scale factor cannot change the work required.
b scale    | CPU BiCGSTAB                 | GPU BiCGSTAB                
1e+00      | Converged     it  353        | Converged     it  368       
1e-06      | Converged     it  361        | Converged     it  372       
1e-12      | Converged     it  360        | Breakdown     it   26       
1e-16      | Converged     it  356        | Breakdown     it    2       
1e-20      | Converged     it  369        | Breakdown     it    0       

# same matrix (320x320, n=102400), RHS scaled; BiCGSTAB, no preconditioner,
# relative tolerance only, so the scale factor cannot change the work required.
b scale    | CPU BiCGSTAB                 | GPU BiCGSTAB                
1e+00      | Converged     it  374        | Converged     it  354       
1e-06      | Converged     it  349        | Converged     it  375       
1e-12      | Converged     it  318        | Breakdown     it   25       
1e-16      | Converged     it  357        | Breakdown     it    2       
1e-20      | Converged     it  349        | Breakdown     it    0       
# end 2026-09-18T12:52:33Z
