D2H BYTES by purpose -- model vs measurement

     grid  measured MB  reduction MB  solution MB   model MB    error  reduc %  soln %
    20x20         3.09          1.18         1.92       3.10   +0.19%    38.0%   62.0%
    40x40        15.12          7.47         7.68      15.15   +0.17%    49.3%   50.7%
    80x80        62.59         31.95        30.72      62.67   +0.13%    51.0%   49.0%
  160x160       103.02         66.29        36.86     103.16   +0.14%    64.3%   35.7%
  320x320       219.99        171.11        49.15     220.27   +0.13%    77.7%   22.3%
  640x640       596.63        518.34        78.64     596.98   +0.06%    86.8%   13.2%

CALLS by purpose (the latency view)

     grid   measured  reduction  solution  reduc %
    20x20      73840      73612       600   99.69%
    40x40     133476     133329       600   99.89%
    80x80     159930     159726       600   99.87%
  160x160      82869      82866       180  100.00%
  320x320      53446      53473        60  100.05%
  640x640      40492      40495        24  100.01%

Per-call latency (download seconds / download calls)

     grid  dl seconds  D2H calls   us/call      MB/s
    20x20       5.821      73840      78.8       0.5
    40x40      11.807     133476      88.5       1.3
    80x80      16.091     159930     100.6       3.9
  160x160       6.745      82869      81.4      15.3
  320x320       5.389      53446     100.8      40.8
  640x640       3.380      40492      83.5     176.5
