grid,cells,backend,repeat,outer_iterations,total_seconds,mesh_setup_seconds,simple_solve_seconds,status,ran_cleanly,mass_imbalance,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,upload_seconds,download_seconds,kernel_seconds,gpu_solve_seconds,gpu_linear_solves,gpu_linear_solver_iterations
20x20,400,CPU,0,200,0.293279,4.7098e-05,0.29323,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,1,200,0.284013,6.0658e-05,0.283951,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,2,200,0.291785,5.294e-05,0.291731,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,GPU,0,200,9.92774,6.5606e-05,9.92767,MaxIterations,yes,0,1804,13089920,73840,3091840,0.0457678,5.5827,3.85871,9.71612,600,10516
20x20,400,GPU,1,200,12.401,5.902e-05,12.4009,MaxIterations,yes,0,1804,13089920,73840,3091840,0.0491811,5.82124,6.10472,12.1988,600,10516
20x20,400,GPU,2,200,13.9087,5.2523e-05,13.9086,MaxIterations,yes,0,1804,13089920,73840,3091840,0.0628472,6.46892,6.89063,13.6994,600,10516
40x40,1600,CPU,0,200,1.43113,0.000194593,1.43094,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,1,200,1.39292,0.000249199,1.39267,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,2,200,1.37251,0.000231197,1.37228,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,GPU,0,200,23.9769,0.000212672,23.9767,MaxIterations,yes,0,1804,53139840,133476,15121056,0.0909125,10.9172,11.7222,23.1574,600,19047
40x40,1600,GPU,1,200,25.934,0.000253268,25.9337,MaxIterations,yes,0,1804,53139840,133476,15121056,0.0986366,12.0312,12.5353,25.0999,600,19047
40x40,1600,GPU,2,200,25.4501,0.00034319,25.4498,MaxIterations,yes,0,1804,53139840,133476,15121056,0.0882434,11.8074,12.3304,24.6604,600,19047
80x80,6400,CPU,0,200,7.00493,0.00101521,7.0039,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,1,200,6.84458,0.000957165,6.84362,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,2,200,6.69517,0.000912078,6.69425,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,GPU,0,200,38.409,0.000929152,38.4081,MaxIterations,yes,0,1804,214110080,159930,62586000,0.520738,16.3517,16.7978,34.3913,600,22818
80x80,6400,GPU,1,200,37.3697,0.000800283,37.3689,MaxIterations,yes,0,1804,214110080,159930,62586000,0.483243,15.9953,16.6549,33.8367,600,22818
80x80,6400,GPU,2,200,37.3824,0.000894675,37.3815,MaxIterations,yes,0,1804,214110080,159930,62586000,0.489405,16.0913,16.5684,33.8494,600,22818
160x160,25600,CPU,0,60,12.0224,0.00436022,12.018,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,1,60,11.8777,0.00331459,11.8744,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,2,60,11.7693,0.00357896,11.7657,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,GPU,0,60,22.6177,0.00331655,22.6144,MaxIterations,yes,0,544,259572800,82869,103015200,0.218463,7.73118,8.9004,17.1995,180,11838
160x160,25600,GPU,1,60,20.7003,0.00380529,20.6964,MaxIterations,yes,0,544,259572800,82869,103015200,0.212059,6.74481,8.1662,15.4134,180,11838
160x160,25600,GPU,2,60,19.8826,0.00435292,19.8782,MaxIterations,yes,0,544,259572800,82869,103015200,0.213189,6.26115,7.85402,14.5961,180,11838
320x320,102400,CPU,0,20,28.1507,0.019867,28.1305,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,1,20,28.1712,0.0147698,28.1563,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,2,20,28.0995,0.0142517,28.085,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,GPU,0,20,21.6391,0.014122,21.6248,MaxIterations,yes,0,184,353259200,53446,219987200,0.221995,5.31975,7.8658,13.6613,60,7639
320x320,102400,GPU,1,20,21.7286,0.0129928,21.7155,MaxIterations,yes,0,184,353259200,53446,219987200,0.222253,5.38909,8.00013,13.8719,60,7639
320x320,102400,GPU,2,20,21.9856,0.0130289,21.9724,MaxIterations,yes,0,184,353259200,53446,219987200,0.218348,5.52904,8.03334,14.0543,60,7639
640x640,409600,CPU,0,8,90.141,0.0807614,90.0588,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
640x640,409600,GPU,0,8,29.4512,0.0788814,29.3716,MaxIterations,yes,0,76,589291392,40492,596633600,0.193201,3.38003,6.98144,10.8235,24,5785
