tool        mode        rc   vacuity       kernels   resident  summary
memcheck    cavity2d    0    non-vacuous   100326    3         ========= ERROR SUMMARY: 0 errors
memcheck    case3d      0    non-vacuous   30617     2         ========= ERROR SUMMARY: 0 errors
memcheck    gpusolver   0    non-vacuous   31376     2         ========= ERROR SUMMARY: 0 errors
memcheck    lifecycle   0    non-vacuous   68144     6         ========= ERROR SUMMARY: 0 errors
initcheck   cavity2d    0    non-vacuous   100326    3         ========= ERROR SUMMARY: 0 errors
initcheck   case3d      0    non-vacuous   30617     2         ========= ERROR SUMMARY: 0 errors
initcheck   gpusolver   0    non-vacuous   31376     2         ========= ERROR SUMMARY: 0 errors
initcheck   lifecycle   0    non-vacuous   68144     6         ========= ERROR SUMMARY: 0 errors
synccheck   cavity2d    0    non-vacuous   100326    3         ========= ERROR SUMMARY: 0 errors
synccheck   case3d      0    non-vacuous   30617     2         ========= ERROR SUMMARY: 0 errors
synccheck   gpusolver   0    non-vacuous   31376     2         ========= ERROR SUMMARY: 0 errors
synccheck   lifecycle   0    non-vacuous   68144     6         ========= ERROR SUMMARY: 0 errors
racecheck   cavity2d    0    non-vacuous   100326    3         ========= RACECHECK SUMMARY: 0 hazards displayed (0 errors, 0 warnings)
racecheck   case3d      0    non-vacuous   30617     2         ========= RACECHECK SUMMARY: 0 hazards displayed (0 errors, 0 warnings)
racecheck   gpusolver   0    non-vacuous   31376     2         ========= RACECHECK SUMMARY: 0 hazards displayed (0 errors, 0 warnings)
racecheck   lifecycle   0    non-vacuous   68144     6         ========= RACECHECK SUMMARY: 0 hazards displayed (0 errors, 0 warnings)
