case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
cavity2d,20x20,400,840,cpu,upwind,0,200,200,0.321801,3.4332e-05,0.165744,0.03271,0.000321485,0.00466428,0.0191146,0.0643428,0.0315101,0.000606997,0.00196575,0.000777281,0.221962,0.0970528,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,cpu,upwind,1,200,200,0.319361,3.0953e-05,0.164286,0.0320872,0.000313926,0.00479458,0.0191706,0.0643599,0.0310186,0.000600412,0.00189333,0.000793767,0.220185,0.0964471,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,cpu,upwind,2,200,200,0.317397,3.9181e-05,0.161684,0.031521,0.000324211,0.00466484,0.0185804,0.0663359,0.0306877,0.000616775,0.00202903,0.000862197,0.216558,0.0978569,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,cpu,upwind,3,200,200,0.312311,2.9047e-05,0.160597,0.031451,0.000352232,0.00454205,0.019263,0.0625323,0.0303268,0.000597966,0.00187297,0.000734938,0.215679,0.0939834,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,cpu,upwind,4,200,200,0.310162,3.0158e-05,0.158848,0.030988,0.00031389,0.00527431,0.0185217,0.062678,0.0302321,0.000589768,0.00193911,0.000735508,0.21378,0.093666,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,0,0,0,0,0,0,0,0,0,1351815168,0
cavity2d,20x20,400,840,gpu-pipe,upwind,0,200,200,4.85923,2.7257e-05,0.150879,1.5526,0.000572218,0.00465075,0.0188278,3.0999,0.0279971,0.000558963,0.00217596,0.00099733,0.203486,4.6525,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,28,2,127570,42016,131848,1351815168,4.65155
cavity2d,20x20,400,840,gpu-pipe,upwind,1,200,200,4.61866,2.4905e-05,0.151058,1.47901,0.000563577,0.00467818,0.0188596,2.93274,0.0279896,0.000560093,0.0021611,0.000969945,0.203709,4.41175,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,4.41084
cavity2d,20x20,400,840,gpu-pipe,upwind,2,200,200,6.56301,2.6559e-05,0.149138,2.13149,0.000593438,0.0046732,0.0188881,4.22649,0.0279659,0.000555171,0.00214838,0.000993473,0.201814,6.35798,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,6.35696
cavity2d,20x20,400,840,gpu-pipe,upwind,3,200,200,7.70776,2.4339e-05,0.152769,2.48205,0.000647039,0.0048787,0.0193889,5.01605,0.0279666,0.000555237,0.00227598,0.00109602,0.206205,7.49811,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,7.49705
cavity2d,20x20,400,840,gpu-pipe,upwind,4,200,200,7.58349,2.5024e-05,0.152081,2.41167,0.000623882,0.00541325,0.0189605,4.96278,0.028061,0.000558417,0.00219384,0.001068,0.205698,7.37445,MaxIterations,0,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,1804,13089920,42616,3086656,26,0,127570,42016,131824,1351815168,7.37342
cavity2d,20x20,400,840,gpu-disc,upwind,0,200,200,8.21727,0.0136016,0.637423,2.39086,0.00785993,0.00129397,0.00677152,4.90895,0.162607,0.0269995,0.031102,0.029121,0.842954,7.29981,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,2499,13595304,45420,20577856,371,0,138770,42016,2026988,1351815168,7.28609
cavity2d,20x20,400,840,gpu-disc,upwind,1,200,200,8.59253,0.00870174,0.649744,2.52824,0.00903099,0.00144357,0.0104203,5.1221,0.167496,0.0293466,0.0331103,0.0319682,0.867481,7.65034,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,2499,13595304,45420,20577856,371,0,138770,42016,2026988,1351815168,7.63443
cavity2d,20x20,400,840,gpu-disc,upwind,2,200,200,8.59007,0.00959823,0.666425,2.4895,0.00928675,0.00129247,0.00937165,5.13379,0.175283,0.0306245,0.0337307,0.0302497,0.892283,7.62329,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,2499,13595304,45420,20577856,371,0,138770,42016,2026988,1351815168,7.60762
cavity2d,20x20,400,840,gpu-disc,upwind,3,200,200,8.3815,0.0101473,0.660499,2.43157,0.00798213,0.00132527,0.00628235,5.00734,0.165295,0.0277224,0.0328952,0.0297525,0.869107,7.43891,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,2499,13595304,45420,20577856,371,0,138770,42016,2026988,1351815168,7.4227
cavity2d,20x20,400,840,gpu-disc,upwind,4,200,200,8.1947,0.0124917,0.632511,2.36819,0.00806804,0.00145602,0.00639431,4.91321,0.163776,0.0272939,0.0305661,0.0300081,0.839499,7.2814,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80497e-08,3340,7176,2499,13595304,45420,20577856,371,0,138770,42016,2026988,1351815168,7.26731
cavity2d,20x20,400,840,disc-only,upwind,0,200,200,0.941738,0.00798447,0.506424,0.0462808,0.00736963,0.000983467,0.109141,0.055998,0.135716,0.0258236,0.0303277,0.0152177,0.785458,0.102279,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,1497,5512736,3404,25548000,347,0,10200,0,1929052,1351815168,0
cavity2d,20x20,400,840,disc-only,upwind,1,200,200,0.748377,0.00812572,0.377429,0.0459113,0.00673542,0.00120776,0.088706,0.0569867,0.102092,0.0213673,0.0246495,0.0147116,0.597537,0.102898,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,1497,5512736,3404,25548000,347,0,10200,0,1929052,1351815168,0
cavity2d,20x20,400,840,disc-only,upwind,2,200,200,0.790246,0.00798637,0.387384,0.0489297,0.00686047,0.00106806,0.0971949,0.0579353,0.109455,0.0249132,0.0293107,0.0187403,0.626876,0.106865,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,1497,5512736,3404,25548000,347,0,10200,0,1929052,1351815168,0
cavity2d,20x20,400,840,disc-only,upwind,3,200,200,0.745087,0.00976398,0.365676,0.044664,0.00734666,0.000949597,0.089155,0.0574944,0.107258,0.0218878,0.0258668,0.0146106,0.592273,0.102158,MaxIterations,1,1,0,1.1405e-05,1.11106e-05,0.00029653,6.80774e-08,3338,7166,1497,5512736,3404,25548000,347,0,10200,0,1929052,1351815168,0
