src/discretization/NonOrthogonalDiffusion.cpp: code SAME, includes SAME-SET, comment words SAME
src/mesh/Mesh.cpp: code SAME, includes SAME-SET, comment words SAME
src/mesh/MeshGeometry.cpp: code SAME, includes SAME-SET, comment words SAME
src/mesh/MeshMotion.cpp: code SAME, includes SAME-SET, comment words SAME
src/pressure_velocity/AlePISO.cpp: code SAME, includes SAME-SET, comment words SAME
src/pressure_velocity/PISO.cpp: code SAME, includes SAME-SET, comment words SAME
tests/integration/case/test_multiblock_production_case.cpp: code SAME, includes SAME-SET, comment words SAME
tests/integration/case/test_structured_quad_production_case.cpp: code SAME, includes SAME-SET, comment words SAME
tests/integration/compressible/test_low_mach_regression.cpp: code SAME, includes SAME-SET, comment words SAME
tests/integration/poiseuille/PoiseuilleValidationUtils.cpp: code SAME, includes SAME-SET, comment words SAME
tests/integration/poiseuille/test_poiseuille_production_validation.cpp: code SAME, includes SAME-SET, comment words SAME
tests/integration/thermal/test_natural_convection_validation.cpp: code SAME, includes SAME-SET, comment words SAME
tests/solver/piso/test_ale_piso.cpp: code SAME, includes SAME-SET, comment words SAME
tests/support/BoundaryFluxProbe.hpp: code SAME, includes SAME-SET, comment words SAME
tests/support/MeshMotionCases.hpp: code SAME, includes SAME-SET, comment words SAME
tests/unit/discretization/test_ale_operators.cpp: code SAME, includes SAME-SET, comment words SAME
tests/unit/mesh/test_mesh_motion.cpp: code SAME, includes SAME-SET, comment words SAME
tests/unit/thermal/test_thermal_boundary_consistency.cpp: code SAME, includes SAME-SET, comment words SAME
files with any difference: 0
exit 0
