# P12-GRAD-002 A1 diagnostics (base library, sha256 eaadaa635e70adb1); 2026-09-16T03:47:56Z
# P12-GRAD-002 diagnostics
F 2D 16^2 L=1 translated small       h 6.250e-02 | const-field |grad| 1.421e-14 (floor eps*phi/h 8.882e-15) | closure/V 0.000e+00 | volume err 2.842e-14 | centroid err/h 2.202e-13
F 2D 16^2 L=1e-3 translated          h 6.250e-05 | const-field |grad| 1.637e-11 (floor eps*phi/h 8.882e-12) | closure/V 0.000e+00 | volume err 2.986e-14 | centroid err/h 2.237e-13
F 2D 16^2 L=1e3 translated           h 6.250e+01 | const-field |grad| 4.907e-18 (floor eps*phi/h 8.882e-18) | closure/V 0.000e+00 | volume err 0.000e+00 | centroid err/h 0.000e+00
F 2D 16^2 translated LARGE           h 6.250e-02 | const-field |grad| 0.000e+00 (floor eps*phi/h 8.882e-15) | closure/V 0.000e+00 | volume err 5.960e-08 | centroid err/h 5.030e-04
F 2D 256^2 translated LARGE          h 3.906e-03 | const-field |grad| 3.595e-13 (floor eps*phi/h 1.421e-13) | closure/V 0.000e+00 | volume err 1.526e-05 | centroid err/h 4.119e+00
F 2D 256^2 translated small          h 3.906e-03 | const-field |grad| 1.705e-13 (floor eps*phi/h 1.421e-13) | closure/V 0.000e+00 | volume err 1.091e-11 | centroid err/h 1.008e-09
# S sweep: continuity sweep (axial quadratic field, exact boundary values)
S sweep      m_f 0.000e+00 | error 6.280e-16 boundary 6.280e-16 | (reference member) 
S sweep      m_f 5.116e-13 | error 7.813e-03 boundary 7.813e-03 | d_error 7.813e-03 bound 6.116e-12 quotient 1.527e+10 FAIL
S sweep      m_f 5.001e-11 | error 7.813e-03 boundary 7.813e-03 | d_error 3.886e-15 bound 4.960e-10 quotient 7.851e-05 PASS
S sweep      m_f 5.000e-09 | error 7.813e-03 boundary 7.813e-03 | d_error 2.220e-16 bound 4.950e-08 quotient 4.486e-08 PASS
S sweep      m_f 5.000e-07 | error 7.813e-03 boundary 7.813e-03 | d_error 5.372e-15 bound 4.950e-06 quotient 1.085e-08 PASS
S sweep      m_f 5.000e-06 | error 7.813e-03 boundary 7.813e-03 | d_error 6.323e-13 bound 4.500e-05 quotient 1.405e-07 PASS
S sweep      m_f 5.000e-05 | error 7.813e-03 boundary 7.813e-03 | d_error 6.309e-11 bound 4.500e-04 quotient 1.402e-06 PASS
S sweep      m_f 5.000e-04 | error 7.813e-03 boundary 7.813e-03 | d_error 6.311e-09 bound 4.500e-03 quotient 1.402e-05 PASS
S sweep      m_f 5.000e-03 | error 7.813e-03 boundary 7.813e-03 | d_error 6.324e-07 bound 4.500e-02 quotient 1.405e-04 PASS
exit 0
