# P12-GRAD-002-DRIFT-001 drift_probe  tree=nodiff
# libcfdcore.a 719d0fc7ae48c027756430a8473a9b47ef3f516167aa7eb7319fa3eb468c50fe
# probe binary 96524f57abc91d71a4f439e863f1d02ad415e93555615609bb96d9f117374955
# case inputs  c1d4c750b66cc7ec (poiseuille_distorted) 2b5d1c097786ef6b (curved_channel_multiblock)
# args: mb 8 20 base hist 40000 1000
# start 2026-09-17T09:50:20Z
# case mb 8x20 variant base mode hist; cells 480
# settings: tol u 2.0e-05 p 5.0e-04 c 1.0e-06 | alpha 0.70/0.30 | nonOrth 1 | grad GG | conv 2 | flux automatic | mom 1 rel 1e-08 | pres 0 rel 1e-08
# exact G -1.8282207204

  residual history (value at the iteration, and the window minimum/maximum since the previous row)
     iter          u          v          p       cont     global |      u min      u max |      p min      p max
        1  0.000e+00  9.852e-01  2.413e-01  9.159e-11  3.571e-10 |  0.000e+00  0.000e+00 |  2.413e-01  2.413e-01
        2  2.416e+00  2.385e+00  1.393e-01  5.261e-11  8.301e-11 |  2.416e+00  2.416e+00 |  1.393e-01  1.393e-01
        3  5.213e-01  4.823e-01  5.766e-02  2.543e-11  1.862e-11 |  5.213e-01  5.213e-01 |  5.766e-02  5.766e-02
     1000  2.211e-05  2.802e-05  2.214e-04  4.051e-12  1.994e-12 |  2.211e-05  2.335e-01 |  2.214e-04  4.162e-02
     2000  9.142e-06  1.250e-05  1.297e-04  4.242e-12  2.076e-11 |  9.142e-06  2.209e-05 |  1.297e-04  2.212e-04
     3000  5.201e-06  7.806e-06  9.526e-05  4.067e-12  4.461e-12 |  5.201e-06  9.135e-06 |  9.526e-05  1.297e-04
     4000  3.693e-06  5.414e-06  7.748e-05  3.666e-12  2.511e-12 |  3.693e-06  5.199e-06 |  7.748e-05  9.523e-05
     5000  2.990e-06  3.929e-06  6.701e-05  4.227e-12  1.023e-12 |  2.990e-06  3.692e-06 |  6.701e-05  7.747e-05
     6000  2.596e-06  3.044e-06  6.032e-05  4.345e-12  2.137e-12 |  2.596e-06  2.989e-06 |  6.032e-05  6.700e-05
     7000  2.353e-06  2.534e-06  5.574e-05  3.624e-12  7.214e-13 |  2.353e-06  2.596e-06 |  5.574e-05  6.032e-05
     8000  2.199e-06  2.237e-06  5.227e-05  3.813e-12  7.738e-13 |  2.199e-06  2.353e-06 |  5.227e-05  5.574e-05
     9000  2.083e-06  2.054e-06  4.941e-05  3.798e-12  2.612e-13 |  2.083e-06  2.199e-06 |  4.941e-05  5.227e-05
    10000  1.985e-06  1.930e-06  4.689e-05  3.861e-12  1.100e-12 |  1.985e-06  2.083e-06 |  4.689e-05  4.941e-05
    11000  1.896e-06  1.830e-06  4.459e-05  3.810e-12  8.593e-13 |  1.896e-06  1.985e-06 |  4.459e-05  4.689e-05
    12000  1.811e-06  1.743e-06  4.245e-05  3.710e-12  8.634e-13 |  1.811e-06  1.896e-06 |  4.245e-05  4.459e-05
    13000  1.730e-06  1.662e-06  4.043e-05  4.534e-12  1.209e-12 |  1.730e-06  1.811e-06 |  4.043e-05  4.245e-05
    14000  1.652e-06  1.586e-06  3.851e-05  3.432e-12  7.396e-13 |  1.652e-06  1.730e-06 |  3.851e-05  4.043e-05
    15000  1.573e-06  1.514e-06  3.669e-05  3.975e-12  3.420e-13 |  1.573e-06  1.652e-06 |  3.669e-05  3.851e-05
    16000  1.498e-06  1.447e-06  3.496e-05  3.751e-12  3.351e-13 |  1.498e-06  1.573e-06 |  3.496e-05  3.669e-05
    17000  1.427e-06  1.385e-06  3.331e-05  3.590e-12  3.120e-13 |  1.427e-06  1.498e-06 |  3.331e-05  3.496e-05
    18000  1.361e-06  1.322e-06  3.175e-05  3.897e-12  8.277e-14 |  1.361e-06  1.427e-06 |  3.175e-05  3.331e-05
    19000  1.297e-06  1.261e-06  3.025e-05  3.896e-12  7.494e-14 |  1.297e-06  1.361e-06 |  3.025e-05  3.174e-05
    20000  1.235e-06  1.204e-06  2.882e-05  3.839e-12  2.137e-13 |  1.235e-06  1.297e-06 |  2.882e-05  3.025e-05
    21000  1.176e-06  1.149e-06  2.747e-05  4.098e-12  6.364e-13 |  1.176e-06  1.235e-06 |  2.747e-05  2.882e-05
    22000  1.121e-06  1.095e-06  2.618e-05  4.488e-12  3.723e-12 |  1.121e-06  1.176e-06 |  2.618e-05  2.747e-05
    23000  1.068e-06  1.044e-06  2.495e-05  4.519e-12  3.676e-12 |  1.068e-06  1.121e-06 |  2.495e-05  2.618e-05
    24000  1.018e-06  9.953e-07  2.378e-05  4.064e-12  3.351e-12 |  1.018e-06  1.068e-06 |  2.378e-05  2.495e-05
    25000  9.710e-07  9.507e-07  2.266e-05  3.909e-12  3.181e-12 |  9.710e-07  1.018e-06 |  2.266e-05  2.378e-05
    26000  9.257e-07  9.050e-07  2.159e-05  3.884e-12  2.968e-12 |  9.257e-07  9.710e-07 |  2.159e-05  2.266e-05
    27000  8.827e-07  8.620e-07  2.058e-05  3.551e-12  2.735e-12 |  8.827e-07  9.257e-07 |  2.058e-05  2.159e-05
    28000  8.413e-07  8.213e-07  1.961e-05  3.388e-12  2.609e-12 |  8.413e-07  8.827e-07 |  1.961e-05  2.058e-05
    29000  8.018e-07  7.827e-07  1.869e-05  4.530e-12  5.270e-12 |  8.018e-07  8.413e-07 |  1.869e-05  1.961e-05
    30000  7.641e-07  7.459e-07  1.781e-05  4.348e-12  5.033e-12 |  7.641e-07  8.017e-07 |  1.781e-05  1.868e-05
    31000  7.281e-07  7.108e-07  1.697e-05  4.128e-12  4.795e-12 |  7.281e-07  7.640e-07 |  1.697e-05  1.781e-05
    32000  6.944e-07  6.751e-07  1.617e-05  3.903e-12  4.557e-12 |  6.944e-07  7.281e-07 |  1.617e-05  1.697e-05
    33000  6.619e-07  6.429e-07  1.541e-05  3.730e-12  4.342e-12 |  6.619e-07  6.944e-07 |  1.541e-05  1.617e-05
    34000  6.307e-07  6.124e-07  1.468e-05  4.506e-12  4.461e-12 |  6.307e-07  6.619e-07 |  1.468e-05  1.540e-05
    35000  6.010e-07  5.834e-07  1.399e-05  4.291e-12  4.261e-12 |  6.010e-07  6.306e-07 |  1.399e-05  1.468e-05
    36000  5.726e-07  5.559e-07  1.333e-05  4.090e-12  4.059e-12 |  5.726e-07  6.009e-07 |  1.333e-05  1.399e-05
    37000  5.456e-07  5.296e-07  1.270e-05  3.897e-12  3.869e-12 |  5.456e-07  5.726e-07 |  1.270e-05  1.333e-05
    38000  5.207e-07  5.049e-07  1.210e-05  3.710e-12  3.630e-12 |  5.207e-07  5.456e-07 |  1.210e-05  1.270e-05
    39000  5.018e-07  4.794e-07  1.153e-05  4.462e-12  1.373e-12 |  5.018e-07  5.207e-07 |  1.153e-05  1.210e-05
    40000  4.800e-07  4.556e-07  1.099e-05  4.252e-12  1.354e-12 |  4.800e-07  5.018e-07 |  1.099e-05  1.153e-05

  final state
    iters status            velocity L2                G     q signed err     cb(i+j)       cb(i)       cb(j)     fit rms     u res     v res     p res      cont      sec
    40000 MaxIterations 2.040791481e-02    -1.8167885979 +1.143212251e-02  +3.581e-02  +3.608e-16  +2.534e-01  2.6208e-01  4.80e-07  4.56e-07  1.10e-05  4.25e-12    463.8
exit 0
# end 2026-09-17T09:58:04Z
