# P12-GRAD-002-DRIFT-001 drift_probe  tree=pregrad
# libcfdcore.a eaadaa635e70adb180703875b4d8916fb0baee6277feac08c98c206a85330d6e
# probe binary 207426f0298e635a069d21c236e20a842b5c0f09fb1ac7a76a81b7cfbe991640
# case inputs  c1d4c750b66cc7ec (poiseuille_distorted) 2b5d1c097786ef6b (curved_channel_multiblock)
# args: mb 8 20 base hist 40000 1000
# start 2026-09-17T09:50:20Z
# case mb 8x20 variant base mode hist; cells 480
# settings: tol u 2.0e-05 p 5.0e-04 c 1.0e-06 | alpha 0.70/0.30 | nonOrth 1 | grad GG | conv 2 | flux automatic | mom 1 rel 1e-08 | pres 0 rel 1e-08
# exact G -1.8282207204

  residual history (value at the iteration, and the window minimum/maximum since the previous row)
     iter          u          v          p       cont     global |      u min      u max |      p min      p max
        1  0.000e+00  9.852e-01  2.413e-01  9.159e-11  3.571e-10 |  0.000e+00  0.000e+00 |  2.413e-01  2.413e-01
        2  2.415e+00  2.384e+00  1.385e-01  5.162e-11  1.169e-10 |  2.415e+00  2.415e+00 |  1.385e-01  1.385e-01
        3  5.238e-01  4.762e-01  5.280e-02  2.018e-11  3.853e-11 |  5.238e-01  5.238e-01 |  5.280e-02  5.280e-02
     1000  1.130e-05  1.430e-05  1.116e-04  3.968e-12  1.635e-10 |  1.130e-05  2.352e-01 |  1.116e-04  3.730e-02
     2000  4.435e-06  6.277e-06  6.559e-05  4.523e-12  6.410e-10 |  4.435e-06  1.128e-05 |  6.559e-05  1.115e-04
     3000  2.450e-06  3.836e-06  4.867e-05  4.292e-12  4.099e-10 |  2.450e-06  4.432e-06 |  4.867e-05  6.556e-05
     4000  1.698e-06  2.601e-06  4.000e-05  4.391e-12  1.146e-11 |  1.698e-06  2.449e-06 |  4.000e-05  4.866e-05
     5000  1.332e-06  1.867e-06  3.494e-05  4.365e-12  1.908e-10 |  1.332e-06  1.698e-06 |  3.494e-05  4.000e-05
     6000  1.124e-06  1.409e-06  3.173e-05  4.467e-12  2.886e-10 |  1.124e-06  1.332e-06 |  3.173e-05  3.494e-05
     7000  9.962e-07  1.129e-06  2.949e-05  4.462e-12  2.108e-10 |  9.962e-07  1.124e-06 |  2.949e-05  3.173e-05
     8000  9.128e-07  9.628e-07  2.777e-05  4.554e-12  2.908e-10 |  9.128e-07  9.961e-07 |  2.777e-05  2.949e-05
     9000  8.524e-07  8.618e-07  2.633e-05  4.397e-12  4.143e-10 |  8.524e-07  9.127e-07 |  2.633e-05  2.777e-05
    10000  8.045e-07  7.962e-07  2.505e-05  4.215e-12  3.455e-10 |  8.045e-07  8.524e-07 |  2.505e-05  2.633e-05
    11000  7.637e-07  7.486e-07  2.387e-05  4.266e-12  2.978e-10 |  7.637e-07  8.045e-07 |  2.387e-05  2.505e-05
    12000  7.271e-07  7.101e-07  2.277e-05  4.497e-12  3.313e-10 |  7.271e-07  7.637e-07 |  2.277e-05  2.387e-05
    13000  6.933e-07  6.764e-07  2.173e-05  4.284e-12  2.279e-10 |  6.933e-07  7.271e-07 |  2.173e-05  2.277e-05
    14000  6.621e-07  6.431e-07  2.075e-05  4.465e-12  1.262e-10 |  6.621e-07  6.933e-07 |  2.075e-05  2.173e-05
    15000  6.329e-07  6.130e-07  1.980e-05  4.555e-12  2.110e-11 |  6.329e-07  6.621e-07 |  1.980e-05  2.075e-05
    16000  6.045e-07  5.850e-07  1.891e-05  4.061e-12  1.914e-10 |  6.045e-07  6.329e-07 |  1.891e-05  1.980e-05
    17000  5.863e-07  5.557e-07  1.805e-05  3.927e-12  2.469e-10 |  5.821e-07  6.045e-07 |  1.805e-05  1.891e-05
