# P12-GRAD-002-DRIFT-001 drift_probe  tree=repo
# libcfdcore.a 143a1dda0680bc1d481a0360095ca7c643ffc9e2a2dc53bbd1d55d5a8202132a
# probe binary 4ed91767ce897d53f215165ffa7e614462fb3480b0f3fd7461d0dbb7943ba547
# case inputs  c1d4c750b66cc7ec (poiseuille_distorted) 2b5d1c097786ef6b (curved_channel_multiblock)
# args: mb 8 20 base hist 40000 1000
# start 2026-09-17T09:50:20Z
# case mb 8x20 variant base mode hist; cells 480
# settings: tol u 2.0e-05 p 5.0e-04 c 1.0e-06 | alpha 0.70/0.30 | nonOrth 1 | grad GG | conv 2 | flux automatic | mom 1 rel 1e-08 | pres 0 rel 1e-08
# exact G -1.8282207204

  residual history (value at the iteration, and the window minimum/maximum since the previous row)
     iter          u          v          p       cont     global |      u min      u max |      p min      p max
        1  0.000e+00  1.197e+00  2.466e-01  8.621e-11  2.109e-10 |  0.000e+00  0.000e+00 |  2.466e-01  2.466e-01
        2  2.442e+00  2.434e+00  1.422e-01  5.983e-11  2.701e-10 |  2.442e+00  2.442e+00 |  1.422e-01  1.422e-01
        3  5.375e-01  5.003e-01  5.877e-02  2.468e-11  1.371e-11 |  5.375e-01  5.375e-01 |  5.877e-02  5.877e-02
     1000  2.644e-05  3.339e-05  2.679e-04  3.610e-12  1.749e-11 |  2.644e-05  2.285e-01 |  2.679e-04  4.263e-02
     2000  1.095e-05  1.503e-05  1.579e-04  3.716e-12  4.126e-12 |  1.095e-05  2.641e-05 |  1.579e-04  2.677e-04
     3000  6.390e-06  9.392e-06  1.160e-04  3.979e-12  8.942e-12 |  6.390e-06  1.094e-05 |  1.160e-04  1.579e-04
     4000  4.569e-06  6.412e-06  9.410e-05  3.278e-12  2.533e-12 |  4.569e-06  6.387e-06 |  9.410e-05  1.160e-04
     5000  3.658e-06  4.656e-06  8.126e-05  4.358e-12  3.363e-13 |  3.658e-06  4.568e-06 |  8.126e-05  9.408e-05
     6000  3.132e-06  3.659e-06  7.326e-05  4.357e-12  3.991e-13 |  3.132e-06  3.657e-06 |  7.326e-05  8.125e-05
     7000  2.841e-06  3.056e-06  6.778e-05  3.495e-12  2.414e-12 |  2.841e-06  3.131e-06 |  6.778e-05  7.325e-05
     8000  2.649e-06  2.705e-06  6.360e-05  3.561e-12  2.855e-12 |  2.649e-06  2.841e-06 |  6.360e-05  6.777e-05
     9000  2.505e-06  2.487e-06  6.012e-05  3.592e-12  3.052e-12 |  2.505e-06  2.649e-06 |  6.012e-05  6.360e-05
    10000  2.384e-06  2.334e-06  5.704e-05  3.575e-12  3.115e-12 |  2.384e-06  2.505e-06 |  5.704e-05  6.012e-05
    11000  2.275e-06  2.211e-06  5.422e-05  3.502e-12  3.102e-12 |  2.275e-06  2.384e-06 |  5.422e-05  5.704e-05
    12000  2.171e-06  2.105e-06  5.159e-05  3.424e-12  3.041e-12 |  2.171e-06  2.275e-06 |  5.159e-05  5.422e-05
    13000  2.078e-06  2.005e-06  4.912e-05  3.302e-12  3.245e-12 |  2.078e-06  2.171e-06 |  4.912e-05  5.159e-05
    14000  1.983e-06  1.911e-06  4.678e-05  3.168e-12  3.136e-12 |  1.983e-06  2.077e-06 |  4.678e-05  4.912e-05
    15000  1.892e-06  1.822e-06  4.455e-05  4.395e-12  4.429e-13 |  1.892e-06  1.983e-06 |  4.455e-05  4.677e-05
    16000  1.804e-06  1.737e-06  4.243e-05  4.230e-12  5.143e-13 |  1.804e-06  1.891e-06 |  4.243e-05  4.455e-05
    17000  1.718e-06  1.659e-06  4.041e-05  4.102e-12  6.219e-13 |  1.718e-06  1.803e-06 |  4.041e-05  4.243e-05
    18000  1.636e-06  1.582e-06  3.850e-05  3.852e-12  4.128e-13 |  1.636e-06  1.718e-06 |  3.850e-05  4.041e-05
    19000  1.559e-06  1.508e-06  3.667e-05  3.644e-12  4.138e-13 |  1.559e-06  1.636e-06 |  3.667e-05  3.850e-05
    20000  1.484e-06  1.438e-06  3.492e-05  4.558e-12  9.019e-13 |  1.484e-06  1.558e-06 |  3.492e-05  3.667e-05
    21000  1.414e-06  1.370e-06  3.326e-05  4.181e-12  8.685e-13 |  1.414e-06  1.484e-06 |  3.326e-05  3.492e-05
    22000  1.346e-06  1.305e-06  3.168e-05  4.142e-12  8.402e-13 |  1.346e-06  1.414e-06 |  3.168e-05  3.326e-05
    23000  1.282e-06  1.243e-06  3.017e-05  3.945e-12  8.251e-13 |  1.282e-06  1.346e-06 |  3.017e-05  3.168e-05
    24000  1.221e-06  1.188e-06  2.874e-05  3.679e-12  5.964e-13 |  1.221e-06  1.282e-06 |  2.874e-05  3.017e-05
    25000  1.162e-06  1.133e-06  2.737e-05  3.974e-12  3.819e-13 |  1.162e-06  1.221e-06 |  2.737e-05  2.874e-05
    26000  1.107e-06  1.079e-06  2.607e-05  4.007e-12  5.622e-13 |  1.107e-06  1.162e-06 |  2.607e-05  2.737e-05
    27000  1.054e-06  1.028e-06  2.483e-05  3.788e-12  5.034e-13 |  1.054e-06  1.107e-06 |  2.483e-05  2.607e-05
    28000  1.004e-06  9.794e-07  2.364e-05  3.401e-12  2.958e-13 |  1.004e-06  1.054e-06 |  2.364e-05  2.483e-05
    29000  9.560e-07  9.328e-07  2.252e-05  3.476e-12  4.904e-13 |  9.560e-07  1.004e-06 |  2.252e-05  2.364e-05
