# P12-GRAD-002-DRIFT-001 drift_probe  tree=nodiff
# libcfdcore.a 719d0fc7ae48c027756430a8473a9b47ef3f516167aa7eb7319fa3eb468c50fe
# probe binary 96524f57abc91d71a4f439e863f1d02ad415e93555615609bb96d9f117374955
# case inputs  c1d4c750b66cc7ec (poiseuille_distorted) 2b5d1c097786ef6b (curved_channel_multiblock)
# args: sq 64 8 base hist 40000 1000
# start 2026-09-17T09:50:20Z
# case sq 64x8 variant base mode hist; cells 512
# settings: tol u 2.0e-05 p 5.0e-04 c 1.0e-06 | alpha 0.70/0.30 | nonOrth 1 | grad GG | conv 2 | flux automatic | mom 1 rel 1e-08 | pres 0 rel 1e-08
# exact dp/dx -1.2000000000

  residual history (value at the iteration, and the window minimum/maximum since the previous row)
     iter          u          v          p       cont     global |      u min      u max |      p min      p max
        1  9.202e-01  0.000e+00  2.434e-01  9.403e-11  6.475e-11 |  9.202e-01  9.202e-01 |  2.434e-01  2.434e-01
        2  3.364e+00  5.823e-01  5.014e-01  1.846e-10  8.520e-10 |  3.364e+00  3.364e+00 |  5.014e-01  5.014e-01
        3  8.779e-01  8.789e-01  2.476e-01  1.014e-10  1.002e-10 |  8.779e-01  8.779e-01 |  2.476e-01  2.476e-01
     1000  4.392e-05  1.326e-05  4.834e-04  4.123e-12  5.207e-12 |  4.392e-05  6.435e-01 |  4.834e-04  1.238e-01
     2000  1.983e-05  1.063e-05  3.757e-04  3.558e-12  7.324e-13 |  1.983e-05  4.387e-05 |  3.757e-04  4.832e-04
     3000  1.508e-05  9.495e-06  3.295e-04  4.303e-12  6.372e-13 |  1.508e-05  1.982e-05 |  3.295e-04  3.756e-04
     4000  1.349e-05  8.486e-06  2.943e-04  3.695e-12  5.373e-13 |  1.349e-05  1.508e-05 |  2.943e-04  3.295e-04
     5000  1.221e-05  7.599e-06  2.635e-04  4.394e-12  1.614e-12 |  1.221e-05  1.349e-05 |  2.635e-04  2.943e-04
     6000  1.099e-05  6.652e-06  2.356e-04  3.968e-12  1.096e-12 |  1.099e-05  1.221e-05 |  2.356e-04  2.635e-04
     7000  9.746e-06  5.919e-06  2.102e-04  3.547e-12  1.249e-12 |  9.746e-06  1.099e-05 |  2.102e-04  2.355e-04
     8000  8.607e-06  5.189e-06  1.872e-04  4.014e-12  1.622e-12 |  8.607e-06  9.744e-06 |  1.872e-04  2.101e-04
     9000  7.603e-06  4.664e-06  1.667e-04  3.616e-12  1.582e-12 |  7.603e-06  8.606e-06 |  1.667e-04  1.872e-04
    10000  6.719e-06  4.172e-06  1.484e-04  4.287e-12  1.216e-12 |  6.719e-06  7.602e-06 |  1.484e-04  1.667e-04
    11000  5.984e-06  3.746e-06  1.321e-04  3.836e-12  9.861e-13 |  5.984e-06  6.718e-06 |  1.321e-04  1.484e-04
    12000  5.302e-06  3.326e-06  1.175e-04  3.441e-12  8.869e-13 |  5.302e-06  5.983e-06 |  1.175e-04  1.320e-04
    13000  4.705e-06  2.981e-06  1.046e-04  4.026e-12  1.117e-12 |  4.705e-06  5.301e-06 |  1.046e-04  1.175e-04
    14000  4.189e-06  2.654e-06  9.309e-05  3.643e-12  1.218e-12 |  4.189e-06  4.705e-06 |  9.309e-05  1.046e-04
    15000  3.725e-06  2.366e-06  8.284e-05  3.986e-12  2.363e-12 |  3.725e-06  4.188e-06 |  8.284e-05  9.308e-05
    16000  3.316e-06  2.114e-06  7.378e-05  4.181e-12  1.106e-12 |  3.316e-06  3.725e-06 |  7.378e-05  8.283e-05
    17000  2.954e-06  1.884e-06  6.574e-05  3.688e-12  9.493e-13 |  2.954e-06  3.316e-06 |  6.574e-05  7.377e-05
    18000  2.631e-06  1.679e-06  5.860e-05  3.289e-12  8.498e-13 |  2.631e-06  2.953e-06 |  5.860e-05  6.573e-05
    19000  2.335e-06  1.506e-06  5.225e-05  4.196e-12  3.974e-12 |  2.335e-06  2.630e-06 |  5.225e-05  5.860e-05
    20000  2.081e-06  1.343e-06  4.658e-05  3.744e-12  3.532e-12 |  2.081e-06  2.334e-06 |  4.658e-05  5.225e-05
    21000  1.850e-06  1.197e-06  4.152e-05  4.222e-12  1.259e-12 |  1.850e-06  2.081e-06 |  4.152e-05  4.658e-05
    22000  1.648e-06  1.066e-06  3.699e-05  3.762e-12  1.127e-12 |  1.648e-06  1.850e-06 |  3.699e-05  4.151e-05
    23000  1.461e-06  9.525e-07  3.296e-05  4.298e-12  2.291e-12 |  1.461e-06  1.648e-06 |  3.296e-05  3.699e-05
    24000  1.301e-06  8.477e-07  2.937e-05  3.834e-12  2.068e-12 |  1.301e-06  1.460e-06 |  2.937e-05  3.296e-05
    25000  1.159e-06  7.557e-07  2.617e-05  3.393e-12  1.775e-12 |  1.159e-06  1.301e-06 |  2.617e-05  2.937e-05
    26000  1.026e-06  6.768e-07  2.332e-05  2.998e-12  1.601e-12 |  1.026e-06  1.159e-06 |  2.332e-05  2.617e-05
    27000  9.138e-07  6.030e-07  2.078e-05  4.198e-12  7.110e-13 |  9.138e-07  1.026e-06 |  2.078e-05  2.332e-05
    28000  8.161e-07  5.353e-07  1.852e-05  3.728e-12  5.763e-13 |  8.161e-07  9.136e-07 |  1.852e-05  2.078e-05
    29000  7.274e-07  4.771e-07  1.651e-05  4.266e-12  6.653e-12 |  7.274e-07  8.160e-07 |  1.651e-05  1.852e-05
    30000  6.484e-07  4.249e-07  1.471e-05  3.790e-12  5.879e-12 |  6.484e-07  7.273e-07 |  1.471e-05  1.650e-05
    31000  5.778e-07  3.785e-07  1.311e-05  4.365e-12  3.422e-12 |  5.778e-07  6.483e-07 |  1.311e-05  1.471e-05
    32000  5.149e-07  3.373e-07  1.168e-05  3.885e-12  3.317e-12 |  5.149e-07  5.777e-07 |  1.168e-05  1.311e-05
    33000  4.585e-07  3.007e-07  1.041e-05  3.462e-12  2.635e-12 |  4.585e-07  5.148e-07 |  1.041e-05  1.168e-05
    34000  4.088e-07  2.678e-07  9.278e-06  3.078e-12  2.336e-12 |  4.088e-07  4.585e-07 |  9.278e-06  1.041e-05
    35000  3.643e-07  2.387e-07  8.267e-06  2.743e-12  2.080e-12 |  3.643e-07  4.088e-07 |  8.267e-06  9.277e-06
    36000  3.246e-07  2.127e-07  7.367e-06  4.408e-12  1.986e-12 |  3.246e-07  3.642e-07 |  7.367e-06  8.266e-06
    37000  2.893e-07  1.895e-07  6.565e-06  3.926e-12  1.760e-12 |  2.893e-07  3.246e-07 |  6.565e-06  7.366e-06
    38000  2.581e-07  1.686e-07  5.849e-06  4.235e-12  5.430e-12 |  2.581e-07  2.892e-07 |  5.849e-06  6.564e-06
    39000  2.300e-07  1.502e-07  5.212e-06  3.773e-12  4.841e-12 |  2.300e-07  2.580e-07 |  5.212e-06  5.849e-06
    40000  2.049e-07  1.338e-07  4.644e-06  3.362e-12  4.316e-12 |  2.049e-07  2.299e-07 |  4.644e-06  5.212e-06

  final state
    iters status            velocity L2            dp/dx     q signed err     cb(i+j)       cb(i)       cb(j)     fit rms     u res     v res     p res      cont      sec
    40000 MaxIterations 1.803285528e-02    -1.1719989603 +2.800103966e-02  -1.098e-02  +7.352e-01  +5.746e-04  7.4064e-01  2.05e-07  1.34e-07  4.64e-06  3.36e-12    492.5
exit 0
# end 2026-09-17T09:58:32Z
