# P12-GRAD-002-DRIFT-001 drift_probe  tree=pregrad
# libcfdcore.a eaadaa635e70adb180703875b4d8916fb0baee6277feac08c98c206a85330d6e
# probe binary 207426f0298e635a069d21c236e20a842b5c0f09fb1ac7a76a81b7cfbe991640
# case inputs  c1d4c750b66cc7ec (poiseuille_distorted) 2b5d1c097786ef6b (curved_channel_multiblock)
# args: sq 64 8 base hist 40000 1000
# start 2026-09-17T09:50:20Z
# case sq 64x8 variant base mode hist; cells 512
# settings: tol u 2.0e-05 p 5.0e-04 c 1.0e-06 | alpha 0.70/0.30 | nonOrth 1 | grad GG | conv 2 | flux automatic | mom 1 rel 1e-08 | pres 0 rel 1e-08
# exact dp/dx -1.2000000000

  residual history (value at the iteration, and the window minimum/maximum since the previous row)
     iter          u          v          p       cont     global |      u min      u max |      p min      p max
        1  9.202e-01  0.000e+00  2.434e-01  9.403e-11  6.475e-11 |  9.202e-01  9.202e-01 |  2.434e-01  2.434e-01
        2  3.363e+00  5.700e-01  5.208e-01  1.873e-10  7.740e-10 |  3.363e+00  3.363e+00 |  5.208e-01  5.208e-01
        3  8.615e-01  8.724e-01  2.532e-01  1.035e-10  2.369e-10 |  8.615e-01  8.615e-01 |  2.532e-01  2.532e-01
     1000  2.149e-05  6.154e-06  2.064e-04  4.100e-12  2.362e-10 |  2.149e-05  6.589e-01 |  2.064e-04  1.278e-01
     2000  1.073e-05  4.339e-06  1.470e-04  3.567e-12  1.116e-10 |  1.073e-05  2.147e-05 |  1.470e-04  2.063e-04
     3000  7.457e-06  3.390e-06  1.195e-04  4.202e-12  6.986e-12 |  7.457e-06  1.073e-05 |  1.195e-04  1.469e-04
     4000  5.728e-06  2.829e-06  1.019e-04  4.318e-12  9.342e-13 |  5.728e-06  7.455e-06 |  1.019e-04  1.195e-04
     5000  4.631e-06  2.440e-06  8.877e-05  4.409e-12  3.010e-12 |  4.631e-06  5.727e-06 |  8.877e-05  1.019e-04
     6000  3.879e-06  2.153e-06  7.831e-05  4.191e-12  8.630e-11 |  3.879e-06  4.630e-06 |  7.831e-05  8.876e-05
     7000  3.330e-06  1.907e-06  6.954e-05  4.378e-12  1.231e-10 |  3.330e-06  3.878e-06 |  6.954e-05  7.830e-05
     8000  2.908e-06  1.691e-06  6.198e-05  4.379e-12  1.591e-10 |  2.908e-06  3.330e-06 |  6.198e-05  6.953e-05
     9000  2.564e-06  1.516e-06  5.535e-05  4.363e-12  2.046e-10 |  2.564e-06  2.908e-06 |  5.535e-05  6.197e-05
    10000  2.282e-06  1.360e-06  4.954e-05  4.256e-12  2.542e-10 |  2.282e-06  2.563e-06 |  4.954e-05  5.535e-05
    11000  2.035e-06  1.223e-06  4.438e-05  4.411e-12  4.100e-11 |  2.035e-06  2.282e-06 |  4.438e-05  4.953e-05
    12000  1.826e-06  1.089e-06  3.978e-05  4.295e-12  1.998e-10 |  1.826e-06  2.035e-06 |  3.978e-05  4.437e-05
    13000  1.633e-06  9.770e-07  3.566e-05  4.243e-12  2.115e-10 |  1.633e-06  1.826e-06 |  3.566e-05  3.977e-05
    14000  1.465e-06  8.724e-07  3.195e-05  3.590e-12  2.197e-11 |  1.465e-06  1.633e-06 |  3.195e-05  3.566e-05
    15000  1.311e-06  7.822e-07  2.863e-05  4.115e-12  5.218e-11 |  1.311e-06  1.464e-06 |  2.863e-05  3.195e-05
    16000  1.174e-06  7.014e-07  2.566e-05  4.174e-12  2.260e-11 |  1.174e-06  1.311e-06 |  2.566e-05  2.863e-05
    17000  1.050e-06  6.303e-07  2.299e-05  4.201e-12  2.886e-10 |  1.050e-06  1.174e-06 |  2.299e-05  2.566e-05
    18000  9.402e-07  5.646e-07  2.059e-05  4.137e-12  6.536e-11 |  9.402e-07  1.050e-06 |  2.059e-05  2.299e-05
    19000  8.420e-07  5.058e-07  1.845e-05  4.244e-12  1.467e-10 |  8.420e-07  9.401e-07 |  1.845e-05  2.059e-05
    20000  7.542e-07  4.531e-07  1.653e-05  4.234e-12  2.876e-10 |  7.542e-07  8.419e-07 |  1.653e-05  1.845e-05
    21000  6.756e-07  4.059e-07  1.481e-05  4.183e-12  2.404e-10 |  6.756e-07  7.542e-07 |  1.481e-05  1.653e-05
    22000  6.052e-07  3.637e-07  1.327e-05  4.257e-12  2.676e-10 |  6.052e-07  6.756e-07 |  1.327e-05  1.481e-05
    23000  5.418e-07  3.262e-07  1.188e-05  4.236e-12  5.191e-10 |  5.418e-07  6.052e-07 |  1.188e-05  1.326e-05
    24000  4.850e-07  2.922e-07  1.063e-05  4.262e-12  3.676e-11 |  4.850e-07  5.417e-07 |  1.063e-05  1.188e-05
    25000  4.342e-07  2.616e-07  9.521e-06  4.161e-12  2.348e-11 |  4.342e-07  4.849e-07 |  9.521e-06  1.063e-05
    26000  3.888e-07  2.342e-07  8.525e-06  4.066e-12  3.290e-10 |  3.888e-07  4.341e-07 |  8.525e-06  9.520e-06
    27000  3.481e-07  2.097e-07  7.632e-06  3.949e-12  5.023e-10 |  3.481e-07  3.887e-07 |  7.632e-06  8.524e-06
    28000  3.117e-07  1.877e-07  6.833e-06  4.196e-12  2.142e-10 |  3.117e-07  3.480e-07 |  6.833e-06  7.632e-06
    29000  2.790e-07  1.681e-07  6.118e-06  4.188e-12  4.779e-10 |  2.790e-07  3.116e-07 |  6.118e-06  6.833e-06
    30000  2.498e-07  1.505e-07  5.478e-06  3.808e-12  1.933e-10 |  2.498e-07  2.790e-07 |  5.478e-06  6.117e-06
    31000  2.237e-07  1.347e-07  4.904e-06  4.346e-12  5.380e-10 |  2.237e-07  2.498e-07 |  4.904e-06  5.477e-06
    32000  2.003e-07  1.206e-07  4.391e-06  4.327e-12  2.332e-10 |  2.003e-07  2.237e-07 |  4.391e-06  4.904e-06
    33000  1.793e-07  1.080e-07  3.931e-06  4.367e-12  5.427e-10 |  1.793e-07  2.002e-07 |  3.931e-06  4.390e-06
    34000  1.606e-07  9.670e-08  3.520e-06  4.252e-12  6.066e-10 |  1.606e-07  1.793e-07 |  3.520e-06  3.931e-06
    35000  1.437e-07  8.658e-08  3.151e-06  4.278e-12  5.165e-10 |  1.437e-07  1.605e-07 |  3.151e-06  3.519e-06
    36000  1.287e-07  7.751e-08  2.822e-06  4.183e-12  6.733e-10 |  1.287e-07  1.437e-07 |  2.822e-06  3.151e-06
    37000  1.152e-07  6.941e-08  2.526e-06  4.324e-12  6.805e-10 |  1.152e-07  1.287e-07 |  2.526e-06  2.821e-06
    38000  1.032e-07  6.214e-08  2.262e-06  4.050e-12  6.433e-10 |  1.032e-07  1.152e-07 |  2.262e-06  2.526e-06
    39000  9.236e-08  5.564e-08  2.025e-06  4.092e-12  6.231e-10 |  9.236e-08  1.031e-07 |  2.025e-06  2.262e-06
    40000  8.269e-08  4.981e-08  1.813e-06  3.666e-12  5.585e-10 |  8.269e-08  9.235e-08 |  1.813e-06  2.025e-06

  final state
    iters status            velocity L2            dp/dx     q signed err     cb(i+j)       cb(i)       cb(j)     fit rms     u res     v res     p res      cont      sec
    40000 MaxIterations 1.750105986e-02    -1.1736541456 +2.634585438e-02  -1.556e-03  +2.433e-01  +5.197e-04  2.4478e-01  8.27e-08  4.98e-08  1.81e-06  3.67e-12    430.5
exit 0
# end 2026-09-17T09:57:30Z
