# P12-GRAD-002-DRIFT-001 drift_probe  tree=repo
# libcfdcore.a 143a1dda0680bc1d481a0360095ca7c643ffc9e2a2dc53bbd1d55d5a8202132a
# probe binary 4ed91767ce897d53f215165ffa7e614462fb3480b0f3fd7461d0dbb7943ba547
# case inputs  c1d4c750b66cc7ec (poiseuille_distorted) 2b5d1c097786ef6b (curved_channel_multiblock)
# args: sq 64 8 base hist 40000 1000
# start 2026-09-17T09:50:20Z
# case sq 64x8 variant base mode hist; cells 512
# settings: tol u 2.0e-05 p 5.0e-04 c 1.0e-06 | alpha 0.70/0.30 | nonOrth 1 | grad GG | conv 2 | flux automatic | mom 1 rel 1e-08 | pres 0 rel 1e-08
# exact dp/dx -1.2000000000

  residual history (value at the iteration, and the window minimum/maximum since the previous row)
     iter          u          v          p       cont     global |      u min      u max |      p min      p max
        1  1.109e+00  0.000e+00  2.486e-01  9.354e-11  3.603e-12 |  1.109e+00  1.109e+00 |  2.486e-01  2.486e-01
        2  3.435e+00  6.156e-01  5.132e-01  2.156e-10  1.011e-09 |  3.435e+00  3.435e+00 |  5.132e-01  5.132e-01
        3  8.893e-01  9.289e-01  2.599e-01  9.101e-11  4.082e-10 |  8.893e-01  8.893e-01 |  2.599e-01  2.599e-01
     1000  4.960e-05  1.485e-05  5.206e-04  3.188e-12  8.049e-13 |  4.960e-05  6.574e-01 |  5.206e-04  1.274e-01
     2000  2.213e-05  1.189e-05  3.978e-04  4.248e-12  4.119e-12 |  2.213e-05  4.954e-05 |  3.978e-04  5.204e-04
     3000  1.645e-05  1.046e-05  3.471e-04  3.402e-12  3.625e-12 |  1.645e-05  2.211e-05 |  3.471e-04  3.977e-04
     4000  1.456e-05  9.425e-06  3.091e-04  3.868e-12  2.382e-12 |  1.456e-05  1.645e-05 |  3.091e-04  3.470e-04
     5000  1.306e-05  8.381e-06  2.762e-04  3.534e-12  2.775e-12 |  1.306e-05  1.456e-05 |  2.762e-04  3.091e-04
     6000  1.168e-05  7.490e-06  2.467e-04  4.038e-12  8.715e-12 |  1.168e-05  1.306e-05 |  2.467e-04  2.761e-04
     7000  1.047e-05  6.266e-06  2.202e-04  3.618e-12  8.196e-12 |  1.047e-05  1.168e-05 |  2.202e-04  2.467e-04
