# P12-GRAD-002 diagnostics (new library, sha256 51e82ee8e0ed1636); 2026-09-16T03:27:27Z
# P12-GRAD-002 diagnostics
F 2D 16^2 L=1 translated small       h 6.250e-02 | const-field |grad| 1.421e-14 (floor eps*phi/h 8.882e-15) | closure/V 0.000e+00 | volume err 2.842e-14 | centroid err/h 2.202e-13
F 2D 16^2 L=1e-3 translated          h 6.250e-05 | const-field |grad| 6.939e-12 (floor eps*phi/h 8.882e-12) | closure/V 0.000e+00 | volume err 2.986e-14 | centroid err/h 2.237e-13
F 2D 16^2 L=1e3 translated           h 6.250e+01 | const-field |grad| 0.000e+00 (floor eps*phi/h 8.882e-18) | closure/V 0.000e+00 | volume err 0.000e+00 | centroid err/h 0.000e+00
F 2D 16^2 translated LARGE           h 6.250e-02 | const-field |grad| 0.000e+00 (floor eps*phi/h 8.882e-15) | closure/V 0.000e+00 | volume err 5.960e-08 | centroid err/h 5.030e-04
F 2D 256^2 translated LARGE          h 3.906e-03 | const-field |grad| 3.595e-13 (floor eps*phi/h 1.421e-13) | closure/V 0.000e+00 | volume err 1.526e-05 | centroid err/h 4.119e+00
F 2D 256^2 translated small          h 3.906e-03 | const-field |grad| 1.137e-13 (floor eps*phi/h 1.421e-13) | closure/V 0.000e+00 | volume err 1.091e-11 | centroid err/h 1.008e-09
# S sweep: continuity sweep (axial quadratic field, exact boundary values)
S sweep      m_f 0.000e+00 | error 0.000e+00 boundary 0.000e+00 | (reference member)
S sweep      m_f 1.021e-12 | error 3.414e-13 boundary 3.414e-13 | d_error 3.414e-13 bound 1.121e-11 quotient 3.342e-01 PASS
S sweep      m_f 1.000e-10 | error 3.334e-11 boundary 3.334e-11 | d_error 3.300e-11 bound 9.912e-10 quotient 3.333e-01 PASS
S sweep      m_f 1.000e-08 | error 3.333e-09 boundary 3.333e-09 | d_error 3.300e-09 bound 9.900e-08 quotient 3.333e-01 PASS
S sweep      m_f 1.000e-06 | error 3.333e-07 boundary 3.333e-07 | d_error 3.300e-07 bound 9.900e-06 quotient 3.333e-01 PASS
S sweep      m_f 1.000e-05 | error 6.562e-01 boundary 6.562e-01 | d_error 6.562e-01 bound 9.000e-05 quotient 7.292e+04 FAIL
S sweep      m_f 1.000e-04 | error 6.562e-01 boundary 6.562e-01 | d_error 2.063e-09 bound 9.000e-04 quotient 2.292e-05 PASS
S sweep      m_f 1.000e-03 | error 6.562e-01 boundary 6.562e-01 | d_error 2.062e-07 bound 9.000e-03 quotient 2.292e-04 PASS
S sweep      m_f 1.000e-02 | error 6.562e-01 boundary 6.562e-01 | d_error 2.062e-05 bound 9.000e-02 quotient 2.292e-03 PASS
exit 0
