# P12-GRAD-002 diagnostics (grad001 library, sha256 4fa871b8175b5648); 2026-09-16T03:28:39Z
# P12-GRAD-002 diagnostics
F 2D 16^2 L=1 translated small       h 6.250e-02 | const-field |grad| 1.421e-14 (floor eps*phi/h 8.882e-15) | closure/V 0.000e+00 | volume err 2.842e-14 | centroid err/h 2.202e-13
F 2D 16^2 L=1e-3 translated          h 6.250e-05 | const-field |grad| 1.637e-11 (floor eps*phi/h 8.882e-12) | closure/V 0.000e+00 | volume err 2.986e-14 | centroid err/h 2.237e-13
F 2D 16^2 L=1e3 translated           h 6.250e+01 | const-field |grad| 4.907e-18 (floor eps*phi/h 8.882e-18) | closure/V 0.000e+00 | volume err 0.000e+00 | centroid err/h 0.000e+00
F 2D 16^2 translated LARGE           h 6.250e-02 | const-field |grad| 8.882e-15 (floor eps*phi/h 8.882e-15) | closure/V 0.000e+00 | volume err 5.960e-08 | centroid err/h 5.030e-04
F 2D 256^2 translated LARGE          h 3.906e-03 | const-field |grad| 3.595e-13 (floor eps*phi/h 1.421e-13) | closure/V 0.000e+00 | volume err 1.526e-05 | centroid err/h 4.119e+00
F 2D 256^2 translated small          h 3.906e-03 | const-field |grad| 2.274e-13 (floor eps*phi/h 1.421e-13) | closure/V 0.000e+00 | volume err 1.091e-11 | centroid err/h 1.008e-09
# S sweep: continuity sweep (axial quadratic field, exact boundary values)
S sweep      m_f 0.000e+00 | error 6.280e-16 boundary 6.280e-16 | (reference member)
S sweep      m_f 1.021e-12 | error 7.813e-03 boundary 7.813e-03 | d_error 7.812e-03 bound 1.121e-11 quotient 7.649e+09 FAIL
S sweep      m_f 1.000e-10 | error 7.813e-03 boundary 7.813e-03 | d_error 2.501e-11 bound 9.912e-10 quotient 2.525e-01 PASS
S sweep      m_f 1.000e-08 | error 7.813e-03 boundary 7.813e-03 | d_error 2.475e-09 bound 9.900e-08 quotient 2.500e-01 PASS
S sweep      m_f 1.000e-06 | error 7.813e-03 boundary 7.813e-03 | d_error 2.475e-07 bound 9.900e-06 quotient 2.500e-01 PASS
S sweep      m_f 1.000e-05 | error 5.000e-01 boundary 5.000e-01 | d_error 4.922e-01 bound 9.000e-05 quotient 5.469e+04 FAIL
S sweep      m_f 1.000e-04 | error 5.000e-01 boundary 5.000e-01 | d_error 2.320e-09 bound 9.000e-04 quotient 2.578e-05 PASS
S sweep      m_f 1.000e-03 | error 5.000e-01 boundary 5.000e-01 | d_error 2.320e-07 bound 9.000e-03 quotient 2.578e-04 PASS
S sweep      m_f 1.000e-02 | error 5.000e-01 boundary 5.000e-01 | d_error 2.320e-05 bound 9.000e-02 quotient 2.578e-03 PASS
exit 0
