# Transpiration-channel measurements after the gate was fixed (not the gate run itself): graded grid family (r^m = 1.2^12), uniform refinement (cost equivalence), x+y grading, graded/uniform + non-orthogonal structured_quad. Release, production path (CaseWriter -> ProjectRunner).
gc_coarse               32x16  cells   512 | nonorth 0.0 | st 0 it  1538   5.62s mass 1.3e-11 col 2.4e-11 | dpdx err 1.7890e-02 | tauTop err 9.6410e-02 | uL2 1.3758e-02 | err*cells dpdx 9.16
gc_medium               48x24  cells  1152 | nonorth 0.0 | st 0 it  1563  14.57s mass 3.2e-12 col 4.2e-11 | dpdx err 9.4032e-03 | tauTop err 6.6716e-02 | uL2 6.8090e-03 | err*cells dpdx 10.83
gc_fine                 72x36  cells  2592 | nonorth 0.0 | st 0 it  1452  33.38s mass 1.4e-12 col 9.9e-11 | dpdx err 4.2114e-03 | tauTop err 4.5601e-02 | uL2 3.1302e-03 | err*cells dpdx 10.92
uni_32x16               32x16  cells   512 | nonorth 0.0 | st 0 it  1492   4.84s mass 6.9e-12 col 2.2e-11 | dpdx err 4.6926e-02 | tauTop err 2.4498e-01 | uL2 4.8692e-02 | err*cells dpdx 24.03
uni_48x36               48x36  cells  1728 | nonorth 0.0 | st 0 it  2134  26.62s mass 5.2e-12 col 2.5e-11 | dpdx err 1.9397e-02 | tauTop err 1.2467e-01 | uL2 1.8337e-02 | err*cells dpdx 33.52
uni_48x48               48x48  cells  2304 | nonorth 0.0 | st 0 it  1619  31.93s mass 1.5e-12 col 2.5e-11 | dpdx err 1.2908e-02 | tauTop err 9.8387e-02 | uL2 1.2015e-02 | err*cells dpdx 29.74
uni_48x72               48x72  cells  3456 | nonorth 0.0 | st 0 it  1548  49.00s mass 4.3e-13 col 2.5e-11 | dpdx err 6.2645e-03 | tauTop err 7.0368e-02 | uL2 6.2892e-03 | err*cells dpdx 21.65
uni_72x36               72x36  cells  2592 | nonorth 0.0 | st 0 it  1970  35.57s mass 3.7e-12 col 5.3e-11 | dpdx err 1.9271e-02 | tauTop err 1.2469e-01 | uL2 1.8346e-02 | err*cells dpdx 49.95
xy_left1.05             48x24  cells  1152 | nonorth 0.0 | st 0 it  2085  26.24s mass 5.1e-12 col 4.9e-11 | dpdx err 2.4330e-03 | tauTop err 6.6738e-02 | uL2 6.7837e-03 | err*cells dpdx 2.80
xy_both1.05             48x24  cells  1152 | nonorth 0.0 | st 0 it  1995  20.88s mass 1.3e-11 col 4.7e-11 | dpdx err 3.0034e-02 | tauTop err 6.6676e-02 | uL2 7.0651e-03 | err*cells dpdx 34.60
quad_graded             48x24  cells  1152 | nonorth 14.5 | st 0 it  1349  18.68s mass 1.1e-11 col 3.8e-11 | dpdx err 1.8122e-02 | tauTop err 6.6783e-02 | uL2 7.8395e-03 | err*cells dpdx 20.88
quad_uniform            48x24  cells  1152 | nonorth 10.5 | st 0 it  1514  18.80s mass 3.7e-11 col 7.4e-11 | dpdx err 3.7321e-02 | tauTop err 1.7365e-01 | uL2 3.1018e-02 | err*cells dpdx 42.99
