family,level,parameter,recipe,built,quality_status,cells,h,aspect_ratio_max,aspect_ratio_mean,non_orthogonality_max_deg,non_orthogonality_mean_deg,skewness_max,skewness_mean,expansion_ratio_max,expansion_ratio_mean,cell_area_min,simple_status,converged,finite,iterations,final_u,final_v,final_p,final_continuity,continuity_contraction,seconds,u_l1,u_l2,u_linf,v_l1,v_l2,v_linf,p_l1,p_l2,p_linf,t_l1,t_l2,t_linf,thermal_status,thermal_iterations,mass_imbalance,max_cell_continuity,energy_imbalance,kinetic_energy,mean_temperature
D1,Q0,0,corrected,1,valid,1024,0.03125,1,1,0,0,0,0,1,1,0.0009765625,Converged,1,1,1177,1.560183e-08,1.528291e-08,9.982704e-08,1.489912e-11,1.000963e+00,13.642,1.3193913416e-03,1.5324127576e-03,3.2792894195e-03,9.5871309708e-04,1.1884290285e-03,3.1497330184e-03,4.7577638151e-03,5.6194040652e-03,1.5727469743e-02,4.0748543990e-03,6.1616158954e-03,1.5223805020e-02,Converged,2,0.000e+00,4.803e-07,3.352e-13,1.876659103768855e-01,4.019395841743946e-01
D1,Q1,0.025000000000000001,corrected,1,valid,1024,0.031250000000000021,1.0840458521651475,1.0284335046316513,17.713409521195857,5.6873430426000082,0.008669508081462286,0.0033249765389296794,1.0202010848382825,1.0080581424339286,0.00086207759068647472,Converged,1,1,1413,1.567682e-08,1.591830e-08,9.991545e-08,1.351215e-11,1.000760e+00,25.244,1.4071517240e-03,1.6998603351e-03,4.0957496703e-03,9.9364639454e-04,1.2105208430e-03,2.9093358499e-03,3.3290837240e-03,4.0666387373e-03,1.2542377806e-02,4.4163518317e-03,6.7345411203e-03,1.6921278132e-02,Converged,11,0.000e+00,4.279e-07,4.884e-12,1.876006287753986e-01,4.016229715129818e-01
D1,Q2,0.050000000000000003,corrected,1,valid,1024,0.031250000000000007,1.17877400231136,1.0589132403478343,34.618603824276001,11.291500117014571,0.017905182697654586,0.0067314723160760235,1.0414519356301888,1.0170601118523404,0.00075306300800552506,Converged,1,1,3840,1.509116e-08,1.504641e-08,9.995098e-08,3.848317e-11,1.000522e+00,66.546,1.6645676218e-03,2.0786348920e-03,5.1908141546e-03,1.2489775609e-03,1.5247698937e-03,4.2670667655e-03,3.6937744218e-03,4.5387797606e-03,1.3967897895e-02,5.3647588222e-03,8.3250589404e-03,2.1862609871e-02,LinearSolveFailure,16,0.000e+00,1.222e-06,9.594e-12,1.873770878164581e-01,4.007524589374298e-01
D1,Q3,0.074999999999999997,corrected,1,valid,1024,0.031250000000000021,1.2828375929445148,1.0910296344254931,50.108888671125321,16.737249137015951,0.028159754529777856,0.010310206858633333,1.0646835064237421,1.0276868952954041,0.00064829927374512181,Converged,1,1,5582,1.473090e-08,1.471655e-08,9.999930e-08,2.875260e-11,1.000288e+00,86.372,2.2220948188e-03,2.7753609108e-03,7.3502163429e-03,1.8280490961e-03,2.2576107815e-03,6.4922588117e-03,4.5325942043e-03,5.7071522285e-03,2.0150108375e-02,6.7606653570e-03,1.0652270477e-02,2.9527185823e-02,Converged,27,0.000e+00,8.993e-07,1.897e-12,1.868528844858726e-01,3.994931011548681e-01
D1,Q4,0.10000000000000001,corrected,1,valid,1024,0.031249999999999962,1.3938351681389247,1.1242887055252,63.869463479131795,21.961562975751136,0.040730787514608638,0.014207452262912828,1.0916608457822212,1.0407953630982594,0.00054689371710187756,Converged,1,1,7016,1.438956e-08,1.433217e-08,9.995963e-08,2.608173e-11,1.000188e+00,100.067,3.2258074052e-03,4.1744644088e-03,1.2287654722e-02,3.0145156985e-03,3.9023627689e-03,1.0408801950e-02,5.5486095777e-03,7.6735110773e-03,3.2783124787e-02,8.4731380792e-03,1.3485077005e-02,3.9914743872e-02,Converged,40,0.000e+00,8.013e-07,4.802e-12,1.857255663044216e-01,3.979835898206866e-01
D1,Q0,0,uncorrected,1,valid,1024,0.03125,1,1,0,0,0,0,1,1,0.0009765625,Converged,1,1,1177,1.559793e-08,1.528772e-08,9.982814e-08,1.271608e-11,1.000832e+00,5.014,1.3193913192e-03,1.5324127195e-03,3.2792890938e-03,9.5871310452e-04,1.1884290463e-03,3.1497329611e-03,4.7577623405e-03,5.6194029699e-03,1.5727488480e-02,4.0748543811e-03,6.1616158713e-03,1.5223804955e-02,Converged,2,0.000e+00,4.056e-07,7.346e-14,1.876659103773380e-01,4.019395841904116e-01
D1,Q1,0.025000000000000001,uncorrected,1,valid,1024,0.031250000000000021,1.0840458521651475,1.0284335046316513,17.713409521195857,5.6873430426000082,0.008669508081462286,0.0033249765389296794,1.0202010848382825,1.0080581424339286,0.00086207759068647472,MomentumFailure,0,1,1499,8.375983e+60,8.178062e+60,2.580266e+30,7.519475e+20,1.050853e+00,24.267,2.4691691542e+30,3.4522041341e+30,3.4454806813e+31,3.1055626338e+30,3.9846307556e+30,2.0389607100e+31,6.1804336430e+61,7.1199038114e+61,1.3848206346e+62,4.0561256245e-01,4.9999712093e-01,9.9828281499e-01,LinearSolveFailure,1,0.000e+00,8.258e+24,1.000e+00,1.389749782065670e+61,0.000000000000000e+00
D1,Q2,0.050000000000000003,uncorrected,1,valid,1024,0.031250000000000007,1.17877400231136,1.0589132403478343,34.618603824276001,11.291500117014571,0.017905182697654586,0.0067314723160760235,1.0414519356301888,1.0170601118523404,0.00075306300800552506,MomentumFailure,0,1,227,1.171891e+61,1.000811e+61,2.658294e+30,7.022951e+20,1.388373e+00,4.397,2.2064104452e+30,3.5823058359e+30,2.7344417417e+31,2.0379812968e+30,3.2442045500e+30,3.9812468179e+31,5.9056069873e+61,6.5408546366e+61,9.0782012146e+61,4.0561899818e-01,4.9998869252e-01,9.9885703461e-01,LinearSolveFailure,1,0.000e+00,5.616e+24,1.000e+00,1.167888913197334e+61,0.000000000000000e+00
D1,Q3,0.074999999999999997,uncorrected,1,valid,1024,0.031250000000000021,1.2828375929445148,1.0910296344254931,50.108888671125321,16.737249137015951,0.028159754529777856,0.010310206858633333,1.0646835064237421,1.0276868952954041,0.00064829927374512181,MomentumFailure,0,1,136,1.038453e+61,9.720741e+60,2.728832e+30,6.717407e+20,1.729144e+00,2.940,2.3005743393e+30,4.2343020649e+30,4.5290770282e+31,2.0850396140e+30,3.8554900348e+30,4.1766158270e+31,3.8778410613e+61,4.1926102090e+61,6.9763073696e+61,4.0562967590e-01,4.9997532554e-01,9.9931488823e-01,LinearSolveFailure,1,0.000e+00,4.604e+24,1.000e+00,1.639705869274387e+61,0.000000000000000e+00
D1,Q4,0.10000000000000001,uncorrected,1,valid,1024,0.031249999999999962,1.3938351681389247,1.1242887055252,63.869463479131795,21.961562975751136,0.040730787514608638,0.014207452262912828,1.0916608457822212,1.0407953630982594,0.00054689371710187756,MomentumFailure,0,1,100,9.997516e+60,8.820008e+60,2.662854e+30,7.797944e+20,2.113693e+00,2.447,1.9789547711e+30,4.1841871765e+30,4.2205137970e+31,2.1607588838e+30,4.3782896280e+30,4.3003711965e+31,4.4576945458e+61,4.7777547962e+61,9.9749228750e+61,4.0564452346e-01,4.9995798706e-01,9.9965626907e-01,LinearSolveFailure,1,0.000e+00,5.416e+24,1.000e+00,1.833842119710575e+61,0.000000000000000e+00
