family,level,parameter,recipe,built,quality_status,cells,h,aspect_ratio_max,aspect_ratio_mean,non_orthogonality_max_deg,non_orthogonality_mean_deg,skewness_max,skewness_mean,expansion_ratio_max,expansion_ratio_mean,cell_area_min,simple_status,converged,finite,iterations,final_u,final_v,final_p,final_continuity,continuity_contraction,seconds,u_l1,u_l2,u_linf,v_l1,v_l2,v_linf,p_l1,p_l2,p_linf,t_l1,t_l2,t_linf,thermal_status,thermal_iterations,mass_imbalance,max_cell_continuity,energy_imbalance,kinetic_energy,mean_temperature
D2,Q0,0,corrected,1,valid,1024,0.03125,1,1,0,0,0,0,1,1,0.0009765625,Converged,1,1,1177,1.560183e-08,1.528291e-08,9.982704e-08,1.489912e-11,1.000963e+00,14.743,1.3193913416e-03,1.5324127576e-03,3.2792894195e-03,9.5871309708e-04,1.1884290285e-03,3.1497330184e-03,4.7577638151e-03,5.6194040652e-03,1.5727469743e-02,4.0748543990e-03,6.1616158954e-03,1.5223805020e-02,Converged,2,0.000e+00,4.803e-07,3.352e-13,1.876659103768855e-01,4.019395841743946e-01
D2,Q1,0.074999999999999997,corrected,1,valid,1024,0.03124999999999999,1.3161773007996367,1.129857431543152,9.3860273377753884,2.5551188744177291,0.064197212447687335,0.014880880091495791,1.3320905706676245,1.0699014920987691,0.00079842661473322751,Converged,1,1,8252,1.532132e-08,1.531397e-08,9.998301e-08,1.450653e-11,1.000126e+00,153.737,6.5450334355e-03,8.6918802345e-03,3.7011825094e-02,6.4587938035e-03,8.5912338667e-03,3.0235260441e-02,2.5329790096e-01,3.3045891114e-01,9.3817973726e-01,4.0777997791e-03,6.1722376981e-03,1.5353085921e-02,Converged,6,0.000e+00,4.716e-07,2.778e-12,1.833535885556709e-01,4.019262743297257e-01
D2,Q2,0.14999999999999999,corrected,1,valid,1024,0.031250000000000007,1.7335176982335212,1.2795317966801791,19.494382919928107,5.1438645295597416,0.13015542707716113,0.029956546843059269,1.7820157395875915,1.1487059882224693,0.00063740839543441341,Converged,1,1,9621,1.549110e-08,1.535887e-08,9.999720e-08,5.197521e-12,1.000010e+00,149.879,1.5845039627e-02,2.1468771638e-02,7.5808916107e-02,1.5142386037e-02,2.0522309128e-02,7.4008939539e-02,3.2483576369e-01,4.3228132445e-01,1.3066367220e+00,4.1592833691e-03,6.3205208728e-03,1.6075885602e-02,Converged,8,0.000e+00,1.442e-07,6.635e-13,1.744328087949250e-01,4.018109916511763e-01
D2,Q3,0.22500000000000001,corrected,1,valid_with_warnings,1024,0.031250000000000014,2.2880180531756928,1.4525056646727939,31.242231405971509,7.795462890637288,0.19887225364793371,0.045479924046347139,2.4034112607940163,1.2395394555925909,0.0004935078421036132,Converged,1,1,9706,1.585793e-08,1.562891e-08,9.996779e-08,7.540554e-12,1.000021e+00,152.991,2.5893274625e-02,3.4910099221e-02,1.0505505278e-01,2.4514491773e-02,3.3149983892e-02,1.1096680021e-01,3.3013281098e-01,4.4523141014e-01,1.4128973624e+00,4.2933121104e-03,6.5354844385e-03,1.6738928037e-02,Converged,9,0.000e+00,2.328e-07,7.956e-12,1.641159815602111e-01,4.016275986969979e-01
D2,Q4,0.29999999999999999,corrected,1,valid_with_warnings,1024,0.031250000000000014,3.0053630401233953,1.6533686958038649,45.098287387222278,10.534414098432579,0.27149524463837393,0.061747320891121803,3.2840805391048709,1.3473949986064762,0.00036672495474066036,Converged,1,1,8931,1.661379e-08,1.639527e-08,9.999521e-08,4.937382e-12,9.999690e-01,194.972,3.6461449431e-02,4.9203901004e-02,1.4091676219e-01,3.4806613307e-02,4.7224023643e-02,1.6057885945e-01,3.2574926661e-01,4.4182018476e-01,1.4579966573e+00,4.4357646926e-03,6.7356277558e-03,1.7237285693e-02,Converged,10,0.000e+00,1.358e-07,2.878e-11,1.528785876517564e-01,4.014490062305709e-01
D2,Q0,0,uncorrected,1,valid,1024,0.03125,1,1,0,0,0,0,1,1,0.0009765625,Converged,1,1,1177,1.559793e-08,1.528772e-08,9.982814e-08,1.271608e-11,1.000832e+00,6.148,1.3193913192e-03,1.5324127195e-03,3.2792890938e-03,9.5871310452e-04,1.1884290463e-03,3.1497329611e-03,4.7577623405e-03,5.6194029699e-03,1.5727488480e-02,4.0748543811e-03,6.1616158713e-03,1.5223804955e-02,Converged,2,0.000e+00,4.056e-07,7.346e-14,1.876659103773380e-01,4.019395841904116e-01
D2,Q1,0.074999999999999997,uncorrected,1,valid,1024,0.03124999999999999,1.3161773007996367,1.129857431543152,9.3860273377753884,2.5551188744177291,0.064197212447687335,0.014880880091495791,1.3320905706676245,1.0699014920987691,0.00079842661473322751,Converged,1,1,8130,1.529283e-08,1.531280e-08,9.994274e-08,1.612840e-11,1.000144e+00,50.821,6.8523904450e-03,9.0126676011e-03,3.7733695907e-02,6.6891228190e-03,8.8295946289e-03,3.0953480287e-02,2.5339299780e-01,3.3046674003e-01,9.4128018690e-01,4.3426529833e-03,6.4160491832e-03,1.6442422467e-02,Converged,2,0.000e+00,5.238e-07,5.108e-14,1.830396579751110e-01,4.017945905038868e-01
D2,Q2,0.14999999999999999,uncorrected,1,valid,1024,0.031250000000000007,1.7335176982335212,1.2795317966801791,19.494382919928107,5.1438645295597416,0.13015542707716113,0.029956546843059269,1.7820157395875915,1.1487059882224693,0.00063740839543441341,Converged,1,1,9410,1.546221e-08,1.536666e-08,9.997431e-08,4.886847e-12,1.000008e+00,55.216,1.6930321909e-02,2.2798651155e-02,7.6045533608e-02,1.6142735859e-02,2.1746918765e-02,7.3222325544e-02,3.2309075919e-01,4.2865278565e-01,1.2932411645e+00,5.2911703344e-03,7.4267390523e-03,2.0650382827e-02,Converged,2,0.000e+00,1.351e-07,3.783e-13,1.731052173309271e-01,4.011963115905900e-01
D2,Q3,0.22500000000000001,uncorrected,1,valid_with_warnings,1024,0.031250000000000014,2.2880180531756928,1.4525056646727939,31.242231405971509,7.795462890637288,0.19887225364793371,0.045479924046347139,2.4034112607940163,1.2395394555925909,0.0004935078421036132,Converged,1,1,9165,1.590758e-08,1.572806e-08,9.997207e-08,4.925418e-12,1.000013e+00,53.829,2.8228856669e-02,3.7954075500e-02,1.1222342988e-01,2.6952342401e-02,3.6289605585e-02,1.1403948366e-01,3.2515345144e-01,4.3568151113e-01,1.3550744947e+00,6.6993071602e-03,9.1098333222e-03,2.5486838247e-02,Converged,2,0.000e+00,1.449e-07,1.857e-13,1.612545508975281e-01,4.000961222698378e-01
D2,Q4,0.29999999999999999,uncorrected,1,valid_with_warnings,1024,0.031250000000000014,3.0053630401233953,1.6533686958038649,45.098287387222278,10.534414098432579,0.27149524463837393,0.061747320891121803,3.2840805391048709,1.3473949986064762,0.00036672495474066036,Converged,1,1,10224,1.660820e-08,1.650706e-08,9.995044e-08,7.314210e-12,1.000054e+00,61.587,4.0274271302e-02,5.4319933974e-02,1.5286135849e-01,3.9089337633e-02,5.2795068586e-02,1.6950863603e-01,3.1731026579e-01,4.2587601176e-01,1.4159183908e+00,8.6211156809e-03,1.1497931991e-02,3.1278621755e-02,Converged,2,0.000e+00,2.345e-07,2.212e-13,1.483603718038676e-01,3.984252278124839e-01
