# P12-MESH-005 gate G3, repeated on the FINAL CLI (logs/12 method; tools/compat.sh); Tue Sep 15 06:05:46 UTC 2026
HEAD b66310ca871811c4c7671056beec291a451af55c; NEW cfdapp sha256 bb4beb91ffce66b0; BASE cfdapp sha256 a0aa9756ee22932e
=== committed cases (16)
base vs new  annular_sector_conduction_multiblock: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  channel_transpiration_graded: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  compressible_channel_coupled: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  compressible_validation: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  curved_channel_multiblock: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  heated_cavity: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  heated_species_diffusion: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  lid_driven_cavity: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  lid_driven_cavity_40x40: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  lid_driven_cavity_80x80: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  multiphase_validation: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  obstacle_channel_multiblock: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  poiseuille_distorted: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  poiseuille_flow: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  species_diffusion: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  step_channel_multiblock: IDENTICAL | files compared 3 | exit 0/exit 0
=== CLI data fixtures (11)
base vs new  data_bad_boundary: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_bad_physics: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_bad_solver: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_does_not_converge: IDENTICAL | files compared 3 | exit 3/exit 3
base vs new  data_malformed_json: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_mesh_quality_disconnected_cli: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_mesh_quality_invalid_cli: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_mesh_quality_warning_cli: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  data_missing_mesh: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_valid_cavity: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  data_valid_cavity_cli_smoke: IDENTICAL | files compared 3 | exit 0/exit 0
=== totals: 27 IDENTICAL of 27
