# P12-MESH-006 G10.2 CLI 2D compatibility, FINAL sources; 2026-09-15T14:56:44Z
# NEW cfdapp sha256 df4ee6d0da11bba7; BASE cfdapp sha256 bb4beb91ffce66b0
# excluded 3D (box) cases/fixtures (new in MESH-006; BASE rejects them): duct_3d lid_driven_cavity_3d lid_driven_cavity_3d_re1000 data_invalid_3d_box_without_nz data_invalid_3d_thermal data_invalid_3d_two_component_velocity data_valid_cube3d_cli_smoke data_valid_duct3d_cli_smoke
=== committed 2D cases (16)
base vs new  annular_sector_conduction_multiblock: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  channel_transpiration_graded: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  compressible_channel_coupled: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  compressible_validation: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  curved_channel_multiblock: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  heated_cavity: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  heated_species_diffusion: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  lid_driven_cavity: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  lid_driven_cavity_40x40: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  lid_driven_cavity_80x80: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  multiphase_validation: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  obstacle_channel_multiblock: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  poiseuille_distorted: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  poiseuille_flow: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  species_diffusion: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  step_channel_multiblock: IDENTICAL | files compared 3 | exit 0/exit 0
=== 2D CLI data fixtures (11)
base vs new  data_bad_boundary: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_bad_physics: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_bad_solver: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_does_not_converge: IDENTICAL | files compared 3 | exit 3/exit 3
base vs new  data_malformed_json: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_mesh_quality_disconnected_cli: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_mesh_quality_invalid_cli: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_mesh_quality_warning_cli: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  data_missing_mesh: IDENTICAL | files compared 0 | exit 2/exit 2
base vs new  data_valid_cavity: IDENTICAL | files compared 3 | exit 0/exit 0
base vs new  data_valid_cavity_cli_smoke: IDENTICAL | files compared 3 | exit 0/exit 0
=== totals: 27 IDENTICAL of 27
