# G5 investigation: python3 tools/duct_discrete.py data/discrete.json 8 12 16 24 32 48 64 96 128 192 256
# date 2026-09-15T12:17:03Z; python 3.10.12 numpy 1.24.3 scipy 1.11.3 mpmath 1.3.0

 n  | G rel err  | u_axis err | point: Linf   RMS        L1         (Linf cell, from wall) | average: Linf  RMS        L1        | eigen-sparse | tau interior  tau wall
  8 | 5.5513e-02 | 6.6907e-02 | 8.4997e-02 4.1910e-02 3.5688e-02 (4,4; 3) | 6.6493e-02 3.7587e-02 3.3958e-02 | 5.11e-15     | 7.152e-02  9.154e-01
 12 | 2.5783e-02 | 3.1065e-02 | 4.0484e-02 1.9907e-02 1.6754e-02 (5,5; 5) | 3.2255e-02 1.8122e-02 1.5801e-02 | 9.55e-15     | 6.778e-02  9.158e-01
 16 | 1.4744e-02 | 1.7760e-02 | 2.3357e-02 1.1483e-02 9.5308e-03 (8,8; 7) | 1.8727e-02 1.0507e-02 9.1760e-03 | 2.49e-14     | 6.715e-02  9.159e-01
 24 | 6.6338e-03 | 7.9896e-03 | 1.0577e-02 5.2021e-03 4.3589e-03 (11,11; 11) | 8.5192e-03 4.7772e-03 4.1532e-03 | 2.58e-14     | 6.691e-02  9.159e-01
 32 | 3.7484e-03 | 4.5140e-03 | 5.9903e-03 2.9470e-03 2.4746e-03 (15,15; 15) | 4.8325e-03 2.7099e-03 2.3526e-03 | 3.33e-14     | 6.688e-02  9.159e-01
 48 | 1.6715e-03 | 2.0127e-03 | 2.6757e-03 1.3168e-03 1.1041e-03 (24,24; 23) | 2.1611e-03 1.2121e-03 1.0513e-03 | 4.62e-14     | 6.686e-02  9.159e-01
 64 | 9.4135e-04 | 1.1335e-03 | 1.5078e-03 7.4215e-04 6.2281e-04 (31,31; 31) | 1.2183e-03 6.8337e-04 5.9258e-04 | 6.97e-14     | 6.686e-02  9.159e-01
 96 | 4.1875e-04 | 5.0420e-04 | 6.7101e-04 3.3033e-04 2.7719e-04 (48,48; 47) | 5.4237e-04 3.0425e-04 2.6380e-04 | nan     | 6.686e-02  9.159e-01
128 | 2.3562e-04 | 2.8370e-04 | 3.7762e-04 1.8591e-04 1.5600e-04 (63,63; 63) | 3.0526e-04 1.7125e-04 1.4848e-04 | nan     | 6.686e-02  9.159e-01
192 | 1.0475e-04 | 1.2612e-04 | 1.6789e-04 8.2660e-05 6.9361e-05 (96,96; 95) | 1.3573e-04 7.6147e-05 6.6017e-05 | nan     | 6.686e-02  9.159e-01
256 | 5.8924e-05 | 7.0947e-05 | 9.4451e-05 4.6503e-05 3.9021e-05 (127,127; 127) | 7.6360e-05 4.2840e-05 3.7140e-05 | nan     | 6.686e-02  9.159e-01
# exit: 0
