# P12-MESH-007 diagnosis diag_g63 (evidence only); 2026-09-15T21:23:29Z; lib 11d1c9c8f518b90e
status A 0 C 0 B 0
A (Wall) vs C (MovingWall(0)), fixed mesh: max |u_A - u_C| = 0.000e+00
cells with |u_B - b - u_A| > 1e-6 (i, j): (dx, dy)
  ( 0, 0): (1.247e-15, 3.317e-05)
  ( 1, 0): (2.606e-15, 3.255e-05)
  ( 2, 0): (6.031e-16, 2.990e-05)
  ( 3, 0): (-5.422e-16, 2.609e-05)
  ( 4, 0): (-1.395e-15, 2.130e-05)
  ( 5, 0): (-2.048e-15, 1.575e-05)
  ( 6, 0): (-2.453e-15, 9.662e-06)
  ( 7, 0): (-2.665e-15, 3.256e-06)
  ( 8, 0): (-2.107e-15, -3.256e-06)
  ( 9, 0): (-1.501e-15, -9.662e-06)
  (10, 0): (-1.353e-15, -1.575e-05)
  (11, 0): (1.344e-16, -2.130e-05)
  (12, 0): (-5.245e-16, -2.609e-05)
  (13, 0): (1.143e-15, -2.990e-05)
  (14, 0): (-4.405e-16, -3.255e-05)
  (15, 0): (-3.317e-05, -3.317e-05)
  (15, 1): (-3.529e-05, -5.838e-17)
  (15, 2): (-3.810e-05, 1.202e-15)
  (15, 3): (-4.253e-05, -8.903e-16)
  (15, 4): (-4.887e-05, 1.279e-15)
  ( 0, 5): (-5.758e-05, 1.332e-15)
  (15, 5): (-5.758e-05, -1.186e-16)
  (15, 6): (-6.939e-05, -4.129e-16)
  (15, 7): (-8.551e-05, 4.286e-15)
  (15, 8): (-1.080e-04, -1.505e-16)
  ( 0, 9): (-1.409e-04, 8.314e-16)
  (15, 9): (-1.409e-04, 8.282e-15)
  ( 0,10): (-1.916e-04, 1.227e-15)
  (15,10): (-1.916e-04, -3.378e-15)
  (15,11): (-2.771e-04, 1.057e-14)
  ( 0,12): (-4.376e-04, 1.636e-15)
  (15,12): (-4.376e-04, -2.340e-15)
  ( 0,13): (-7.817e-04, 1.573e-15)
  (15,13): (-7.817e-04, 9.307e-15)
  (15,14): (-1.635e-03, -6.693e-15)
  ( 0,15): (-3.866e-03, 3.796e-03)
  ( 1,15): (-1.051e-15, 1.564e-03)
  ( 2,15): (-3.261e-16, 7.125e-04)
  ( 3,15): (-7.307e-15, 3.685e-04)
  ( 4,15): (5.683e-15, 2.068e-04)
  ( 5,15): (-1.404e-14, 1.182e-04)
  ( 6,15): (8.979e-15, 6.177e-05)
  ( 7,15): (-1.874e-15, 1.927e-05)
  ( 8,15): (-9.444e-15, -1.927e-05)
  ( 9,15): (8.604e-16, -6.177e-05)
  (10,15): (-2.921e-15, -1.182e-04)
  (11,15): (2.249e-14, -2.068e-04)
  (12,15): (-2.086e-14, -3.685e-04)
  (13,15): (3.379e-15, -7.125e-04)
  (14,15): (-2.366e-15, -1.564e-03)
  (15,15): (-3.866e-03, -3.796e-03)
