grid,cells,backend,repeat,outer_iterations,total_seconds,mesh_setup_seconds,simple_solve_seconds,status,ran_cleanly,mass_imbalance,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,upload_seconds,download_seconds,kernel_seconds,gpu_solve_seconds,gpu_linear_solves,gpu_linear_solver_iterations
20x20,400,CPU,0,200,2.60002,3.6672e-05,2.59997,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,1,200,0.498901,6.5881e-05,0.498829,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,CPU,2,200,1.22042,6.663e-05,1.22035,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
20x20,400,GPU,0,200,9.54501,5.8437e-05,9.54495,MaxIterations,yes,0,1804,13089920,57942,2837472,0.0492743,4.96347,4.12301,9.38927,600,9623
20x20,400,GPU,1,200,13.3848,4.8777e-05,13.3847,MaxIterations,yes,0,1804,13089920,57942,2837472,0.0573409,6.6845,6.19012,13.2336,600,9623
20x20,400,GPU,2,200,10.1573,3.6407e-05,10.1573,MaxIterations,yes,0,1804,13089920,57942,2837472,0.0493695,4.50458,5.28438,10.0303,600,9623
40x40,1600,CPU,0,200,23.8087,0.000151975,23.8085,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,1,200,1.71656,0.000257355,1.71629,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,CPU,2,200,1.81278,0.000246168,1.81252,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
40x40,1600,GPU,0,200,23.6904,0.000229424,23.6902,MaxIterations,yes,0,1804,53139840,111375,13883400,0.0820917,11.3458,11.2282,23.1684,600,18515
40x40,1600,GPU,1,200,23.3978,0.000116936,23.3977,MaxIterations,yes,0,1804,53139840,111375,13883400,0.0822823,10.9716,11.3008,22.8626,600,18515
40x40,1600,GPU,2,200,21.9306,0.000120579,21.9305,MaxIterations,yes,0,1804,53139840,111375,13883400,0.0813172,9.99091,10.8835,21.4183,600,18515
80x80,6400,CPU,0,200,17.0981,0.000560653,17.0976,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,1,200,44.0201,0.00111144,44.019,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,CPU,2,200,39.9627,0.00117065,39.9614,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
80x80,6400,GPU,0,200,32.2846,0.00102338,32.2835,MaxIterations,yes,0,1804,214110080,132741,57148200,0.420365,14.2673,14.1825,29.5483,600,22101
80x80,6400,GPU,1,200,31.2506,0.000487449,31.2501,MaxIterations,yes,0,1804,214110080,132741,57148200,0.416172,13.5981,13.8977,28.5618,600,22101
80x80,6400,GPU,2,200,30.8996,0.000599003,30.899,MaxIterations,yes,0,1804,214110080,132741,57148200,0.411079,13.28,13.8631,28.1945,600,22101
160x160,25600,CPU,0,60,27.8647,0.00223874,27.8623,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,1,60,37.7617,0.00346858,37.7581,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,CPU,2,60,36.341,0.00558103,36.3352,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
160x160,25600,GPU,0,60,21.4232,0.00276226,21.4202,MaxIterations,yes,0,544,259572800,72993,95114400,0.202958,7.84308,8.56635,17.0116,180,12158
160x160,25600,GPU,1,60,19.0864,0.00228815,19.084,MaxIterations,yes,0,544,259572800,72993,95114400,0.212003,6.54139,7.92733,15.0215,180,12158
160x160,25600,GPU,2,60,20.2601,0.00256722,20.2574,MaxIterations,yes,0,544,259572800,72993,95114400,0.20302,7.42978,8.29184,16.2913,180,12158
320x320,102400,CPU,0,20,39.7959,0.0106026,39.7846,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,1,20,44.0212,0.0105684,44.0099,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,CPU,2,20,40.5532,0.0108308,40.5417,MaxIterations,yes,0,0,0,0,0,0,0,0,0,0,0
320x320,102400,GPU,0,20,19.8106,0.0101926,19.7997,MaxIterations,yes,0,184,353259200,52392,216614400,0.203567,5.45356,7.60252,13.5675,60,8732
320x320,102400,GPU,1,20,20.2726,0.00802772,20.264,MaxIterations,yes,0,184,353259200,52392,216614400,0.201355,5.40803,7.86082,13.7962,60,8732
320x320,102400,GPU,2,20,20.2129,0.00773304,20.2046,MaxIterations,yes,0,184,353259200,52392,216614400,0.199755,5.40408,7.98201,13.9069,60,8732
640x640,409600,CPU,0,1,32.2374,0.0507814,32.1838,PressureCorrectionFailure,no,0,0,0,0,0,0,0,0,0,0,0
640x640,409600,GPU,0,8,27.4505,0.0580645,27.3897,MaxIterations,yes,0,76,589291392,34770,523392000,0.184839,3.62989,7.11812,11.2553,24,5795
