iteration,u_residual,v_residual,pressure_residual,continuity
0,0.357771,0,0.00157161,5.52052e-08
1,0.162013,0.0149102,0.00130603,3.04748e-08
2,0.0856755,0.0119198,0.00108111,6.38618e-09
3,0.0535138,0.00926221,0.000901377,4.5307e-08
4,0.038367,0.00746638,0.000764015,7.44633e-08
5,0.0301797,0.00626137,0.000658983,9.21349e-08
6,0.0251382,0.00543208,0.000577347,9.85716e-08
7,0.0217073,0.00483437,0.000512572,4.95065e-08
8,0.0192008,0.00438973,0.000460032,2.00225e-08
9,0.0172815,0.00402282,0.000416715,6.08034e-09
10,0.0157526,0.00373255,0.00038036,2.10667e-09
11,0.0145006,0.00350246,0.000349402,1.40473e-09
12,0.0134575,0.00329762,0.000322728,1.99417e-09
13,0.0125711,0.00312295,0.0002995,4.72224e-09
14,0.0118058,0.00297789,0.000279104,9.1531e-09
15,0.0111419,0.00283732,0.000261058,1.23926e-08
16,0.0105535,0.00272728,0.000244989,1.66095e-08
17,0.0100346,0.00261413,0.000230599,1.80962e-08
18,0.00956584,0.00252927,0.000217645,2.08785e-08
19,0.00914789,0.0024358,0.000205933,2.11816e-08
