iteration,u_residual,v_residual,pressure_residual,continuity
0,0.438178,0,0.00104774,6.88873e-08
1,0.198663,0.0157587,0.000872118,7.69952e-08
2,0.105002,0.0124559,0.000722811,7.25712e-08
3,0.0656128,0.00966477,0.000603159,5.65764e-08
4,0.0471103,0.00779186,0.000511485,3.83161e-08
5,0.0371185,0.00654804,0.000441299,2.12768e-08
6,0.0309642,0.00569653,0.000386724,8.32681e-09
7,0.0267754,0.00507298,0.000343421,5.75822e-10
8,0.0237125,0.00461422,0.000308338,6.78596e-09
9,0.0213642,0.00423194,0.000279366,1.08875e-08
