threads,repeat,total_seconds,outer_iterations,status,ran_cleanly,mass_imbalance
1,0,12.3331,60,MaxIterations,yes,0
1,1,12.9445,60,MaxIterations,yes,0
1,2,11.0803,60,MaxIterations,yes,0
2,0,10.42,60,MaxIterations,yes,0
2,1,10.3445,60,MaxIterations,yes,0
2,2,8.89755,60,MaxIterations,yes,0
4,0,9.28075,60,MaxIterations,yes,0
4,1,9.53145,60,MaxIterations,yes,0
4,2,8.26775,60,MaxIterations,yes,0
8,0,9.26936,60,MaxIterations,yes,0
8,1,9.87414,60,MaxIterations,yes,0
8,2,9.35256,60,MaxIterations,yes,0
16,0,9.62499,60,MaxIterations,yes,0
16,1,10.2692,60,MaxIterations,yes,0
16,2,10.0563,60,MaxIterations,yes,0
32,0,197.379,60,MaxIterations,yes,0
32,1,197.609,60,MaxIterations,yes,0
32,2,197.288,60,MaxIterations,yes,0
